

We have now finished the optimization, and below is the complete dataset of 105 experiments:
 Iteration     x_0     x_1     x_2     x_3     x_4     x_5     x_6     x_7     x_8     x_9    x_10    x_11    x_12    x_13    x_14  target
         1  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000  20.000   2.312
         2  -5.000   0.000   5.000 -10.000  10.000  -2.000   2.000  15.000 -15.000 -20.000   8.000  12.000   0.000  -5.000  10.000   4.762
         3 -20.000 -20.000 -15.000 -10.000  -5.000 -20.000 -12.000 -18.000  -8.000  -2.000  -4.000 -10.000 -15.000  -8.000 -20.000   3.191
         4 -30.000 -10.000  15.000   5.000   0.000  10.000  -5.000  18.000 -12.000  13.000  -1.000   7.000  -7.000  19.000 -25.000   3.075
         5 -30.000  20.000 -30.000  20.000 -30.000  20.000 -30.000  20.000 -30.000  20.000 -30.000  20.000 -30.000  20.000 -30.000   2.060
         6  14.036  -7.588  -8.539 -29.243  -6.917  -5.908   2.477 -28.275  -8.066  16.973   8.739   5.073  -1.878 -14.964  -5.281   1.845
         7  -6.691   9.883  -2.561  19.248 -17.164   3.765 -11.827  12.242 -28.715 -16.000   8.091  13.808 -22.551 -24.634  -9.035   1.247
         8  -5.964   3.169   0.783 -12.902   5.762  -2.083   7.406 -17.859   4.277 -10.780   0.284  -5.935  17.563  -6.197   6.553   3.785
         9  -5.345   0.303   4.525 -10.920   9.896  -2.125   3.088   9.953 -11.635 -18.739   6.712   9.046   3.255  -4.714   9.777   3.935
        10  16.410  16.961 -12.577 -16.438  18.917   5.082   9.023  10.253   3.515 -22.243 -25.309  -2.024  -4.382  13.796  -5.131   1.506
        11  -7.666   9.000   7.460 -20.590  16.922   0.287   4.349  15.147 -23.474 -14.790   7.023  16.018 -11.653  -6.351  11.943   1.727
        12 -11.172   4.909   1.932 -11.738  14.780 -10.566  12.824  12.024 -17.224   0.812  12.328   2.080  -0.092  -3.948  11.124   3.415
        13  -1.134 -11.715   0.596  -1.571   1.926  -1.134 -11.982   7.714 -24.157  -8.862  13.548  16.859   0.605  -7.848  -5.056   3.010
        14   8.068 -11.085  -9.537 -28.164  15.407  -5.489   6.446   2.612 -28.534  -0.931  -3.133   3.260  -2.288 -26.940  17.063   1.277
        15   0.302  -1.982   2.251 -21.974   5.335  -1.599  -0.238   0.703 -15.199 -28.471  10.456  15.857   9.169  -6.598  18.592   1.693
        16  -4.349  18.772  -9.305  -2.279  -6.605  15.228   6.001 -27.254  15.236  15.316  -9.496  -7.083  -2.004  16.597  11.349   1.620
        17  -0.193  -7.033 -17.724  11.457 -15.453 -19.345 -14.452  -1.866 -21.699   3.139 -11.009 -28.604   9.630 -20.368   6.582   1.063
        18   3.455   3.143   7.576   1.704  15.878 -14.825   3.032   3.993  -0.498 -24.146   5.137  19.551  -2.369  -9.474   7.422   2.473
        19 -10.683   3.547   7.250   2.618  18.691  -3.323  -0.272 -14.775  -0.067 -16.928   1.262  -7.576  17.161  -5.974  -4.149   3.016
        20  -2.489   6.396  12.177   2.928   4.032   1.209  -0.662  14.219 -11.474 -23.046  11.579  15.062  -7.440  -1.579   1.343   2.802
        21  -3.628   2.873   5.627 -20.650  12.958   8.641   7.960 -23.015   8.057 -11.986   2.181  -3.590  14.798  -7.971 -11.608   2.486
        22  -3.929   8.874   0.480   4.927   7.261   0.649   9.294  10.970  -3.638 -19.826  12.011   2.300 -10.602 -15.194   7.472   3.303
        23  -7.766  -5.184  -1.677  -2.260  18.349 -16.273  10.332 -19.533   0.305 -12.063  -3.083  -3.016   9.599   1.286   5.478   2.872
        24  -3.147   8.517   3.496 -19.586  -3.250   2.912   0.556  11.971  -6.997  19.341  17.413 -12.719 -15.896 -14.755  18.559   1.741
        25  -4.328   2.293   3.472 -10.071   5.122   0.778  -4.857   3.919  -9.038 -10.971  11.241   6.580  -3.912  16.693   3.918   4.847
        26   5.922 -27.441   7.867  -2.678  11.566 -25.079 -29.498 -10.378 -20.761  15.388 -24.101   7.447  -8.581  -2.257  14.219   0.748
        27 -13.042   2.260  10.386  -6.114   8.453   2.147  -1.558  11.198  -7.909  -9.313   1.365 -13.613   4.300  12.424  15.730   3.232
        28  -4.934   1.437   3.651  -9.378   6.234  -0.037  -3.316   7.130 -10.490 -12.191  10.591   6.849  -3.002  12.203   5.316   4.738
        29 -11.410 -10.316   2.162  -8.402  19.844  11.697  -1.565   5.373  -6.067  -5.999   4.577   5.436  -0.500  14.540  13.266   2.877
        30  -6.207   2.820   3.425  -8.913   4.712  -1.601  -3.186   5.208  -9.379  -9.341  11.277   2.797  -1.972  15.644   4.092   4.997
        31  -5.856   1.258   1.769  -9.905   3.451  -3.264  -4.224   8.751 -10.801 -10.414  13.358   5.024  -1.994  18.094   2.808   4.257
        32  -5.079   4.595   4.349  -7.549   5.109   0.446  -3.197   1.708  -8.651  -9.362  10.209   2.338  -3.630  12.919   4.791   5.496
        33  -5.271   6.709   3.909  -5.127   6.230   0.898  -2.131  -1.404  -9.908  -9.394  13.933   1.100  -3.926  13.171   5.848   5.479
        34  -8.023   6.251   6.194  -6.444   2.926  -0.180  -3.904  -3.068  -7.263  -8.850  11.026   0.445  -5.445  12.653   3.970   5.716
        35  -2.607   8.014   9.919  -6.245   3.201  -0.234  -4.514  -3.555  -6.680  -6.399  10.908  -1.135  -3.550  14.281   3.199   5.345
        36  -7.615   9.758   1.005  -6.062   3.768   0.987  -7.143  -2.138  -4.428  -9.659  10.313  -1.624  -5.737  12.712   3.784   5.432
        37  -6.233   4.704   3.496  -5.630   0.244   1.919   0.388  -3.699  -8.039 -10.473   8.929  -2.287  -8.401  14.709   3.779   5.275
        38  -9.875   8.865   4.509  -4.080   1.274   0.631  -4.290  -3.348  -8.708  -5.604   8.386   4.487  -3.046  13.445   6.503   5.212
        39  -7.170   3.306   5.778  -5.594   5.151  -2.491  -5.372  -1.952  -3.721  -7.419  13.281   0.220  -9.357  11.742   6.945   5.179
