iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target,hypotheses
1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,2.941,High-Positive Exploration
2,-5.0,5.0,-5.0,5.0,0.0,10.0,-10.0,0.0,5.0,5.0,-5.0,0.0,10.0,0.0,-5.0,8.249,Mid-Range Exploration
3,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,1.995,Negative Extremes Analysis
4,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,2.06,Balanced Extremes
5,-10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,4.652,Symmetrical Variation
6,-7.475760890736506,-4.908880552223167,-1.94097359179532,11.146445795963082,-25.335975839733152,-15.739419114852689,9.015647173178465,4.874670998505728,-20.407927643351016,2.1811260419529006,-26.628302595796946,-3.896297147983546,-1.5674248510350601,-3.792278800258366,-21.305539916162417,1.6,None
7,1.2787033545919968,5.2612951652172555,-0.879242398396503,14.378063800512294,-1.7731839161445215,11.669589895369477,-1.6709538412115101,-11.163236264794403,10.478960478606403,6.972612351824338,-20.605215092960343,-7.590440531845417,10.728696981171296,-1.726090055023807,-6.131044817114731,3.223,None
8,12.727729559156394,-5.077010852814226,-4.0829154551161935,-6.243974585201041,-19.97767309603266,-5.537884657597083,-21.83498883078421,-16.0287972223786,10.664263612358639,15.081321814971112,-18.98463581166911,0.32225686086178484,13.36338729055565,-20.07124922142902,14.279004884179272,1.789,None
9,19.955462528863954,-29.70290995788637,-3.458560296074303,-25.552034497084716,-9.151303393629757,18.01892913737899,9.162416874472285,8.166379086654075,-2.5336309188622863,-23.991310617713395,-14.935398978477023,9.318910190513733,-11.244149213971234,5.8892063716863845,-21.99257139171665,1.256,None
10,0.7535440939335842,4.5908047858182,-8.534906611514877,18.237763571223354,3.0565150280830693,14.944386506224731,-23.11819129535722,-6.388960758297742,3.036788953855705,-1.0416507219843396,-6.182674065882111,10.297130619338759,2.741299923639602,0.775092506557332,-9.361321429960423,3.076,None
11,-4.4941178791845005,-2.82820184533389,-21.28891477367335,-0.3220823543209512,3.22401343218214,10.012288108276117,-14.682130156228913,-4.64743493078495,13.948114464400078,-4.248372902217323,4.671452271806068,8.555287027069248,13.575967591977374,2.4359201359277236,-14.539981513365198,2.617,None
12,12.298948030099076,-12.288953503461098,-28.71235102438307,-18.5563906593433,-8.22034697928958,-3.772011196346643,7.398168936904803,-23.058779406858605,-7.748182066567651,0.6340708147569316,19.28217835973775,12.062336252294045,1.3778425492034394,10.587907799386144,-5.4410745993725484,1.271,None
13,-13.281979095449028,-0.4304170381917629,-1.9078975505442486,8.766398868825988,3.611617942004756,6.233737052886383,-10.585787173581945,12.766415344705834,1.4113644316368301,0.7987971985874864,-14.617514458446214,14.591615874990403,14.225769961502245,-14.45270263500263,8.16499325746635,2.716,None
14,-29.55374470093651,-20.919537034109013,4.5353510905648164,-3.09431154875708,-6.656824466950411,10.410113408361049,14.49649071195438,17.155026201282503,-1.580211247743712,-11.889322422154926,17.49736302023375,-27.768077705390482,7.362192214683816,-12.994509140441195,0.6119501869654904,0.988,None
