iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypothesis
1,31.005803042787825,196.48538248457004,11.125977835846147,1.2511910419855454,2.16,Balanced Year-Round Optimization
2,40.685776256568005,191.2400573545938,17.40407453309193,1.4008120758036273,2.59,Highly Efficient Performance Settings
3,35.91436681815359,194.9867181617197,9.205434035059229,1.3010827659335689,2.15,Optimal Solar Panel Settings
4,26.142957379739183,198.73337896884559,14.006793537026526,1.2013534560635104,2.19,Suboptimal Conditions with Adjustment
5,49.5718112317118,254.93321614251775,6.5271900393459426,1.2554138025988315,1.27,Global
6,40.11304049610666,203.20796496884924,18.510580892927262,1.412039013158608,2.53,Highly Efficient Performance Settings
7,15.517229957655562,148.96063201752798,16.2861546998706,1.193040619334186,1.92,Suboptimal Conditions with Adjustment
8,64.41200493851903,189.16165679026432,20.0,1.5,2.87,Global
9,82.05578925768526,162.1662892951986,20.0,1.5,2.7,Global
10,90.0,197.1630162727791,20.0,1.0,3.01,Global
11,90.0,0.0,20.0,1.5,0.03,Global
12,90.0,360.0,20.0,1.5,0.03,Global
13,90.0,223.92833748025058,20.0,1.5,2.01,Global
14,0.0,53.744651973939995,1.0,1.0,0.95,Global
15,0.0,360.0,1.0,1.0,0.95,Global
16,33.509333709370736,144.98494559947207,11.222390404821178,1.1952666692312386,2.07,Balanced Year-Round Optimization
17,45.22452460804197,192.1814733243265,18.240433970421964,1.3907309176538143,2.7,Highly Efficient Performance Settings
18,90.0,107.23980800378568,20.0,1.0,1.52,Global
19,90.0,181.8651888356207,1.0,1.0,1.91,Global
20,0.0,262.12181101541194,20.0,1.0,1.57,Global
21,90.0,182.55383245774556,20.0,1.0,3.15,Global
22,85.38785652275148,186.1992227740414,20.0,1.5,2.76,Global
23,0.0,0.0,20.0,1.5,1.35,Global
24,53.655691610199554,167.61048804184955,20.0,1.0,3.27,Global
25,90.0,291.74645131606945,1.0,1.0,0.28,Global
26,0.0,106.94632895409207,20.0,1.5,1.35,Global
27,59.552412798164596,147.63344437281145,20.0,1.0,2.99,Global
28,62.499893691390895,67.89847043480277,1.0,1.5,0.39,Global
29,0.0,304.13649496061294,1.0,1.5,0.95,Global
30,26.06406533723613,197.97155548922768,12.967065749083334,1.189706529860692,2.15,Suboptimal Conditions with Adjustment
31,42.315929232632264,195.41191490550685,16.859873354929558,1.368305031346363,2.58,Highly Efficient Performance Settings
32,44.72559453935672,160.52827041410484,20.0,1.0,3.09,Global
33,0.0,227.17503200531954,1.0,1.0,0.95,Global
34,56.0620746295737,159.54758207400155,8.901115728956789,1.0,2.45,Global
35,90.0,142.31909048953224,20.0,1.0,2.54,Global
36,57.15769900359165,160.19590256246488,20.0,1.0,3.22,Global
37,40.580616870187285,154.8056612881741,17.093793129753042,1.4190159400933273,2.46,Highly Efficient Performance Settings
38,26.69329606605342,204.0539844613029,17.3750095,1.26250025,2.29,Suboptimal Conditions with Adjustment
