iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypothesis
1,34.49543976696224,224.36213211287844,10.774080496982753,1.3460474091786254,1.88,High Performance Solar Configuration
2,29.995852059000708,206.69285950840134,8.885527217953772,1.2918613000992463,1.95,Optimal Solar Panel Orientation
3,38.744821328904536,243.3660410195941,13.606910415526228,1.4523265727976942,1.66,Balanced Solar Efficiency Settings
4,23.995027474923774,212.03140471735554,6.662633776011736,1.2502335182580047,1.71,Maximized Mid-range Solar Setup
5,19.979385398076552,313.4636302238555,4.927663951449102,1.4593054539689607,0.54,Global
6,37.548699962558004,215.0707659936753,8.841521124220455,1.2207200684813206,1.99,Optimal Solar Panel Orientation
7,41.8240230533477,223.83768787645738,15.316310454179435,1.3417630692279998,2.14,Balanced Solar Efficiency Settings
8,43.00980975836021,223.3342003638368,15.406294572715773,1.3521868105522965,2.16,Balanced Solar Efficiency Settings
9,44.40815543214345,205.76862673533373,16.888727192987105,1.3374997499999999,2.52,Balanced Solar Efficiency Settings
10,48.84067589796952,175.38080972924809,10.656487639983201,1.2833999314482742,2.45,High Performance Solar Configuration
11,49.15227244873994,174.33735205506673,9.962306632180665,1.2868284845270892,2.42,High Performance Solar Configuration
12,90.0,185.96946143290916,20.0,1.0,3.13,Global
13,90.0,147.42843374218177,20.0,1.0,2.67,Global
14,90.0,0.0,20.0,1.0,0.03,Global
15,75.52085903961292,179.22808940321482,20.0,1.0,3.35,Global
16,0.0,80.54155914251135,20.0,1.0,1.57,Global
17,90.0,360.0,20.0,1.0,0.03,Global
18,72.85909951002132,188.6309602746897,20.0,1.5,2.86,Global
19,90.0,170.92397649552237,1.0,1.0,1.89,Global
20,0.0,0.0,1.0,1.5,0.95,Global
21,30.854629974570507,214.59180080727526,11.69088980762016,1.2515618929560977,2.02,Optimal Solar Panel Orientation
22,56.250045,179.0147819568321,12.624990500000001,1.3374997499999999,2.6,Balanced Solar Efficiency Settings
23,66.58390888750034,159.3376629144641,20.0,1.0,3.22,Global
24,0.0,146.9821162739687,20.0,1.0,1.57,Global
25,83.99121683964067,168.81181768589772,20.0,1.0,3.2,Global
26,72.61365453243438,101.4094330976706,20.0,1.0,1.59,Global
27,90.0,255.85101914451903,20.0,1.0,1.41,Global
28,33.749955,164.99982,17.3750095,1.46250025,2.41,Balanced Solar Efficiency Settings
29,22.076481688631752,156.74758418384639,8.678860323099025,1.1880925848688926,1.83,Maximized Mid-range Solar Setup
30,69.61575861176013,170.80659620484542,20.0,1.0,3.35,Global
31,54.030911496309045,138.6390431505182,20.0,1.0,2.77,Global
32,76.61288576465392,173.59900347415982,20.0,1.5,2.86,Global
33,56.70851373182474,166.60226762909065,20.0,1.0,3.29,Global
34,66.39694277601322,143.01859385386732,2.2753328389757344,1.0,1.79,Global
35,36.5129347230149,122.66551338795878,20.0,1.0,2.3,Global
36,33.749955,188.4876462796429,12.624990500000001,1.46250025,2.24,Balanced Solar Efficiency Settings
37,56.250045,196.25329552137433,17.3750095,1.46250025,2.69,Balanced Solar Efficiency Settings
38,90.0,161.689506985641,20.0,1.0,3.0,Global
39,48.247150681381235,51.07651644945102,1.0,1.5,0.2,Global
40,0.0,360.0,20.0,1.0,1.57,Global
41,90.0,210.37165794232925,1.0,1.0,1.65,Global
42,90.0,302.21209784742155,1.0,1.5,0.14,Global
43,56.250045,164.99982,17.3750095,1.3374997499999999,2.78,Balanced Solar Efficiency Settings
44,56.250045,164.99982,12.624990500000001,1.46250025,2.48,Balanced Solar Efficiency Settings
45,62.18074738516612,176.65320626450196,20.0,1.0,3.37,Global
46,0.0,261.57425161448833,20.0,1.0,1.57,Global
47,73.79388187949641,133.26655202530242,20.0,1.0,2.54,Global
48,15.800563310150238,111.04647656786865,1.0,1.5,1.11,Global
49,0.0,188.87885668590272,20.0,1.0,1.57,Global
50,90.0,175.3060956060166,20.0,1.0,3.14,Global
51,32.776006868331486,181.63170336711474,14.0900095,1.24499975,2.4,High Performance Solar Configuration
52,49.900045,192.38265979692068,14.0900095,1.35500025,2.57,High Performance Solar Configuration
53,40.31585385592587,360.0,1.0,1.5,0.0,Global
54,90.0,62.673498575032966,20.0,1.0,0.35,Global
55,0.0,40.739953765388556,20.0,1.0,1.57,Global
56,90.0,120.9543483919732,1.0,1.0,1.16,Global
57,38.90343770360288,0.0,20.0,1.0,0.0,Global
58,30.099955,155.39982,14.0900095,1.35500025,2.18,High Performance Solar Configuration
59,44.4831488173875,187.97787491077918,9.9099905,1.24499975,2.37,High Performance Solar Configuration
60,77.6550089150348,153.59855443063498,20.0,1.0,3.04,Global
61,48.295510735836324,278.74354711815494,20.0,1.0,1.16,Global
62,0.0,227.64334029866507,20.0,1.5,1.35,Global
63,55.92374294464072,120.88000308075723,20.0,1.0,2.29,Global
64,71.43981354294279,223.6447198722426,20.0,1.0,2.63,Global
65,20.6000497464838,214.29292535993514,7.867089131680884,1.1645574675083898,1.69,Maximized Mid-range Solar Setup
66,40.800045,222.04089200114112,10.2800095,1.26000025,1.98,Maximized Mid-range Solar Setup
67,69.48376982726582,236.88005262420296,1.0,1.0,1.38,Global
68,90.0,218.70654875726646,20.0,1.0,2.49,Global
69,62.90684603699365,169.18617801130827,20.0,1.0,3.34,Global
70,49.26142940810873,174.06304570347854,20.0,1.0,3.26,Global
71,39.65338882869193,92.1654159490324,20.0,1.0,1.53,Global
72,40.800045,201.7496376776771,10.2800095,1.1399997499999999,2.29,Maximized Mid-range Solar Setup
73,40.800045,188.89485144243227,10.2800095,1.1399997499999999,2.38,Maximized Mid-range Solar Setup
74,40.49879305305375,135.48147099695066,1.0,1.0,1.58,Global
75,0.0,282.2187418862878,1.0,1.5,0.95,Global
76,79.84870589631255,184.0877732760361,11.51953010046875,1.0,2.71,Global
77,90.0,200.7846696071584,20.0,1.0,2.94,Global
