iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypothesis
1,42.39393578392421,227.1085891700564,17.54324019279045,1.3033941414989616,2.2,Optimal Efficiency Solar Array
2,33.40219517146212,212.1688283285225,13.753681080712383,1.1038569768722957,2.27,Balanced Solar Configuration
3,51.72176285889894,233.73509639774574,19.402946267509158,1.4030855845834056,2.11,High Performance Solar Setup
4,35.04133054633577,205.30136446696895,16.052211454305937,1.2023141922945157,2.43,Optimal Solar Panel Configuration
5,78.60864625126347,348.6746386155355,17.51469626406448,1.2654278457777994,0.01,Global
6,26.08081782603312,200.19769108500176,16.04683338141541,1.181108292692129,2.29,Optimal Solar Panel Configuration
7,27.21707993745488,200.72662093897037,13.801068327551341,1.0497296992986902,2.29,Balanced Solar Configuration
8,90.0,137.80022426526617,20.0,1.5,2.07,Global
9,0.0,0.0,20.0,1.0,1.57,Global
10,0.0,110.67069775925793,20.0,1.5,1.35,Global
11,90.0,192.13326928821846,20.0,1.0,3.08,Global
12,80.13617453851816,185.23655390309153,1.0,1.5,1.99,Global
13,90.0,216.51586212206936,20.0,1.0,2.55,Global
14,90.0,0.0,1.0,1.5,0.02,Global
15,0.0,292.9298087976995,1.0,1.0,0.95,Global
16,63.597106903937004,179.42674952138395,20.0,1.0,3.38,Global
17,46.74050761331292,159.03033331479108,20.0,1.0,3.1,Global
18,69.4348632895521,167.02473947441536,20.0,1.0,3.31,Global
19,55.610898853836716,172.76822871794795,20.0,1.5,2.85,Global
20,48.27742349492209,130.2113468513742,20.0,1.0,2.55,Global
21,22.006122289749786,153.02777515210948,1.0,1.0,1.5,Global
22,38.7286773915207,213.01108122288673,14.458896272668383,1.280181672135871,2.27,Optimal Efficiency Solar Array
23,51.60102301457281,214.0453721956349,19.56758576654266,1.3940226462665402,2.54,High Performance Solar Setup
24,71.30433256282302,194.6273580395001,20.0,1.0,3.28,Global
25,90.0,77.89800909016216,20.0,1.0,0.71,Global
26,0.0,360.0,20.0,1.5,1.35,Global
27,90.0,271.3652315956345,1.0,1.0,0.59,Global
28,90.0,170.98007615226973,20.0,1.0,3.12,Global
29,50.51845983478418,213.77138834586597,18.918981972254162,1.383925294907668,2.51,High Performance Solar Setup
30,35.413571256527334,161.6355714836476,15.20176651737797,1.2240029822942216,2.46,Optimal Solar Panel Configuration
31,0.0,52.97577219786391,1.0,1.0,0.95,Global
32,76.18627723883223,180.30936020466783,20.0,1.0,3.34,Global
33,0.0,238.56142741287098,20.0,1.0,1.57,Global
34,60.79706718016458,148.2391665796982,20.0,1.0,3.0,Global
35,61.1717404570846,190.67130222997238,20.0,1.0,3.33,Global
36,54.000045,203.30895317005985,19.9000095,1.45000025,2.71,High Performance Solar Setup
37,35.851569603256465,153.04838160451988,14.670899409595929,1.3278899863099056,2.3,Optimal Efficiency Solar Array
38,68.19089928492636,185.48939720191728,20.0,1.0,3.37,Global
39,45.03099232143434,95.7422822320393,1.0,1.0,0.97,Global
40,0.0,171.97590643757118,20.0,1.0,1.57,Global
41,79.60980489665536,163.2348796195439,20.0,1.0,3.19,Global
42,64.17246482009887,151.5268395477779,1.0,1.0,1.87,Global
43,54.000045,188.5575621595555,19.9000095,1.45000025,2.86,High Performance Solar Setup
44,54.000045,169.82485055045638,19.9000095,1.45000025,2.85,High Performance Solar Setup
45,33.64462001971914,0.0,1.0,1.5,0.0,Global
46,71.25725548864436,174.84584011906955,20.0,1.0,3.36,Global
47,41.45973501655643,284.72605421277217,20.0,1.0,1.05,Global
48,0.0,207.7001856949284,1.0,1.0,0.95,Global
49,71.29590470606163,217.50401011117282,1.0,1.0,1.7,Global
50,28.789693252086643,129.97532151451296,10.983367491529684,1.041999396565888,1.87,Balanced Solar Configuration
51,35.999955,175.4391764371209,19.9000095,1.3499997499999998,2.68,High Performance Solar Setup
52,80.82990458599895,174.16070499022933,20.0,1.0,3.28,Global
53,67.53839714779403,179.75688004167674,20.0,1.0,3.38,Global
54,63.870550388364066,186.10213574042177,16.012841155442846,1.0,3.08,Global
55,63.6429893294707,184.97213797350668,20.0,1.0,3.37,Global
56,31.853586851692622,360.0,1.0,1.0,0.0,Global
57,84.98732576842387,182.98118194448688,20.0,1.0,3.23,Global
58,65.7874111829021,191.77467427049882,20.0,1.0,3.32,Global
59,54.000045,179.03923543631467,16.0999905,1.3499997499999998,2.76,High Performance Solar Setup
60,44.56483788496301,163.99982,16.0999905,1.45000025,2.54,High Performance Solar Setup
61,90.0,158.42344124427032,1.0,1.0,1.79,Global
62,80.26148626691008,202.64600637933924,20.0,1.0,3.07,Global
63,57.98139356352997,157.8844060997345,20.0,1.0,3.19,Global
64,78.82780760055522,190.28212185446782,20.0,1.0,3.27,Global
65,49.642236594108596,148.49888212388947,20.0,1.0,2.96,Global
66,25.818060013766214,223.84612629896128,15.63348907770918,1.317720738670022,1.96,Optimal Efficiency Solar Array
67,39.36117586835958,191.5760043495103,19.9000095,1.45000025,2.65,High Performance Solar Setup
68,70.58560256748197,156.87712956283892,20.0,1.0,3.16,Global
69,45.50531190835099,50.12836326823183,20.0,1.5,0.29,Global
70,66.37478367166865,174.61189049842415,20.0,1.0,3.37,Global
71,73.4442352368405,185.79567384015854,20.0,1.0,3.34,Global
72,65.3147446119768,181.74040216861206,20.0,1.0,3.38,Global
73,65.78972319689089,177.88467291192458,20.0,1.0,3.38,Global
74,68.52955399693126,120.39779458268328,20.0,1.0,2.22,Global
75,71.16437516320124,181.31687643502218,20.0,1.0,3.37,Global
76,68.21124057421201,177.14467289525425,20.0,1.5,2.9,Global
