iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target,hypotheses
1,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,9.303,Mid-range Exploration
2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2.312,Boundary Exploration
3,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,-20.0,3.649,Negative Watershed
4,-20.0,-20.0,20.0,20.0,-20.0,20.0,-20.0,20.0,-20.0,20.0,-20.0,20.0,-20.0,20.0,-20.0,2.312,Symmetric Variation
5,18.0,18.0,18.0,19.0,19.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,2.443,Local Clustering
6,-0.9942087776600183,-2.2502080546410195,-5.052745282642184,-6.304537432827773,-6.015109041557657,-8.82199662378602,-8.532925759302865,-11.330923982760202,-0.9889384484345707,-3.7953003750342997,-3.5011780896980396,-6.308556414995575,-6.013314627761105,-8.824304335112313,-0.988448642802535,6.363,None
7,-6.820801574213303,-6.2979207954129075,-3.9073687728274495,-3.3902932133140564,-4.733678817948353,-2.3370829696183795,-3.6799255322760875,-1.2955758759041405,-6.828059847378353,-4.432154786286008,-5.782021397999706,-3.384675793540356,-4.73610460579717,-2.3340255126089193,-6.828706374564912,7.788,None
8,-4.0,-5.0,-6.0,-5.0,-4.0,-5.0,-4.5,-5.0,-6.0,-4.0,-5.0,-5.5,-4.5,-5.0,-5.0,8.499,Mid-range Alternative Exploration
9,-7.0,-7.0,-3.0,-5.0,-3.0,-3.0,-7.0,-5.0,-7.0,-3.0,-3.0,-3.0,-3.0,-7.0,-7.0,9.002,Targeted Negative Value Exploration
10,-5.0,-4.5,-5.5,-6.0,-5.0,-6.5,-5.5,-4.0,-5.0,-4.5,-5.0,-5.0,-6.5,-4.5,-5.0,7.346,Explore Mid-range Offsets
11,-7.664194403305061,-8.93116230872932,-2.098225438095735,-4.923199008202001,-1.1136126882423767,9.413157551171345,-3.701964924685342,-9.87258893215678,-22.27416735124706,-0.7320089244838854,-9.71441190365515,-11.910491074957104,7.290598336189255,-1.6304455235805833,-13.330512029984487,3.352,None
12,-17.59654778690478,-6.586677933345605,-5.621664688893663,4.127916546465087,-4.832117792768521,4.437842550091659,-4.345397292459797,-7.5478583296134545,9.75839738843618,8.052285900720975,-4.392663145750525,-1.2961013751832908,-12.549456113529544,-6.639137877182765,-6.781055670902852,4.013,None
13,-5.791766487950048,-5.805733465680406,-3.516958621562916,-3.8926958276617145,-5.432425908707814,-3.0997789770084507,-5.065980513790484,-6.503377823136611,-4.461479277061143,-6.163214704170557,-4.6571228623972845,-4.503118023691057,-3.1953434516044346,-6.1126186390918225,-5.1231021999058175,7.58,None
14,-2.6985111212283748,1.3235471359946906,-2.9556831302494615,-7.721995549922845,-0.7565149282034724,4.5545012786452475,-1.063355848537352,-17.130668184534354,-12.76739434146555,-16.665073988904695,-2.266238152155328,-7.149950136489288,-16.931211047612983,-7.212198995134219,-3.1164279711182026,3.673,None
15,-4.1569022358197785,-1.3242461750625267,-12.403300301009697,-8.006139396439984,-11.61427298084688,4.0128855371401,6.778850597853221,-2.539984887309121,1.4581372881974204,-10.04139983623702,-6.80026596912403,5.606793018033883,-2.77988066899659,4.344020069686444,5.203752586541448,5.404,None
