iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target,hypotheses
1,-5.0,0.0,5.0,10.0,-10.0,15.0,-5.0,10.0,-15.0,0.0,5.0,-5.0,1.0,-10.0,10.0,5.621,Center of Parameter Space
2,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,1.995,Negative Extremes Exploration
3,5.0,10.0,15.0,20.0,15.0,10.0,5.0,0.0,-5.0,-10.0,-15.0,-20.0,15.0,10.0,5.0,3.72,Balanced Positive Selection
4,-20.0,10.0,-10.0,15.0,-5.0,20.0,-15.0,5.0,0.0,-5.0,10.0,-20.0,0.0,10.0,-10.0,3.696,Negative and Positive Mix
5,20.0,15.0,10.0,5.0,0.0,-5.0,10.0,15.0,20.0,-10.0,0.0,-5.0,5.0,-15.0,-20.0,3.649,Full Positive Range
6,17.377680003801878,-29.309426056605048,-6.474831811179168,9.15940360221294,1.4587844851438803,-11.810808863138778,-28.902242272683598,14.879074910235254,-4.857168183858409,-15.018533224575405,-27.5682614900502,19.660754940093142,10.843811779337727,-21.55723625811919,14.286682755551148,0.749,None
7,-4.007284324881486,6.421807778125135,8.815799845824003,10.530763693564763,-8.145417068274474,16.128489719951396,1.396530729675098,8.999352124769679,-12.387837228085443,0.27107920104280747,6.861275034331604,-9.516001239024318,1.590237193043233,-7.470502300103421,6.64863893106055,3.822,None
8,-4.0,5.0,8.0,11.0,-7.0,15.0,-4.0,10.0,-10.0,1.0,5.0,-5.0,2.0,-5.0,8.0,6.344,Optimized Central Configuration
9,15.0,20.0,10.0,5.0,0.0,5.0,15.0,10.0,5.0,-5.0,0.0,-5.0,10.0,5.0,10.0,4.842,Balanced Positive Exploration
10,-15.0,10.0,-5.0,15.0,2.0,12.0,-3.0,8.0,0.0,5.0,3.0,-10.0,4.0,2.0,1.0,6.014,Mixed Moderate Presence
11,20.0,20.0,20.0,15.0,12.0,7.0,10.0,15.0,20.0,-5.0,0.0,-5.0,5.0,10.0,-3.0,3.437,Upper Bounds Focus
12,-10.0,10.0,5.0,12.0,0.0,13.0,-7.0,9.0,0.0,4.0,-5.0,1.0,8.0,3.0,12.0,6.097,Exploratory Negative-Positive Mix
13,5.864834938489629,17.21669278177744,19.445285055172917,-16.449437842033767,-1.0385721044139338,-13.59060979295056,16.539564499932325,7.8722890069695595,4.087106720503783,-6.316863755934662,-11.608688195028346,-7.319629885082925,-9.791486722095556,4.655256101056402,-21.005406639268386,1.825,None
14,-3.0,10.0,8.0,11.0,-5.0,15.0,-2.0,10.0,0.0,1.0,4.0,-3.0,6.0,4.0,8.0,6.63,Refined Moderates and Positives
15,15.0,18.0,15.0,12.0,-1.0,7.0,4.0,15.0,5.0,0.0,-2.0,-4.0,6.0,5.0,20.0,4.302,Upper Bound Exploration
16,7.0,12.0,10.0,10.0,0.0,10.0,-5.0,8.0,3.0,1.0,-4.0,1.0,7.0,5.0,10.0,6.66,Focus on Successful Combinations
17,-2.0,14.0,3.0,12.0,1.0,11.0,-3.0,9.0,-2.0,2.0,-5.0,2.0,8.0,3.0,9.0,6.78,Dynamic Mixed Exploration
18,-0.7444928965749987,5.361894704331332,5.220920481437398,11.31254658945768,-4.113782183938548,12.254366222997394,-8.869865663495094,10.222880854118301,-5.731460836945398,1.7570729368060336,1.975735354875344,0.8575345892536816,3.1872674182766336,-0.8734732341555113,8.066988791421393,5.907,None
19,-1.0,12.0,8.0,10.0,-3.0,11.0,-2.0,9.0,1.0,0.0,-4.0,1.0,7.0,5.0,9.0,7.062,Moderate Positive and Balanced Negative
20,18.0,16.0,14.0,13.0,-2.0,8.0,3.0,12.0,6.0,2.0,-3.0,-4.0,5.0,6.0,20.0,4.336,Controlled Upper Bound Exploration
21,-2.0,13.0,3.0,11.0,1.0,10.0,-4.0,8.0,-1.0,3.0,-5.0,2.0,9.0,3.0,10.0,6.983,Enhanced Mixed Exploration
22,-8.0,10.0,6.0,14.0,0.0,12.0,-1.0,7.0,2.0,1.0,-4.0,-2.0,10.0,2.0,4.0,6.877,Exploratory Dimensional Search
23,5.0,11.0,10.0,13.0,1.0,9.0,-5.0,9.0,4.0,1.0,-3.0,1.0,5.0,7.0,10.0,6.571,Focus on Previous Highs
24,-1.4140426702325761,12.780639914562562,4.734968055369787,8.797968112741799,-0.9961471040812712,7.940047132084386,-0.846381514466623,3.61172541609659,4.607276814934537,3.5818464858896135,-2.993495464449441,1.1123483245448726,12.065961367245329,5.707768449983283,7.477037355739506,5.82,None
25,-1.0,13.0,7.0,10.0,-3.0,12.0,-2.0,9.0,1.0,0.0,-4.0,1.0,8.0,5.0,10.0,6.744,Moderate Positives with Selected Negatives
26,18.0,15.0,14.0,12.0,-1.0,8.0,2.0,12.0,6.0,1.0,-2.0,-3.0,5.0,6.0,20.0,4.459,Upper Bound Balanced Positivity
27,-2.0,12.0,5.0,11.0,0.0,10.0,-4.0,8.0,0.0,3.0,-5.0,2.0,7.0,4.0,9.0,7.263,Enhanced Exploration of Effective Ranges
28,-3.0,11.0,8.0,14.0,1.0,9.0,-1.0,7.0,1.0,0.0,-4.0,-1.0,8.0,2.0,10.0,7.007,Exploratory Negative Mix
29,-1.0,13.0,10.0,12.0,-2.0,11.0,-3.0,8.0,3.0,1.0,-4.0,1.0,6.0,4.0,10.0,6.626,Dynamic Parameter Adjustment
30,-1.7201327753158493,7.138157279349093,7.515307213045312,8.567224473586109,0.7102911528062168,7.392931554688093,-2.33311789617386,9.501468204206057,-1.656050347989041,2.173209288257568,-7.224618920555864,-0.40755906496790967,6.1106357114538286,4.075717804350389,7.032770800256728,6.414,None
31,-1.0,13.0,7.0,11.0,-2.0,12.0,-2.0,9.0,2.0,1.0,-3.0,1.0,8.0,5.0,8.0,6.849,Focused Exploration on High Yield Areas
32,18.0,15.0,14.0,12.0,-1.0,8.0,2.0,12.0,5.0,1.0,-3.0,-4.0,5.0,6.0,20.0,4.458,Upper Bounded Positive with Moderate Negatives
33,-2.0,14.0,3.0,12.0,0.0,11.0,-3.0,9.0,-1.0,3.0,-5.0,2.0,9.0,3.0,10.0,6.617,Enhanced Positive Exploration Focus
34,-1.0,11.0,10.0,13.0,-2.0,9.0,-5.0,8.0,3.0,1.0,-4.0,1.0,6.0,5.0,10.0,6.794,Dynamic Range Adjustment
35,-3.0,10.0,6.0,12.0,0.0,10.0,-1.0,8.0,1.0,1.0,-2.0,-1.0,10.0,4.0,5.0,7.579,Exploratory Negative Reduction
36,-10.68331480954783,-6.501953470365951,12.244634193748347,13.082637494614573,-12.639053038112014,11.325253291809005,-12.5467382272168,10.021761365466851,7.11306199639602,-17.321265217979427,9.516498089177915,0.6361371296265901,11.398360905740425,14.628427792492317,1.2641569258115375,2.191,None
37,-1.0,13.0,7.0,12.0,-2.0,11.0,-1.0,9.0,2.0,1.0,-3.0,1.0,8.0,5.0,10.0,6.7,Balanced Positive Exploration
38,18.0,15.0,14.0,12.0,-1.0,8.0,2.0,12.0,5.0,1.0,-4.0,-3.0,5.0,6.0,20.0,4.458,Upper Bound Focus with Minimal Negatives
39,-2.0,12.0,6.0,11.0,0.0,10.0,-3.0,8.0,0.0,3.0,-5.0,2.0,9.0,4.0,9.0,7.077,Mixed Positive and Minimal Negatives
40,-1.0,11.0,8.0,12.0,-2.0,10.0,-2.0,9.0,3.0,1.0,-3.0,1.0,7.0,5.0,10.0,6.983,Dynamic Parameter Exploration
41,-3.0,10.0,5.0,13.0,0.0,9.0,-1.0,8.0,2.0,0.0,-4.0,-1.0,10.0,2.0,4.0,7.651,Exploratory Parameter Adjustment
42,-20.003227208600222,-27.079796743705877,-30.0,-30.0,20.0,-3.870552113506394,18.62763877263275,-30.0,-30.0,-11.625637977528699,-30.0,-30.0,20.0,20.0,5.198277860368593,1.422,None
43,-1.0,13.0,8.0,11.0,-2.0,12.0,-1.0,9.0,1.0,1.0,-3.0,1.0,8.0,5.0,10.0,6.647,Optimized Moderate Positives
44,16.0,14.0,13.0,11.0,0.0,7.0,-1.0,12.0,5.0,3.0,-2.0,-3.0,6.0,5.0,19.0,4.832,Upper Bound Exploration
45,-2.0,13.0,6.0,10.0,0.0,10.0,-2.0,9.0,1.0,3.0,-4.0,2.0,9.0,3.0,10.0,6.978,Moderate Positive Exploration
46,-3.0,12.0,7.0,11.0,0.0,10.0,-1.0,9.0,2.0,0.0,-4.0,-1.0,10.0,4.0,5.0,7.216,Minimized Negatives while Retaining Positives
47,-1.0,11.0,8.0,12.0,-1.0,9.0,-3.0,8.0,1.0,1.0,-3.0,1.0,7.0,3.0,6.0,7.645,Exploratory Parameter Dynamics
48,20.0,5.316234811137972,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,20.0,7.315763681458426,-26.2288919967993,-30.0,-30.0,5.033586011764561,1.493,None
49,-30.0,-30.0,20.0,-30.0,20.0,20.0,9.28115324047373,-30.0,16.67103589722622,20.0,20.0,20.0,-30.0,-19.067827796700826,20.0,1.684,None
50,20.0,-30.0,-30.0,4.413710383209889,16.113796073694562,-30.0,20.0,-30.0,-30.0,13.344822707602935,20.0,20.0,-30.0,20.0,-30.0,1.516,None
51,-30.0,-26.316681379618736,-30.0,-30.0,-30.0,-30.0,20.0,20.0,20.0,-30.0,20.0,20.0,-30.0,-30.0,20.0,1.808,None
52,-1.0,13.0,7.0,12.0,-1.0,12.0,-1.0,9.0,2.0,0.0,-4.0,1.0,7.0,5.0,10.0,6.652,Focused Positive Configuration
53,18.0,14.0,13.0,12.0,-1.0,8.0,2.0,12.0,5.0,0.0,-2.0,-3.0,6.0,5.0,20.0,4.573,Upper Bound Exploration
54,-1.0,12.0,6.0,11.0,0.0,10.0,-3.0,9.0,1.0,3.0,-4.0,2.0,9.0,4.0,10.0,6.954,Mixed Positive with Selective Negatives
55,-2.0,11.0,9.0,12.0,0.0,11.0,-2.0,9.0,3.0,1.0,-3.0,1.0,7.0,5.0,10.0,6.808,Parameter Dynamics Adjustment
56,-3.0,12.0,6.0,11.0,0.0,10.0,-1.0,8.0,2.0,0.0,-4.0,1.0,9.0,3.0,5.0,7.526,Exploratory Reduction of Negatives
57,-3.4742277189333652,9.755666957603703,4.404900513085617,11.456964123204742,0.020445741746893096,6.971196992610661,-1.68000060173413,7.531240088124926,0.7976844994044672,-1.1489788697016572,-0.1374072519526929,1.3033409460551209,7.183316844930887,0.9688068974812873,4.170501105674364,7.062,None
58,-30.0,20.0,-30.0,20.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,-30.0,6.584104730888193,20.0,-30.0,-30.0,1.753,None
59,-30.0,20.0,-30.0,13.283453942972995,20.0,20.0,-30.0,20.0,20.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,1.894,None
60,-30.0,20.0,-30.0,-30.0,20.0,-30.0,-30.0,20.0,-30.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,2.046,None
61,-30.0,20.0,20.0,20.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,-30.0,20.0,-30.0,-30.0,-30.0,2.034,None
62,20.0,-30.0,20.0,-30.0,20.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,-30.0,-30.0,20.0,20.0,2.046,None
63,-1.0,13.0,7.0,12.0,-1.0,12.0,-1.0,9.0,2.0,0.0,-4.0,1.0,8.0,5.0,10.0,6.587,Optimized Positive and Balanced Configurations
64,18.0,14.0,11.0,12.0,-1.0,8.0,2.0,12.0,5.0,0.0,-2.0,-3.0,6.0,5.0,20.0,4.658,Focused Upper Bound Exploration
65,-2.0,12.0,6.0,11.0,0.0,10.0,-2.0,9.0,1.0,2.0,-4.0,1.0,9.0,4.0,10.0,7.002,Enhanced Positive Dynamics Exploration
66,-1.0,11.0,8.0,10.0,0.0,10.0,-1.0,8.0,1.0,1.0,-3.0,1.0,7.0,5.0,9.0,7.485,Selective Negative Reduction
67,-3.0,12.0,7.0,11.0,0.0,10.0,-2.0,9.0,2.0,0.0,-4.0,1.0,8.0,3.0,5.0,7.434,Exploratory Subspace Adjustment
68,-30.0,20.0,-30.0,-30.0,20.0,20.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,-30.0,-30.0,20.0,2.034,None
69,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,-30.0,20.0,20.0,20.0,-30.0,-30.0,-30.0,20.0,20.0,2.046,None
70,20.0,20.0,-30.0,-30.0,-30.0,20.0,20.0,-30.0,-30.0,-30.0,-30.0,20.0,20.0,-30.0,-30.0,2.046,None
71,0.3101957647850925,9.118980754575384,5.912668800753482,11.102292368452964,0.5014508145911922,10.530930987675244,-0.9780770264652574,5.483690493380825,1.0188863096142013,0.26898417361779015,-2.9752307471162602,0.18899784916402992,6.983292372384892,2.4566621430985576,5.066253282803148,6.963,None
72,-0.31673469792729275,13.64024314210779,9.174316273071948,4.1954215375603985,1.1979896411664746,6.968328322542131,-3.794267094258637,5.687453688486702,-2.2561395402470636,0.5951135483943175,-0.351054604881041,5.7939146181074825,1.9294452340965345,5.715037019710473,13.171942122104804,5.741,None
73,-13.290583855881827,2.8721975760029683,9.463444899707172,12.956194831134889,-9.022495640904806,15.04837418660609,-13.03995367560123,12.056186265440287,-8.4927881335328,12.141113049258335,8.450668262008843,-4.620317581992459,3.3335163952574596,-5.447685537762913,12.10899577184294,2.93,None
74,-1.0,13.0,6.0,12.0,-1.0,11.0,-1.0,9.0,3.0,0.0,-4.0,1.0,8.0,5.0,10.0,6.722,Refined Moderate Positive Exploration
75,17.0,14.0,12.0,12.0,0.0,8.0,3.0,12.0,5.0,1.0,-2.0,-3.0,6.0,5.0,19.0,4.743,Focused Upper Positive Configuration
76,-2.0,11.0,8.0,10.0,0.0,9.0,-1.0,7.0,2.0,1.0,-3.0,1.0,7.0,4.0,10.0,7.591,Mixed Positive with Subtle Negatives
77,-1.0,12.0,9.0,11.0,0.0,10.0,-2.0,8.0,1.0,1.0,-3.0,1.0,8.0,5.0,9.0,7.062,Selective Negative Reduction
78,-4.0,11.0,8.0,12.0,0.0,10.0,-1.0,9.0,2.0,0.0,-4.0,1.0,7.0,3.0,5.0,7.412,Exploratory Parameter Dynamics
79,14.444876815316569,-20.627284803360183,20.0,-30.0,20.0,-30.0,-30.0,-30.0,-30.0,20.0,20.0,-30.0,20.0,-30.0,-30.0,1.48,None
80,20.0,20.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,-30.0,-30.0,-30.0,20.0,20.0,-30.0,2.034,None
81,-30.0,-30.0,-30.0,20.0,-30.0,20.0,20.0,-30.0,20.0,-30.0,7.286131540186982,-30.0,-30.0,-30.0,-30.0,1.829,None
