iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target,hypotheses
1,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,1.995,Near Lower Bound Exploration
2,-5.0,0.0,5.0,10.0,15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,-10.0,-15.0,0.0,5.0,5.288,Central Point Exploration
3,10.0,15.0,10.0,5.0,0.0,-10.0,-15.0,-5.0,0.0,10.0,5.0,0.0,10.0,15.0,-10.0,4.945,Mixed Positive Exploration
4,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,2.076,Boundary Mixed Extreme
5,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,-5.0,-10.0,0.0,5.0,15.0,-10.0,-5.0,0.0,5.288,Moderate Exploration
6,15.719554259703486,-20.274725704396978,-6.839107775910108,-4.698191409119303,-24.74637838092836,1.4449632895531295,-19.254629596458635,-18.80476248674859,-9.559489535901552,16.924973429499893,19.60731469435104,10.167813678842094,-1.7194064236074844,7.720771613836526,-15.455241538525318,1.138,None
7,-26.506220137484917,-19.028071126758675,-16.663207112626782,-24.701650442201256,19.851227928278256,3.01575818763682,-8.10850222985956,19.00537075571097,8.824560196042995,-16.51226927966774,5.38483548875719,-21.237295305363695,4.226272453405279,-20.17327113235814,-2.5019580185633323,1.041,None
8,-10.0,-5.0,0.0,5.0,10.0,-5.0,-10.0,0.0,5.0,10.0,5.0,-5.0,0.0,5.0,10.0,7.174,Balanced Mid-Values Exploration
9,10.0,15.0,20.0,5.0,10.0,0.0,-10.0,-5.0,15.0,20.0,5.0,-10.0,0.0,10.0,-5.0,4.115,Positive Emphasis Exploration
10,-15.0,5.0,-10.0,10.0,15.0,-5.0,0.0,-15.0,5.0,10.0,0.0,5.0,0.0,-5.0,10.0,5.288,Encouraged Edge Exploration
11,-5.0,15.0,-5.0,10.0,0.0,5.0,-5.0,10.0,-10.0,5.0,-5.0,5.0,-5.0,0.0,0.0,6.925,Exploration of Moderate Extremes
12,0.0,5.0,10.0,15.0,0.0,5.0,-1.0,-5.0,10.0,-10.0,5.0,15.0,-5.0,1.0,2.0,6.264,Converging From Successful Points
13,-10.30658262362132,0.8868378857275107,1.6024962569704768,10.964402300462872,4.294276259246013,-0.027840863015699595,-9.074593714378647,8.319775661946508,-0.5033481816136731,4.5042827929968166,-1.626127453650975,2.8460068876275852,0.5258610351653218,8.72039880079533,12.369048244935279,5.395,None
14,-9.0,-3.0,2.0,6.0,12.0,-3.0,-8.0,1.0,4.0,9.0,3.0,-6.0,1.0,4.0,8.0,7.768,Refined Mid-Range Exploration
15,5.0,15.0,20.0,12.0,10.0,0.0,-5.0,-2.0,18.0,15.0,6.0,-7.0,2.0,8.0,-4.0,4.415,Enhanced Positive Emphasis
16,0.0,4.0,10.0,14.0,1.0,6.0,-1.0,-4.0,11.0,-9.0,4.0,13.0,-4.0,0.0,1.0,6.718,Slightly Perturbed Successful Configurations
17,-20.0,5.0,-1.0,12.0,17.0,0.0,-3.0,-12.0,5.0,0.0,8.0,3.0,6.0,2.0,9.0,5.213,Avoiding Extreme Detrimental Areas
18,-5.0,10.0,-4.0,8.0,3.0,1.0,0.0,-5.0,6.0,-6.0,2.0,5.0,-2.0,4.0,7.0,8.975,Exploration of Prior Successful Regions
19,-1.3753985621709095,8.425569267273493,-3.8723223826287603,4.565593317892929,4.374325585876006,2.947924498240757,0.684638701666555,-2.5122693706623758,6.825486272993313,-5.266031510020698,-0.6934329637241841,-0.6955174354461374,-1.397278195061593,1.1446802181234144,3.2664549572320736,9.114,None
20,-6.0,5.0,3.0,8.0,12.0,1.0,-5.0,0.0,4.0,7.0,3.0,-4.0,1.0,5.0,7.0,8.482,Optimized Mid-Range Exploration
21,5.0,10.0,15.0,8.0,12.0,2.0,-4.0,-2.0,15.0,8.0,6.0,-5.0,3.0,9.0,-1.0,5.78,Focused Positive Emphasis
22,1.0,6.0,8.0,10.0,3.0,5.0,0.0,-3.0,7.0,-5.0,3.0,7.0,-2.0,2.0,4.0,9.066,Perturbing Existing Successful Configurations
23,-10.0,5.0,2.0,12.0,18.0,-1.0,-3.0,-8.0,6.0,1.0,9.0,3.0,4.0,1.0,10.0,6.14,Avoiding Extreme Negatives
24,-8.0,8.0,-3.0,9.0,7.0,2.0,1.0,-5.0,5.0,0.0,3.0,5.0,-1.0,3.0,6.0,9.047,Exploration of New Mid-Region
25,-0.9554704935900832,8.332853163557532,3.066458567135085,6.3532244022460835,4.622025579437937,6.299332529987533,3.848097787755327,-3.663203293025078,4.237085788304166,-0.6079128655746077,1.3724031445244218,2.461527512901646,-1.0507402048763734,2.9532355559477494,5.5629040469713615,8.603,None
26,-1.8735127456648186,6.391423095289751,0.7721668154783088,8.215863818330885,6.442903710652074,1.418564334190744,-2.905770424538362,-1.4535083093078562,6.875098804662355,-2.850898265909537,2.022763906460754,2.73043614217256,-1.375017271291675,1.6525558367504476,1.9566278061232567,9.198,None
27,-4.627617713574,7.028152809047162,-4.588658467234883,11.844143074937122,3.902181836406539,4.357964262432629,0.6898552651413414,-1.290905264481675,10.536561446558048,-1.6634305390899322,3.101361538961983,-2.051181598106689,-0.385866101497397,2.749880829964227,4.3854572369964036,7.035,None
