iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.945
2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2.312
3,10.0,-5.0,15.0,-30.0,5.0,3.0,0.0,20.0,-10.0,10.0,-15.0,7.0,-18.0,8.0,-20.0,3.158
4,-30.0,-20.0,-15.0,-10.0,-5.0,-30.0,-24.0,-22.0,-30.0,-20.0,-18.0,-30.0,-29.0,-30.0,-27.0,2.112
5,5.0,-10.0,10.0,-7.0,0.0,3.0,-3.0,6.0,1.0,-5.0,4.0,2.0,-4.0,8.0,-6.0,8.322
6,2.0,1.0,3.0,0.0,-1.0,4.0,-2.0,5.0,1.0,-3.0,2.0,0.0,-1.0,2.0,0.0,14.584
7,8.0,-2.0,7.0,-5.0,2.0,1.0,0.0,3.0,2.0,-4.0,1.0,2.0,-3.0,4.0,1.0,11.459
8,0.0,-4.0,5.0,-3.0,2.0,1.0,1.0,-1.0,-3.0,-2.0,0.0,-2.0,-4.0,0.0,-1.0,14.166
9,1.5,1.0,2.5,0.5,-0.5,3.5,-1.5,4.5,1.5,-2.5,1.5,0.5,0.0,2.5,0.5,13.015
10,6.0,-1.0,6.0,-2.0,3.0,2.0,1.0,4.0,1.0,-3.0,2.0,1.0,-2.0,3.0,1.0,12.897
11,0.0,-2.0,4.0,-1.0,1.0,1.0,0.5,-0.5,-2.0,-1.0,0.5,-1.5,-3.0,0.0,-0.5,15.036
12,3.0,0.0,5.0,-1.0,1.0,0.0,1.0,2.0,0.0,-2.0,1.0,1.0,-1.0,0.5,0.0,15.578
13,1.0,0.5,3.0,0.0,-0.5,4.0,0.0,5.0,1.0,-2.0,1.0,0.0,-1.0,2.0,-0.5,14.335
14,3.0,-1.0,5.0,-0.5,1.5,0.5,1.0,2.0,0.0,-1.0,1.0,0.0,-0.5,1.0,0.0,14.912
15,5.0,0.0,3.0,-1.0,2.0,0.0,1.0,3.0,0.0,-1.0,0.0,1.0,-1.0,0.5,0.0,15.376
16,0.5,-2.5,4.0,-1.5,0.0,1.0,0.5,-1.0,-1.0,-0.5,0.0,-1.0,-1.5,0.0,-0.5,15.247
17,0.0,-0.5,3.5,0.0,0.5,3.0,0.0,5.0,1.0,-1.0,1.0,0.5,-1.0,2.0,0.5,14.248
18,2.0,-0.5,4.0,-0.5,1.0,1.0,1.0,3.0,0.5,-1.0,1.0,0.0,-0.5,1.0,0.0,15.493
19,1.0,-1.5,5.0,-1.0,1.0,2.0,0.5,3.0,0.0,-0.5,1.0,0.0,-1.0,0.5,0.0,14.912
20,2.5,-1.0,4.5,0.0,1.0,0.5,1.0,2.5,0.0,-1.0,0.5,0.0,-0.5,1.0,0.0,14.966
21,0.5,0.0,3.0,0.0,0.5,3.0,0.0,5.0,1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,15.116
22,2.0,-0.2,4.2,-0.5,1.5,1.0,1.0,3.0,0.5,-1.0,1.0,0.0,-0.5,1.0,0.0,15.188
23,1.5,-0.5,4.0,0.0,1.0,1.5,0.5,3.5,0.0,-1.0,1.0,0.0,-0.5,1.5,0.0,14.798
