iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target
1,15.0,10.0,15.0,20.0,18.0,16.0,19.0,17.0,14.0,12.0,20.0,11.0,15.0,10.0,19.0,2.8
2,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,2.06
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.303
4,-20.0,-25.0,-15.0,-30.0,-10.0,-5.0,-12.0,-8.0,-7.0,-18.0,-25.0,-20.0,-30.0,-15.0,-28.0,2.339
5,10.0,-10.0,0.0,10.0,-10.0,0.0,10.0,-10.0,0.0,10.0,-10.0,0.0,10.0,-10.0,0.0,5.852
6,8.0,5.5,6.0,7.0,4.0,5.5,6.5,4.5,5.0,6.0,5.0,7.0,5.0,6.0,5.5,6.824
7,4.0,6.0,7.0,8.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,8.0,9.0,4.0,6.0,7.832
8,-15.0,-18.0,-10.0,-12.0,-6.0,-3.0,-10.0,-5.0,-4.0,-15.0,-20.0,-12.0,-15.0,-10.0,-25.0,3.314
9,7.5,6.0,6.5,7.5,4.5,5.0,6.0,5.0,5.5,6.5,5.5,7.5,5.5,6.5,6.0,5.808
10,5.5,6.5,7.5,8.5,6.5,5.5,5.5,6.5,7.0,5.5,6.5,8.5,9.5,4.5,7.0,4.812
11,-12.0,-10.0,-8.0,-5.0,-3.0,-1.0,-8.0,-4.0,-2.0,-10.0,-15.0,-10.0,-8.0,-5.0,-20.0,4.964
12,7.5,5.0,5.5,3.5,6.5,7.0,8.0,5.5,4.5,6.5,4.0,7.5,8.5,3.0,5.0,6.002
13,7.0,6.2,6.8,7.0,5.0,5.5,6.0,5.2,5.7,6.3,5.5,7.2,6.0,6.2,5.5,6.336
14,5.5,6.5,7.0,8.0,6.0,5.2,5.8,6.0,7.2,5.5,6.0,8.0,9.0,5.0,6.5,5.985
15,-8.0,-6.0,-5.0,-4.0,-3.0,-2.0,-6.0,-3.0,-2.0,-8.0,-12.0,-6.0,-5.0,-3.0,-10.0,7.706
16,7.2,6.5,6.7,7.0,5.2,5.4,6.1,5.3,5.8,6.7,5.6,7.3,6.2,6.4,5.8,5.875
17,6.5,6.0,7.0,8.0,6.0,5.5,6.5,6.0,7.0,5.5,6.5,8.0,9.0,5.5,7.0,5.643
18,-5.0,-4.0,-3.0,-2.0,-1.0,0.0,-4.0,-2.0,-1.0,-5.0,-10.0,-5.0,-3.0,-2.0,-6.0,10.44
19,7.5,6.3,6.9,7.2,5.3,5.7,6.2,5.4,5.9,6.6,5.7,7.5,6.1,6.5,5.6,5.649
20,6.9,6.7,7.2,8.0,6.3,5.4,6.6,6.3,7.1,5.8,6.7,8.0,9.5,5.6,6.7,5.183
21,-4.0,-3.0,-1.0,-2.0,0.0,1.0,-3.0,-1.0,0.0,-4.0,-6.0,-3.0,-2.0,-1.0,-3.0,13.413
22,-3.5,-3.0,-1.0,-2.0,0.0,1.0,-2.5,-1.0,0.0,-3.0,-5.0,-3.0,-1.0,-2.5,-4.0,12.96
23,7.2,6.5,6.9,7.5,5.3,5.8,6.2,5.4,5.8,6.4,5.7,7.5,6.6,6.5,5.6,5.505
24,-2.0,-1.5,0.0,-1.0,0.0,1.0,-1.5,-2.0,-1.0,-2.0,-4.0,-2.0,1.0,-1.0,-1.5,15.262
25,-3.0,-2.0,0.0,-1.0,1.0,1.0,-2.0,-1.0,0.0,-3.0,-4.0,-2.0,0.0,-1.0,-2.0,15.582
26,6.5,6.0,6.8,7.0,5.4,5.5,6.1,5.7,5.9,6.3,5.8,7.4,6.5,6.2,5.7,5.937
27,-1.0,-0.5,0.5,-0.5,1.5,2.0,-1.0,-1.5,0.0,-2.0,-3.0,0.0,-1.0,0.0,-1.0,15.973
28,-2.5,-2.0,0.0,-1.0,0.5,1.0,-2.0,-1.0,0.0,-3.0,-4.0,-2.5,0.5,-1.5,-3.0,14.018
29,7.1,6.4,7.0,7.4,5.5,5.6,6.2,5.3,6.0,6.2,5.9,7.3,6.5,6.1,5.8,5.9
30,-1.0,-0.5,0.0,0.5,1.0,2.0,-1.5,-1.0,0.5,-1.0,-3.0,0.0,-1.0,0.0,-0.5,16.386
31,-2.0,-1.0,0.0,-0.5,1.0,1.5,-1.5,-1.0,0.0,-2.0,-3.0,-2.0,0.0,-1.0,-2.0,15.866
32,6.5,6.2,6.8,7.5,5.5,5.8,6.3,5.7,6.1,6.6,5.8,7.6,6.3,6.0,5.9,5.754
33,-0.5,0.0,0.5,0.5,1.0,2.0,-1.0,-1.5,0.5,-1.5,-2.5,0.0,-1.0,0.0,-0.5,16.132
34,-2.2,-1.5,0.0,-0.7,0.5,1.0,-1.8,-1.0,0.2,-2.5,-3.0,-2.0,0.0,-1.5,-2.3,14.827
35,6.7,6.3,6.9,7.5,5.6,5.9,6.4,5.5,6.0,6.8,5.9,7.4,6.7,6.5,5.8,5.622
36,0.0,-0.2,0.3,0.2,1.0,1.5,-1.0,-1.3,0.5,-1.5,-2.0,0.0,-0.5,0.0,-0.2,17.008
37,-2.2,-1.5,0.0,-0.7,0.5,1.0,-1.5,-1.0,0.2,-2.5,-3.0,-2.0,0.5,-1.3,-2.5,14.616
38,6.8,6.3,6.9,7.5,5.6,5.8,6.5,5.8,6.2,6.7,5.9,7.5,6.6,6.5,5.9,5.566
