iteration,uncertainty
5,7.965806927110397
6,6.733272665506843
7,7.728322963687888
8,8.26418674541858
9,8.522137945023
10,8.543986079485252
11,8.454700402720167
12,8.438864796077517
13,8.254986260555714
14,8.080664020338947
15,7.97563589400585
16,7.80859431797025
17,7.859028796151315
18,7.706297421040103
19,7.58083099461815
23,7.139925291075351
24,7.036606153758265
25,6.914222726864458
26,6.709062538845398
27,6.606999254692012
28,6.5507401727109595
29,6.462065117069669
30,6.308298492516284
31,6.227736588172409
32,6.088384399087709
33,5.959373378908792
36,5.775194836881463
37,5.725528802234867
38,5.612753691609362
39,5.775508202708129
40,5.944325532280329
41,5.940470498970467
42,5.858833538134697
43,5.832592561853644
44,5.788470158990752
45,5.794409054737876
46,5.732770967701305
47,5.635548938708413
51,5.721073673577712
52,5.678766950779712
53,5.810024752571431
54,5.836157429553221
55,5.786895609844796
56,5.726293325887882
57,5.682915742043315
58,5.649541808935458
59,5.607658220181161
60,5.5696391315293985
61,5.5236629968442275
64,6.843720924844348
65,6.823053607643715
66,6.777328577602893
67,6.704860743723878
68,6.64669606110109
69,6.5840604763913175
70,6.544271095606951
71,6.518275155676033
72,6.497910116369222
73,6.471973511282945
74,6.407656120049365
75,6.361026956056299
76,7.55293789944903
77,7.508571663229934
78,7.500190304513776
79,7.454762525957118
80,7.52663588057235
81,7.477902644798083
82,7.446623694846955
83,7.493521761318104
84,7.476029360668556
85,7.551270612738365
86,7.526242813691976
87,7.490031843727111
88,7.470826367892508
90,7.636955552414639
91,7.619135583464996
92,7.708847542174415
93,7.795170571030898
94,7.728888164909163
95,7.698666829959891
96,7.684622807576869
97,7.672619413628108
98,8.046428013687597
99,8.092918894188069
100,8.070138279537984
101,8.04774762451904
102,8.021386934350021
103,8.005236474490903
104,7.978673123608914
105,7.952119965367668
