iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,0.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,20.02,4.0,True,Maximize Hole Scavenging
2,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,True,Dye Synergy Exploration
3,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0,True,Surfactant Influence
4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.93,0.0,True,High Concentration of P10-MIX1
5,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.02,5.0,True,Balanced Chemical Mixture
6,0.0,2.0,0.0,0.75,0.75,4.800000000000001,0.0,0.0,0.0,0.0,18.91,3.5,True,None
7,0.0,2.5,0.0,0.75,0.75,4.800000000000001,0.0,0.0,0.0,0.0,13.02,4.0,True,None
8,0.0,1.5,0.0,1.0,0.75,4.6,0.0,0.0,0.0,0.0,21.38,3.25,True,None
9,0.0,1.5,0.0,1.25,0.5,4.6,0.0,0.0,0.0,0.0,16.93,3.25,True,None
10,0.0,1.5,0.0,0.75,1.0,4.4,0.0,0.0,0.0,0.0,20.45,3.25,True,None
11,0.0,1.5,0.0,0.75,1.0,4.800000000000001,0.0,0.0,0.0,0.0,20.64,3.25,True,None
12,0.0,1.5,0.0,0.0,0.25,1.8,0.0,0.0,0.0,0.0,5.52,1.7499999999999998,True,None
13,0.0,1.5,0.0,1.0,1.0,4.6,0.0,0.0,0.0,0.0,22.27,3.5,True,None
14,0.0,0.0,0.0,0.0,0.0,1.0,3.75,1.25,0.0,0.0,0.0,5.0,True,None
15,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,4.5,4.22,4.5,True,None
16,0.0,1.5,0.0,0.0,1.0,4.6,0.0,0.0,0.0,0.0,13.06,2.5,True,Optimized L-Cysteine and P10-MIX1
17,0.0,1.5,0.0,0.0,1.5,4.0,0.0,0.0,0.0,0.0,13.13,3.0,True,Increased NaOH with L-Cysteine
18,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,1.94,0.0,True,Minimized Dyes with High P10-MIX1
19,0.5,1.0,0.5,0.5,0.5,4.0,0.0,0.0,0.0,0.0,0.16,3.0,True,Balanced Approach with L-Cysteine
20,0.0,1.5,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.43,3.5,True,High NaCl and L-Cysteine
21,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,True,None
22,0.0,1.5,0.0,1.0,1.0,4.6,0.25,0.0,0.0,0.0,18.37,3.75,True,None
23,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.25,1.25,0.0,0.0,4.0,True,None
24,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.19,5.0,True,None
25,0.0,2.0,0.0,0.0,3.0,2.6,0.0,0.0,0.0,0.0,8.89,5.0,True,None
26,1.5,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.0,1.25,0.01,3.75,True,None
27,0.0,0.0,0.5,0.25,1.75,1.0,0.25,0.0,0.0,0.75,0.01,3.5,True,None
28,0.0,1.0,0.0,0.0,0.25,4.4,0.0,0.0,0.0,1.25,12.84,2.5,True,None
29,0.0,1.5,0.0,1.0,1.0,4.6,0.0,0.0,0.0,0.25,23.27,3.75,True,None
30,0.0,1.75,0.0,1.0,1.0,4.6,0.0,0.0,0.0,0.5,23.16,4.25,True,None
31,0.0,1.5,0.0,1.0,1.0,4.6,0.0,0.25,0.0,0.25,4.01,4.0,True,None
32,0.0,1.5,0.0,0.0,0.5,4.6,0.0,0.0,0.0,0.0,11.15,2.0,True,Optimized L-Cysteine and P10-MIX1
33,0.0,1.5,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,14.46,3.5,True,Increased NaOH with L-Cysteine
34,0.0,0.0,0.0,0.0,0.5,4.8,0.0,0.0,0.0,0.0,2.38,0.5,True,Minimized Dyes with High P10-MIX1
35,0.5,1.0,0.5,0.5,0.75,4.0,0.0,0.0,0.0,0.0,0.13,3.25,True,Balanced Approach with L-Cysteine
36,0.0,1.5,0.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,7.32,3.0,True,High NaCl and L-Cysteine
37,0.0,1.5,0.0,0.75,0.75,4.6,0.0,0.0,0.0,0.0,20.28,3.0,True,None
38,0.0,0.75,0.0,0.0,0.25,3.8000000000000003,0.25,0.0,1.0,1.0,0.97,3.2500000000000004,True,None
39,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.05,2.5,True,None
40,0.0,0.0,2.25,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.25,True,None
