iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.73,3.0,True,Hole Scavenger Focus
2,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,True,Ionic Strength Variation
3,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.3,5.0,True,pH Adjustment Exploration
4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,True,Surfactant Influence
5,0.75,0.25,0.0,1.0,0.75,1.4,0.25,0.25,0.25,0.0,0.12,3.5000000000000004,True,None
6,0.75,0.25,0.75,0.5,0.0,4.2,0.0,0.0,0.75,0.0,0.02,3.0,True,None
7,0.5,0.25,0.75,0.5,0.0,4.4,0.25,0.0,0.5,0.25,0.08,3.0,True,None
8,0.0,2.25,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.24,3.25,True,None
9,0.0,1.75,0.0,1.25,0.0,5.0,0.0,0.0,0.0,0.0,6.76,3.0,True,None
10,0.0,1.5,0.0,0.75,0.0,5.0,0.0,0.5,0.0,0.0,0.09,2.75,True,None
11,0.0,2.0,0.0,1.25,0.0,5.0,0.0,0.0,0.0,0.0,6.58,3.25,True,None
12,0.0,1.75,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.25,7.45,3.0,True,None
13,0.0,1.75,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.5,7.89,3.25,True,None
14,0.0,1.75,0.0,1.0,0.25,5.0,0.0,0.0,0.0,0.5,12.36,3.5,True,None
15,0.25,0.75,0.0,0.75,0.5,4.800000000000001,0.25,0.0,0.25,0.75,5.37,3.5,True,None
16,0.0,0.75,0.25,0.25,1.0,3.8000000000000003,0.25,0.0,0.0,0.75,1.96,3.2500000000000004,True,None
17,1.5,0.0,3.0,0.0,0.0,1.6,0.0,0.0,0.0,0.5,0.0,5.0,True,None
18,0.0,0.25,0.0,0.0,0.0,2.8,0.0,0.0,0.0,2.75,6.48,3.0,True,None
19,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,3.5,4.12,3.5,True,None
20,0.0,0.75,0.0,0.0,0.0,3.4000000000000004,0.0,0.0,0.0,2.75,10.79,3.5,True,None
21,0.0,1.0,0.0,0.25,0.0,3.2,0.0,0.0,0.0,2.5,9.32,3.75,True,None
22,0.0,2.5,0.0,1.5,0.0,5.0,0.0,0.0,0.0,0.0,4.52,4.0,True,Optimized L-Cysteine and NaCl
23,0.0,1.5,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.03,4.5,True,Surfactant and Hole Scavenger Combination
24,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.9,2.0,True,Balanced Ionic Strength and pH
25,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.78,3.0,True,High L-Cysteine with Minimal Dyes
26,0.0,0.75,0.0,0.25,0.0,3.6,0.0,0.0,0.0,2.75,10.61,3.7499999999999996,True,None
27,0.0,1.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,3.0,11.53,3.9999999999999996,True,None
