iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,0.0,1.0,0.0,1.0,0.5,5.0,0.0,0.0,1.0,0.0,0.77,3.5,True,Surfactant Synergy
2,1.0,0.5,1.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.04,3.0,True,Dye Optimization
3,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.62,2.0,True,pH Influence
4,0.0,2.0,0.0,1.0,0.5,5.0,0.0,0.0,0.0,0.0,15.45,3.5,True,Hole Scavenger Focus
5,0.0,0.0,0.0,2.0,0.5,5.0,0.0,0.0,0.0,0.0,4.68,2.5,True,Salt Influence
6,0.75,0.25,1.0,0.0,0.25,4.800000000000001,0.0,0.0,0.25,0.0,0.04,2.5,True,None
7,0.0,2.25,0.0,1.0,0.25,5.0,0.0,0.0,0.0,0.0,9.93,3.5,True,None
8,0.0,1.75,0.0,1.0,0.5,5.0,0.0,0.0,0.0,0.0,16.8,3.25,True,None
9,0.0,1.75,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.0,21.26,3.5,True,None
10,0.0,1.75,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,22.13,3.75,True,None
11,0.0,1.5,0.0,1.25,0.75,5.0,0.0,0.0,0.0,0.0,20.37,3.5,True,None
12,0.0,1.75,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.25,22.15,3.75,True,None
13,0.0,1.75,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.25,23.09,4.0,True,None
14,0.0,1.75,0.0,1.0,1.0,5.0,0.5,0.0,0.0,0.25,13.02,4.5,True,None
15,0.5,0.25,0.0,1.0,0.0,1.0,0.0,0.75,0.0,1.25,0.18,3.75,True,None
16,0.0,0.0,0.75,0.0,0.25,1.8,1.25,0.0,1.25,0.0,0.01,3.5,True,None
17,0.0,1.75,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.83,2.75,True,Enhanced L-Cysteine and NaCl
18,0.0,1.75,0.0,1.0,0.25,5.0,0.0,0.0,0.0,0.0,11.36,3.0,True,Balanced NaOH and L-Cysteine
19,0.0,1.5,1.0,1.0,0.5,5.0,0.0,0.0,1.0,0.0,0.0,5.0,True,Dye and Surfactant Interaction
20,0.0,1.0,0.0,2.0,0.25,5.0,0.0,0.0,0.0,0.0,9.0,3.25,True,High NaCl and Low NaOH
21,0.0,1.75,0.0,1.0,0.5,5.0,0.25,0.0,0.0,0.0,15.19,3.5,True,Minimal Surfactant and High L-Cysteine
22,0.0,1.5,0.0,1.0,0.75,5.0,0.0,0.25,0.0,0.25,3.82,3.75,True,None
23,0.0,0.0,0.75,0.0,0.0,3.6,0.0,4.25,0.0,0.0,0.0,5.0,True,None
24,0.0,0.0,0.0,0.0,5.0,3.8000000000000003,0.0,0.0,0.0,0.0,0.21,5.0,True,None
25,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.01,3.0,True,None
26,1.25,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,2.75,0.0,3.999999999999999,True,None
27,0.0,0.0,0.0,0.0,2.0,2.2,0.0,1.25,0.0,0.0,0.0,3.25,True,None
28,0.0,0.0,0.0,0.0,0.0,4.6,3.0,0.0,0.0,0.0,0.21,3.0,True,None
29,0.25,1.25,1.5,0.5,0.0,1.0,0.25,0.0,0.0,0.0,0.0,3.75,True,None
30,0.0,1.25,0.0,0.0,0.0,2.8,1.0,0.0,0.0,1.0,4.64,3.25,True,None
31,0.5,0.0,0.0,0.75,0.0,2.4000000000000004,0.0,1.25,1.0,0.0,0.0,3.5,True,None
32,1.5,0.25,0.25,0.0,1.5,1.0,0.25,0.0,0.0,0.25,0.0,4.0,True,None
33,0.0,1.5,1.25,1.0,0.5,5.0,0.0,0.0,0.75,0.0,0.0,5.0,True,Dye and Surfactant Synergy
34,0.0,1.0,0.0,2.0,0.5,5.0,0.0,0.0,0.0,0.0,12.48,3.5,True,High NaCl with Low NaOH
35,0.0,1.75,0.0,1.0,0.5,5.0,0.5,0.0,0.0,0.0,12.59,3.75,True,Minimal Surfactant with High L-Cysteine
36,0.5,0.25,1.75,0.0,0.25,2.6,0.0,0.25,0.0,0.25,0.0,3.2499999999999996,True,None
37,0.0,0.0,0.0,1.0,1.25,1.6,1.25,0.0,0.0,0.0,0.43,3.4999999999999996,True,None
38,0.0,0.0,0.0,1.0,0.0,3.0,0.25,0.25,0.25,1.5,0.55,3.25,True,None
39,0.5,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.2,3.5,True,None
40,0.25,1.75,0.0,0.0,0.25,1.4,0.5,0.75,0.25,0.0,0.06,3.7500000000000004,True,None
41,0.75,0.5,0.0,0.0,0.0,1.0,0.25,0.25,1.75,0.25,0.04,3.75,True,None
42,0.0,0.0,0.25,0.0,0.0,3.2,1.25,1.25,0.5,0.0,0.0,3.25,True,None
43,1.0,0.0,0.5,0.5,0.0,1.0,1.5,0.0,0.0,0.25,0.0,3.75,True,None
44,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,True,None
45,0.25,1.0,0.0,0.0,0.75,3.2,0.0,0.0,1.25,0.0,0.16,3.25,True,None
46,0.5,0.0,0.0,0.0,0.0,4.800000000000001,1.0,0.75,0.0,0.75,0.03,3.0,True,None
47,1.5,0.0,0.0,0.25,0.0,2.2,0.25,0.0,0.0,1.25,0.01,3.25,True,None
48,0.0,1.75,0.0,1.25,0.0,5.0,0.0,0.0,0.0,0.0,6.76,3.0,True,Optimized L-Cysteine and NaCl Variation
49,0.0,1.5,1.5,1.0,0.5,5.0,0.0,0.0,0.5,0.0,0.0,5.0,True,Dye and Surfactant Synergy Variation
50,0.0,1.25,0.0,2.0,0.75,5.0,0.0,0.0,0.0,0.0,14.95,4.0,True,High NaCl with Moderate NaOH
51,0.0,1.75,0.0,1.25,0.5,5.0,0.75,0.0,0.0,0.0,8.19,4.25,True,Minimal Surfactant with Increased L-Cysteine
52,0.0,1.5,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.0,20.67,3.25,True,Exploring Higher NaOH
53,0.0,0.0,0.0,0.0,0.0,1.4,5.0,0.0,0.0,0.0,0.06,5.0,True,None
54,0.0,1.5,0.25,0.25,0.0,1.2,0.0,0.0,0.25,1.5,0.69,3.75,True,None
55,0.0,0.25,1.25,0.0,1.5,1.2,0.0,0.5,0.25,0.0,0.0,3.75,True,None
56,0.25,0.0,0.0,0.0,1.25,1.0,0.0,0.0,1.5,0.5,0.02,3.5,True,None
57,0.0,1.25,0.0,1.25,0.0,1.0,1.5,0.0,0.0,0.0,0.84,4.0,True,None
58,0.25,0.25,0.25,0.0,0.25,1.8,0.0,2.0,0.25,0.0,0.01,3.25,True,None
59,0.0,1.25,0.5,0.0,0.25,4.6,1.0,0.0,0.0,0.0,0.12,3.0,True,None
60,0.0,0.25,1.0,0.0,0.0,1.4,0.75,0.0,0.0,1.5,0.01,3.5000000000000004,True,None
61,0.0,1.5,0.0,1.25,0.25,2.8,0.25,0.0,0.25,0.0,6.3,3.5,True,None
62,0.0,0.0,1.5,0.5,0.0,3.6,0.5,0.0,0.75,0.0,0.0,3.2499999999999996,True,None
63,1.5,1.25,0.25,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.01,3.0,True,None
64,0.0,1.0,0.0,1.75,0.5,5.0,0.0,0.0,0.0,0.0,13.96,3.25,True,High NaCl with Moderate NaOH
65,0.0,1.5,0.0,1.25,0.25,5.0,0.0,0.0,0.0,0.0,10.96,3.0,True,Exploring Lower NaOH
66,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.58,5.0,True,None
67,0.0,0.0,0.25,1.25,0.0,3.4000000000000004,1.0,0.0,0.0,0.0,0.38,2.5,True,None
68,0.0,0.0,0.0,0.25,0.0,1.0,1.5,1.25,0.25,0.5,0.0,3.75,True,None
69,0.0,0.0,0.0,0.0,1.0,4.800000000000001,0.0,0.0,1.25,0.5,0.13,2.75,True,None
70,0.0,0.0,0.0,0.0,0.0,3.2,0.25,1.25,0.0,1.5,0.0,3.0,True,None
71,1.25,0.0,0.0,0.25,0.25,3.4000000000000004,0.0,1.25,0.0,0.0,0.0,3.0,True,None
72,1.0,0.0,0.0,1.5,0.75,1.4,0.0,0.25,0.25,0.0,0.04,3.7500000000000004,True,None
73,0.0,1.0,0.75,1.25,0.0,1.8,0.0,0.0,0.75,0.0,0.01,3.75,True,None
74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,True,None
