iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,1.0,0.5,1.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.02,3.5,True,Dye-Enhanced HER
2,0.0,1.0,0.0,1.0,0.5,2.0,0.0,0.0,0.5,0.0,2.97,3.0,True,Surfactant and Hole Scavenger
3,0.5,0.5,0.5,0.5,0.5,2.0,0.5,0.0,0.0,0.0,0.1,3.0,True,Balanced Mixture
4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.93,0.0,True,High Concentration of P10-MIX1
5,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.28,3.0,True,Ionic Strength Variation
6,0.0,0.75,0.0,1.25,0.5,2.0,0.0,0.0,0.5,0.0,2.63,3.0,True,None
7,0.0,1.25,0.0,1.0,0.5,2.0,0.0,0.0,0.5,0.0,3.1,3.25,True,None
8,0.0,1.25,0.0,0.75,0.5,2.0,0.0,0.0,1.0,0.0,0.49,3.5,True,None
9,0.0,1.0,0.0,1.0,0.5,2.0,0.0,0.0,0.25,0.0,6.3,2.75,True,None
10,0.0,1.0,0.0,1.0,0.25,2.0,0.0,0.0,0.0,0.0,6.79,2.25,True,None
11,0.0,1.0,0.0,1.0,0.25,1.8,0.0,0.0,0.0,0.0,6.11,2.25,True,None
12,0.5,0.5,0.75,0.5,0.5,2.0,0.5,0.0,0.0,0.25,0.05,3.5,True,None
13,0.0,1.0,0.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,8.86,2.5,True,None
14,0.0,1.0,0.0,0.75,0.75,3.0,0.0,0.0,0.0,0.5,20.68,3.0,True,None
15,0.0,0.75,0.0,0.75,0.75,3.4000000000000004,0.0,0.0,0.0,0.75,23.05,3.0,True,None
16,0.0,1.0,0.0,0.75,1.0,3.4000000000000004,0.0,0.0,0.0,0.75,20.54,3.5,True,None
17,0.0,0.5,0.0,0.5,0.5,3.2,0.0,0.0,0.0,1.0,14.2,2.5,True,None
18,0.0,0.75,0.0,0.75,0.5,3.4000000000000004,0.0,0.0,0.0,0.5,19.54,2.5,True,None
19,0.0,0.5,0.0,1.0,0.75,3.2,0.0,0.0,0.0,0.5,16.15,2.75,True,None
20,0.0,0.75,0.0,0.75,0.5,3.4000000000000004,0.0,0.0,0.0,0.75,20.78,2.75,True,None
21,0.0,0.75,0.0,0.75,0.75,3.4000000000000004,0.0,0.25,0.0,0.75,3.24,3.25,True,None
22,0.25,0.25,0.0,0.5,0.75,3.2,0.25,0.0,0.25,0.75,2.76,3.0,True,None
23,0.0,1.0,0.0,1.0,0.5,3.0,0.0,0.0,0.0,0.0,14.05,2.5,True,Optimized L-Cysteine and NaCl
24,0.0,0.5,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,9.0,1.5,True,High P10-MIX1 with Moderate L-Cysteine
25,0.0,0.5,0.0,1.0,0.5,3.0,0.0,0.0,0.5,0.0,3.22,2.5,True,Balanced Approach with Surfactant
26,0.0,0.75,0.0,0.75,0.5,3.0,0.0,0.0,0.0,0.0,12.63,2.0,True,Minimized AcidRed871
27,0.0,0.5,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,8.66,2.0,True,Exploring Higher NaOH Concentration
28,0.0,0.75,0.0,0.75,0.5,3.2,0.0,0.0,0.0,0.5,18.77,2.5,True,None
29,0.0,1.0,0.25,0.5,0.25,3.6,0.25,0.0,0.0,0.75,1.96,2.9999999999999996,True,None
30,0.0,1.0,0.0,0.75,0.5,3.0,0.0,0.0,0.5,0.75,5.2,3.5,True,None
31,0.0,0.75,0.0,0.75,0.25,4.2,0.0,0.25,0.25,0.5,1.89,2.75,True,None
32,0.0,0.75,0.0,0.75,0.75,3.2,0.0,0.0,0.0,0.5,20.89,2.75,True,None
33,0.25,0.75,0.25,0.75,0.75,3.0,0.0,0.0,0.0,0.5,1.16,3.25,True,None
34,0.0,0.5,0.0,0.75,0.75,3.6,0.25,0.0,0.0,0.5,14.11,2.7499999999999996,True,None
35,0.0,0.5,0.0,0.0,0.75,3.0,0.5,0.25,0.25,0.75,1.15,3.0,True,None
36,0.0,0.75,0.0,1.0,1.0,3.4000000000000004,0.25,0.0,0.0,0.0,13.29,3.0,True,None
37,0.0,0.5,0.25,0.25,0.75,3.0,0.25,0.0,0.5,0.5,0.65,3.0,True,None
38,0.0,1.0,0.0,1.0,0.5,2.8,0.75,0.0,0.0,0.0,8.49,3.25,True,None
39,0.0,1.0,0.0,1.0,0.5,3.2,0.0,0.0,0.0,0.0,14.88,2.5,True,Optimized L-Cysteine and NaCl
40,0.25,0.25,0.5,0.75,0.5,3.2,0.0,0.0,0.75,0.25,0.04,3.25,True,None
41,0.0,0.75,0.0,1.0,0.75,3.0,0.0,0.0,0.0,0.75,21.26,3.25,True,None
42,0.0,0.0,1.25,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,3.75,True,None
43,0.25,0.0,0.5,0.5,0.75,3.4000000000000004,0.5,0.25,0.25,0.25,0.08,3.25,True,None
44,0.0,0.75,0.5,0.25,0.0,4.0,0.5,0.0,0.0,0.5,0.46,2.5,True,None
45,0.5,0.25,0.5,0.75,0.25,3.0,0.25,0.5,0.0,0.25,0.04,3.25,True,None
46,0.0,1.0,0.0,1.0,0.75,3.6,0.0,0.0,0.0,0.25,23.52,2.9999999999999996,True,None
47,0.0,0.25,0.0,1.25,0.25,3.4000000000000004,0.0,0.0,0.0,1.0,7.96,2.75,True,None
48,0.0,0.25,0.0,0.25,0.0,1.4,1.25,0.0,1.75,0.0,0.04,3.5000000000000004,True,None
49,0.25,0.5,0.0,1.0,0.75,2.8,0.0,0.0,0.0,0.75,5.75,3.25,True,None
50,0.75,0.0,0.0,0.0,0.25,1.0,0.75,0.0,0.25,1.75,0.08,3.75,True,None
51,0.0,0.0,0.25,1.5,0.0,1.2,0.0,1.5,0.0,0.25,0.0,3.5,True,None
52,0.0,1.0,0.0,1.0,0.5,3.4,0.0,0.0,0.0,0.0,15.55,2.5000000000000004,True,Optimized L-Cysteine and NaCl
53,0.0,0.75,0.0,0.75,0.5,4.0,0.0,0.0,0.0,0.0,13.96,2.0,True,High P10-MIX1 with Moderate L-Cysteine
54,0.0,0.75,0.0,0.5,0.5,3.2,0.0,0.0,0.0,0.0,12.02,1.75,True,Minimized AcidRed871
55,0.0,0.5,0.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,4.67,2.5,True,Exploring Higher NaOH Concentration
56,0.0,1.0,0.0,0.5,1.0,4.0,0.0,0.0,0.0,0.25,17.31,2.75,True,None
57,1.0,0.0,0.0,1.0,0.0,1.0,1.75,0.0,0.0,0.25,0.03,4.0,True,None
58,0.0,1.75,0.0,0.0,0.0,1.4,0.25,1.25,0.0,0.0,0.01,3.2500000000000004,True,None
59,0.0,1.0,0.0,0.5,1.0,4.4,0.25,0.0,0.25,0.0,9.1,3.0,True,None
60,1.0,0.0,1.25,0.25,0.25,4.6,0.0,0.0,0.0,0.0,0.05,2.75,True,None
61,0.0,1.0,0.0,1.0,1.0,3.6,0.0,0.0,0.0,0.0,18.77,2.9999999999999996,True,None
62,0.0,0.75,0.0,1.0,0.75,3.6,0.0,0.0,0.25,0.5,13.96,3.2499999999999996,True,None
63,0.25,0.0,0.0,0.0,1.25,4.800000000000001,0.0,0.0,0.0,1.0,1.0,2.5,True,None
64,0.0,1.0,0.25,0.75,0.75,3.8000000000000003,0.0,0.0,0.0,0.25,2.62,3.0000000000000004,True,None
65,0.0,0.0,0.25,0.0,1.5,1.2,0.25,0.25,0.75,0.25,0.04,3.25,True,None
66,0.5,0.5,0.0,0.75,1.25,4.0,0.0,0.0,0.0,0.0,0.61,3.0,True,None
