iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,1.0,2.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.01,4.5,True,Dye and Hole Scavenger Synergy
2,0.0,1.0,2.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,4.5,True,Surfactant and Dye Combination
3,0.0,0.5,0.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0,0.28,4.0,True,pH Adjustment with Surfactant
4,0.0,0.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,3.21,1.0,True,High Concentration of P10-MIX1
5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.01,4.0,True,Balanced Mixture for Charge Separation
6,0.0,0.0,0.0,0.25,0.25,5.0,0.0,0.0,0.0,0.0,2.54,0.5,True,None
7,0.0,0.0,0.0,1.5,0.75,4.0,0.0,0.0,0.0,0.0,5.21,2.25,True,None
8,0.0,0.0,0.0,2.25,0.75,4.0,0.0,0.0,0.0,0.0,4.28,3.0,True,None
9,0.0,0.0,0.0,1.25,1.25,4.2,0.0,0.0,0.0,0.0,2.9,2.5,True,None
10,0.0,0.0,0.0,1.5,0.25,3.8000000000000003,0.0,0.0,0.0,0.0,4.2,1.7500000000000004,True,None
11,0.0,0.0,0.0,1.5,0.5,4.0,0.0,0.0,0.0,0.25,5.91,2.25,True,None
12,0.0,0.0,0.0,1.5,0.5,4.0,0.0,0.0,0.0,0.5,6.22,2.5,True,None
13,0.0,0.0,0.0,1.5,0.25,4.4,0.0,0.0,0.0,0.5,5.16,2.25,True,None
14,0.0,0.0,0.0,1.5,0.5,3.8000000000000003,0.0,0.25,0.0,0.5,1.26,2.7500000000000004,True,None
15,0.0,0.0,0.0,1.0,0.75,4.2,0.25,0.0,0.5,0.25,2.54,2.75,True,None
16,0.0,0.0,0.25,0.75,0.75,4.0,0.5,0.0,0.5,0.25,0.52,3.0,True,None
17,0.0,0.25,0.0,1.0,1.0,4.0,0.25,0.0,0.25,0.25,5.7,3.0,True,None
18,0.0,0.0,0.0,1.25,0.5,4.0,0.0,0.0,0.0,0.25,5.63,2.0,True,None
19,0.25,0.5,0.0,1.0,0.75,4.2,0.25,0.0,0.25,0.0,4.38,3.0,True,None
20,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.27,2.0,True,Maximized P10-MIX1 with Optimal NaCl and NaOH
21,0.0,0.5,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,11.23,2.5,True,Balanced Mixture with High P10-MIX1
22,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.61,3.0,True,High NaCl and NaOH with Minimal Dyes
23,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.5,0.0,1.41,2.5,True,Exploring Surfactant Effects
24,1.0,1.0,0.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.05,3.5,True,Testing Lower P10-MIX1 with Dyes
25,0.25,0.75,0.0,0.75,0.5,4.2,0.5,0.0,0.25,0.0,5.39,3.0,True,None
26,0.25,0.75,0.0,0.75,0.25,4.0,0.5,0.25,0.25,0.0,1.09,3.0,True,None
27,0.0,0.5,0.0,1.0,1.0,3.8000000000000003,0.0,0.0,0.0,0.0,11.31,2.5000000000000004,True,None
28,0.0,1.0,0.0,0.5,1.0,4.0,0.5,0.0,0.25,0.0,7.99,3.25,True,None
29,0.0,0.25,0.5,0.25,0.5,3.6,0.5,0.25,0.5,0.25,0.06,2.9999999999999996,True,None
30,0.0,0.5,0.0,0.75,1.0,3.8000000000000003,0.0,0.0,0.0,0.0,9.97,2.2500000000000004,True,None
31,0.0,0.0,0.0,1.5,1.0,4.0,0.0,0.0,0.0,0.0,4.41,2.5,True,Maximized P10-MIX1 with Optimal NaCl and NaOH
32,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.5,4.49,3.5,True,High P10-MIX1 with Minimal Dyes
33,0.0,0.0,0.0,1.0,1.5,4.0,0.0,0.0,0.5,0.0,0.67,3.0,True,Exploring Surfactant Effects with High P10-MIX1
34,0.0,0.0,0.0,1.5,1.0,4.0,0.0,0.0,0.5,0.0,1.48,3.0,True,Balanced Mixture with High P10-MIX1 and Surfactant
35,0.0,1.0,0.0,0.75,0.75,3.6,0.25,0.0,0.0,0.5,19.05,3.2499999999999996,True,None
36,0.0,1.0,0.0,0.75,0.75,3.6,0.0,0.0,0.0,0.5,24.61,2.9999999999999996,True,None
37,0.0,1.0,0.25,0.75,0.25,3.6,0.0,0.0,0.0,0.75,2.05,2.9999999999999996,True,None
38,0.25,0.75,0.0,0.75,0.75,3.6,0.0,0.0,0.25,0.5,5.43,3.2499999999999996,True,None
39,0.5,0.75,0.5,0.0,0.5,3.4000000000000004,0.25,0.25,0.25,0.25,0.1,3.25,True,None
40,0.0,0.75,0.0,0.75,1.0,3.2,0.0,0.0,0.0,0.5,17.78,3.0,True,None
41,0.25,0.5,0.0,0.75,0.75,2.6,0.25,0.0,0.25,0.5,3.33,3.2499999999999996,True,None
42,0.0,0.5,0.75,0.0,0.25,4.4,0.25,0.0,0.75,0.5,0.03,3.0,True,None
43,0.75,0.25,0.5,0.5,0.5,3.6,0.5,0.0,0.25,0.25,0.11,3.4999999999999996,True,None
44,0.25,0.25,0.25,0.5,0.75,4.800000000000001,0.0,0.25,0.5,0.5,0.14,3.25,True,None
45,0.0,0.75,0.0,0.75,0.75,3.8000000000000003,0.0,0.0,0.0,0.75,24.15,3.0000000000000004,True,None
46,0.0,1.0,0.0,1.5,0.5,4.0,0.0,0.0,0.0,0.0,17.07,3.0,True,Maximized P10-MIX1 with Optimal NaCl and L-Cysteine
47,0.0,1.5,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,18.31,4.5,True,High P10-MIX1 with Minimal Dyes and Enhanced L-Cysteine
48,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.5,0.0,4.87,3.5,True,Exploring Surfactant Effects with High P10-MIX1 and L-Cysteine
49,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.0,0.5,0.0,5.21,3.0,True,Balanced Mixture with High P10-MIX1 and L-Cysteine
50,0.0,0.75,0.0,0.75,0.75,3.6,0.0,0.0,0.0,0.5,22.76,2.7499999999999996,True,None
51,0.0,1.0,0.0,0.25,1.0,3.8000000000000003,0.0,0.0,0.0,0.75,15.35,3.0000000000000004,True,None
52,0.0,1.0,0.0,0.5,0.75,3.6,0.0,0.0,0.0,0.75,22.22,2.9999999999999996,True,None
53,0.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0.5,0.0,0.0,3.5,True,None
54,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,5.0,1.77,5.0,True,None
55,1.5,0.0,0.0,0.25,0.0,1.2,0.0,0.0,0.0,1.75,0.01,3.5,True,None
56,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,0.0,5.0,0.0,0.0,0.0,5.0,True,None
57,0.0,0.0,0.0,0.0,0.0,5.0,3.5,0.0,0.0,0.0,0.61,3.5,True,None
58,0.0,0.75,0.0,0.75,1.0,4.0,0.0,0.25,0.0,0.5,3.01,3.25,True,None
59,0.0,1.0,0.25,0.0,1.0,2.8,0.25,0.25,0.0,0.75,0.57,3.5,True,None
60,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.0,16.38,2.5,True,Balanced Mixture with High P10-MIX1 and Minimal Dyes
61,0.0,1.0,0.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,8.86,2.5,True,Testing Lower P10-MIX1 with Enhanced L-Cysteine
62,0.0,0.5,0.0,0.75,0.75,3.2,0.0,0.0,0.0,0.75,16.02,2.75,True,None
63,0.0,0.75,0.0,0.75,0.75,3.4000000000000004,0.0,0.0,0.0,0.75,23.05,3.0,True,None
64,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11,4.0,True,None
65,0.0,0.0,3.75,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.75,True,None
66,3.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.03,3.5,True,None
67,0.0,0.75,0.0,0.25,1.0,3.4000000000000004,0.0,0.0,0.0,1.0,13.02,3.0,True,None
68,0.0,0.5,0.0,0.5,1.75,4.0,0.0,0.0,0.0,1.75,1.8,4.5,True,None
69,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.25,3.33,3.25,True,None
70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,0.0,0.0,3.25,True,None
71,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.5,4.38,2.5,True,Maximized P10-MIX1 with Optimal NaCl and NaOH
72,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.5,20.7,3.0,True,Balanced Mixture with High P10-MIX1 and Minimal Dyes
73,0.0,0.5,0.0,1.0,0.5,4.0,0.25,0.0,0.0,1.0,14.66,3.25,True,None
74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,True,None
75,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,True,None
