iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,0.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,20.02,4.0,True,Hole Scavenger Optimization
2,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0,True,Surfactant Influence
3,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.31,4.0,True,pH Adjustment
4,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,True,Combined Dyes Effect
5,0.0,0.75,0.0,0.75,0.5,3.0,0.0,0.5,0.75,0.0,0.12,3.25,True,None
6,0.0,0.75,0.0,0.5,0.25,2.8,0.0,0.5,0.5,0.0,0.12,2.5,True,None
7,0.0,2.25,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.0,15.71,4.0,True,None
8,0.0,1.75,0.0,1.0,1.25,5.0,0.0,0.0,0.0,0.0,19.95,4.0,True,None
9,0.0,2.0,0.0,1.0,1.25,5.0,0.0,0.0,0.0,0.0,18.37,4.25,True,None
10,0.0,1.5,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.0,20.67,3.25,True,None
11,0.0,1.5,0.0,1.25,0.75,5.0,0.0,0.0,0.0,0.0,20.37,3.5,True,None
12,0.0,1.5,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.25,21.86,3.5,True,None
13,0.0,1.5,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.5,21.96,3.75,True,None
14,0.0,1.5,0.0,1.0,0.75,5.0,0.5,0.0,0.0,0.25,15.25,4.0,True,None
15,1.5,0.0,0.0,0.0,1.25,1.0,0.25,0.25,0.0,0.25,0.01,3.5,True,None
16,0.0,0.0,1.5,0.75,0.0,1.0,0.0,1.0,0.5,0.0,0.0,3.75,True,None
17,0.5,1.0,0.0,0.5,0.25,4.800000000000001,0.0,0.25,0.0,0.75,0.36,3.25,True,None
18,0.0,0.0,0.0,1.5,0.0,1.4,1.5,0.0,0.0,0.5,0.23,3.5000000000000004,True,None
19,0.0,0.0,0.0,0.0,1.25,1.4,0.25,0.0,1.75,0.0,0.01,3.2500000000000004,True,None
20,0.0,1.5,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,21.46,3.5,True,Optimized L-Cysteine and NaOH
21,0.0,1.5,0.0,0.5,1.0,5.0,0.0,0.0,0.0,0.0,18.17,3.0,True,Minimized Dye Concentration
22,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.25,0.0,10.71,3.25,True,Balanced Surfactant and Hole Scavenger
23,0.0,1.0,0.0,2.0,0.5,5.0,0.0,0.0,0.0,0.0,12.48,3.5,True,Exploring Higher NaCl Concentration
24,0.0,1.5,0.75,0.75,0.0,1.0,0.0,0.25,0.0,0.5,0.01,3.75,True,None
