iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,0.5,1.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.04,4.0,True,Dye and Hole Scavenger Synergy
2,0.0,0.5,2.0,1.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,5.0,True,Maximized Surfactant and Dye Interaction
3,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,10.39,5.0,True,pH Optimization with Hole Scavenger
4,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,True,Dye Combination for Enhanced Absorption
5,0.0,1.0,0.0,2.0,0.5,2.0,0.0,0.0,1.0,0.0,0.3,4.5,True,Surfactant and Ionic Strength Balance
6,0.5,0.0,0.25,0.25,0.25,3.0,1.0,0.75,0.25,0.0,0.02,3.25,True,None
7,0.25,0.0,0.5,0.0,0.25,3.4000000000000004,0.75,0.75,0.5,0.25,0.01,3.25,True,None
8,0.0,2.0,0.0,0.5,2.0,2.0,0.0,0.0,0.0,0.0,15.77,4.5,True,None
9,0.0,2.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,0.0,15.81,4.0,True,None
10,0.0,2.0,0.0,0.0,2.0,2.2,0.0,0.0,0.0,0.0,17.9,4.0,True,None
11,0.0,2.25,0.0,0.0,2.25,2.4000000000000004,0.0,0.0,0.0,0.0,15.21,4.5,True,None
12,0.0,2.0,0.0,0.0,1.5,2.2,0.0,0.0,0.0,0.0,10.84,3.5,True,None
13,0.0,1.5,0.0,0.0,2.25,2.2,0.0,0.0,0.0,0.0,11.46,3.75,True,None
14,0.25,1.0,0.0,1.0,0.0,4.800000000000001,0.25,0.0,0.25,0.0,2.88,2.75,True,None
15,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.25,16.53,4.25,True,None
16,0.0,0.5,0.0,0.0,0.0,1.2,1.5,0.0,0.0,1.5,0.52,3.5,True,None
17,1.25,0.0,0.25,0.0,0.0,4.800000000000001,0.0,0.0,0.75,0.25,0.01,2.5,True,None
18,0.0,2.5,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,11.93,5.0,True,Optimized L-Cysteine and NaOH
19,0.25,0.5,1.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.03,3.25,True,Balanced Dye and Hole Scavenger
20,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.86,3.0,True,Minimized Dye Concentration
21,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,1.94,0.0,True,High P10-MIX1 with Minimal Additives
22,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.43,2.0,True,Surfactant-Free Environment
23,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.75,3.63,3.75,True,None
24,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.25,0.0,0.0,0.0,4.25,True,None
25,0.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,1.0,0.25,3.75,True,None
26,2.25,0.0,0.5,0.0,0.0,1.2,0.0,0.5,0.0,0.0,0.0,3.25,True,None
27,0.0,0.0,1.25,0.0,0.0,1.2,0.0,1.5,0.0,0.5,0.0,3.25,True,None
28,0.0,1.0,0.5,0.0,1.0,3.6,0.0,0.0,0.0,0.75,0.18,3.2499999999999996,True,None
29,0.0,0.5,0.25,1.5,0.0,1.0,1.25,0.0,0.0,0.0,0.15,3.5,True,None
30,0.0,1.5,0.0,0.0,0.5,1.0,0.0,1.25,0.25,0.25,0.0,3.75,True,None
31,0.0,0.0,0.0,0.75,0.5,4.800000000000001,1.0,0.0,0.0,1.0,3.77,3.25,True,None
32,0.0,0.0,0.0,0.25,0.5,2.0,1.25,0.0,1.25,0.0,0.08,3.25,True,None
33,0.5,0.0,1.5,0.0,0.0,4.6,0.5,0.0,0.0,0.0,0.0,2.5,True,None
34,0.0,2.5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.89,4.5,True,Maximized L-Cysteine and NaOH
35,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.5,3.0,True,Minimized Dye Concentration with High P10-MIX1
36,0.5,0.5,0.5,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.07,3.0,True,Balanced Dye and Hole Scavenger
37,0.0,1.25,0.0,0.0,3.25,5.0,0.0,0.0,0.0,0.0,4.78,4.5,True,None
38,0.0,0.0,0.0,0.0,1.25,4.0,0.0,0.0,1.0,0.0,0.24,2.25,True,None
39,1.25,0.0,0.0,0.0,0.75,3.0,0.25,0.0,0.0,1.25,0.02,3.5,True,None
40,0.0,1.25,0.25,0.0,0.0,4.0,1.25,0.0,0.0,0.0,0.66,2.75,True,None
41,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.58,5.0,True,None
42,0.0,0.0,0.0,1.5,2.5,5.0,0.0,0.0,0.0,0.0,0.29,4.0,True,None
