iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,4.0,True,Balanced Dye and Scavenger
2,0.0,0.0,0.5,1.0,0.5,3.0,0.0,0.0,0.5,0.0,0.07,2.5,True,High Surfactant and Catalyst
3,1.5,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,True,Acidic Environment with Dyes
4,0.0,2.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.07,4.0,True,Maximized Hole Scavenger
5,0.0,0.0,2.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,4.5,True,Dye Combination Strategy
6,0.0,0.0,0.0,1.0,0.25,3.6,0.0,0.0,0.5,0.0,1.57,1.7499999999999996,True,None
7,0.25,0.25,0.75,1.0,0.5,2.8,0.25,0.0,0.25,0.0,0.06,3.25,True,None
8,0.0,0.0,0.5,0.75,0.5,3.0,0.25,0.0,0.75,0.25,0.04,3.0,True,None
9,0.0,0.0,0.0,1.0,0.0,3.6,0.0,0.0,0.25,0.0,1.83,1.2499999999999996,True,None
10,0.0,0.0,0.0,1.0,0.0,3.8000000000000003,0.0,0.0,0.0,0.0,2.33,1.0000000000000004,True,None
11,0.0,0.0,0.0,1.0,0.0,4.2,0.0,0.0,0.0,0.0,2.39,1.0,True,None
12,0.0,0.0,0.0,1.25,0.25,4.0,0.25,0.0,0.0,0.0,5.08,1.75,True,None
13,0.0,0.0,0.0,1.25,0.5,4.2,0.75,0.0,0.0,0.25,5.94,2.75,True,None
14,0.0,0.0,0.0,1.5,0.25,4.0,0.5,0.0,0.0,0.0,5.02,2.25,True,None
15,0.0,0.0,0.0,1.25,0.5,4.2,0.25,0.0,0.0,0.0,6.31,2.0,True,None
16,0.0,0.0,0.0,1.25,0.75,4.2,0.25,0.0,0.0,0.0,5.96,2.25,True,None
