iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,target,hypotheses
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,73.345,Exploring Negative Extremes
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.347,Midpoint Exploration
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,315.64,Positive Extremes
4,5.0,-5.0,5.0,-5.0,5.0,-5.0,5.0,-5.0,5.0,-5.0,728.863,Balanced Positive and Negative
5,3.14,-2.71,0.0,-8.5,6.28,-1.41,4.67,-3.33,2.0,-7.0,754.47,Randomized Sampling
6,0.7876681072062656,-4.090862614168596,-1.9208793241464388,-2.1468462071846157,0.3984591461871573,3.112486995953696,5.285280956329492,4.232367561748964,5.962973017928645,-3.5601267207374763,760.209,None
7,8.197454342010676,4.668638213417965,-6.011418861879297,0.43268885358351317,1.0682464078797556,0.46591001125054543,6.2811319965999814,-3.4773100316463847,-1.1505092751222272,-2.2920169272624245,737.352,None
8,-1.5392538787280663,-0.5707888153201769,-0.017090218450532657,-3.045500397628907,9.663783446005397,-2.9708340916700884,4.9298928723955,6.033732842876487,-5.987342954975356,1.725754403939197,678.876,None
9,-1.4403278477451593,-1.1192233385992072,-1.0382655036743103,-1.0830827630241693,0.4739222436750872,-1.0108952281033723,-2.3676765265218975,0.6335252820329416,2.146258044309196,-3.1592801731509716,788.675,None
10,0.6644157885174686,5.2301735297270255,3.6373171101205024,-5.6006520620196225,1.1532085587693799,9.380654591517686,-4.3264877213134785,-4.781168256289745,4.8438910777645585,-3.0485966044522756,712.909,None
11,10.0,-0.8836417028044012,-3.0151809107618934,-5.5879731194928475,-1.5631559476751413,-2.1415041779143675,-6.342164194626735,4.004650059819197,5.33324856575827,4.9217573872463225,660.785,None
12,-3.998639542326398,4.534239977208465,4.18395499625684,6.285357927941774,-1.4870013262534518,0.21417820736678972,4.795897291018856,-0.8850710037800855,0.8833833497517398,-9.993196013903036,758.273,None
13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,806.021,Midpoint Refinement
14,-1.5,-1.0,-1.0,-1.0,0.5,-1.0,-2.0,0.5,2.0,-3.0,791.268,Negative Midpoint Exploration
15,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,778.139,Exploring Positive and Negative Balance
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,806.79,Exploring Slightly Positive Values
17,-4.0,-3.0,-2.0,-1.0,0.0,-5.0,-6.0,-2.0,-3.0,-4.0,730.68,Randomized Negative Exploration
18,-4.511685569936908,-2.1143707912640606,-0.27743946837849415,10.0,1.3359166899688266,3.0813751178317865,-2.5302644286420612,-3.467427668622355,0.023208274724328938,3.315881281849727,727.956,None
19,-4.2620441589959235,8.432684320198044,4.9481063172490325,2.336087107033574,-7.3191950728315325,-4.084223578245733,-0.28803205960365474,4.080997898026524,-0.6977719000526613,2.7101074420302207,754.741,None
20,3.5417422607076468,1.8205579978082105,4.760294871305196,4.814377828357064,-2.032051645773776,3.8128503690617315,-3.2086130783439746,5.451744240829242,-8.00186247738469,-6.022386788578551,753.012,None
21,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,205.176,None
22,-2.5245868253617174,1.758571657249678,3.314427893392092,1.0985090516733682,-6.98961841497448,8.352788026314157,6.305516811543314,3.3282177050202124,-4.230541704305441,-0.8457046980315003,735.321,None
23,-10.0,10.0,-10.0,10.0,-10.0,-8.783120671358484,10.0,10.0,10.0,-10.0,269.861,None
24,-7.57,-1.59,10.0,0.718,-0.849,1.619,-2.245,3.96,-0.435,-2.585,722.342,Negative Exploration with High x_2
25,-7.569,-1.589,10.0,0.718,-0.849,1.62,-2.244,3.961,-0.436,-2.586,722.322,Slight Variation in Negative Region
26,2.3959762880240794,-10.0,-2.9274335388024384,-0.01692716302683965,10.0,10.0,10.0,-8.688858100372803,5.266402750720278,-10.0,518.551,None
27,4.972542173783901,5.309149460736727,6.086934745394505,-10.0,-2.5996133485162396,0.18141534946994028,8.391514442869475,2.761336439455797,1.663339526855164,-8.633614094300274,661.846,None
