iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,target,hypotheses
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.347,Center Exploration
2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,315.64,Positive Extremes
3,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,73.345,Negative Extremes
4,5.0,-5.0,3.0,-3.0,2.0,-2.0,1.0,-1.0,0.0,0.0,773.043,Mixed Values
5,-10.0,-5.0,0.0,5.0,10.0,-5.0,0.0,5.0,-10.0,10.0,549.278,Diagonal Exploration
6,1.2499316745261986,-3.850374858459899,3.059376920212685,1.4012210100014162,-1.4316324661604618,-0.39295188071475984,-0.3423352997186324,-1.0989052948560758,-3.67025628405099,1.728985051825946,794.188,None
7,6.367411397793486,0.8552974488008909,4.128428861391656,1.6118762547602599,-7.022923969517625,4.283299365766146,0.3632152378579609,-2.585447747290111,1.7898435835304747,-1.9345523113332486,745.26,None
8,3.4480235966480293,-0.6039999017492065,1.7652544713809126,0.6191703493492244,4.856701444662217,9.004498583297842,-1.2022372681767861,-1.3572959979101895,-5.967686500649055,-4.216936220218317,726.796,None
9,-0.7542237818923382,-9.061757063358003,-1.3501278889378179,1.9756066692144885,-2.561348583538367,6.799840013827713,1.3945174848973778,0.16070267943097097,5.718154482507782,3.858620322370958,738.589,None
10,-0.08225945820112202,-3.7864587432861008,-0.08365362268926901,-0.6493208205839611,2.460962042025516,0.07185470865313448,-1.1601860613519115,2.1794292906845936,-1.054519115454756,1.8016056893717707,797.586,None
11,1.6326500037769218,1.4404395709954376,5.495557209413675,-6.951562515666842,-5.356007115967518,2.323837192179277,-5.389244969395277,7.090289447283053,-0.6473793509388253,6.497319341955517,713.219,None
12,6.852272778555293,-3.0981675181897943,-1.799725799910161,8.446907756883704,-1.5878064265226213,-3.4472315868115806,-4.841522668270674,6.185278448726443,1.2065413200119532,-2.0487215642586434,736.229,None
13,-2.315,-4.218,5.978,1.239,-2.933,0.427,5.64,7.873,-0.07,-6.09,748.041,High Potential Exploration 1
14,-4.158,-3.807,9.999,2.856,0.041,0.022,-1.423,3.505,3.977,-5.481,738.655,High Potential Exploration 2
15,10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,-10.0,-1.7243960261320588,10.0,259.274,None
16,10.0,-5.862280214495872,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,255.52,None
17,6.943570971001949,-10.0,10.0,10.0,-10.0,10.0,-6.5097201224050085,10.0,-10.0,-0.24697977865799065,305.641,None
18,-3.7639612545919454,-1.3139876562455195,7.741183227818584,-4.432931289375832,0.057500184356586714,5.37399881234262,5.065081329342099,-2.716420793536846,0.22693399789312196,2.1118866466115875,765.909,None
19,0.9275007250862072,-2.171766587944558,3.8871496797221607,2.2045101696205873,0.20103425379350523,0.6119278642035176,0.8305075233143153,1.5135823398294215,1.462097144971409,0.8514439893569851,797.956,None
20,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,-1.8432823023026124,10.0,-10.0,279.93,None
21,0.14795410705850623,-1.4005483255724906,5.933752551712034,-1.9464043401181759,2.4585254728700643,4.734884270866418,-6.36978315853397,-8.940964704668268,1.1248822994121834,6.347199409182043,713.572,None
22,-1.7142601340700918,-6.703926402267045,2.184267241118381,4.043420040961974,2.840113988444044,2.0046708167873915,5.590086225572804,-3.5576584900174635,-0.5456415290060816,-4.824271776628178,739.776,None
23,-0.0946790361903694,-2.77862804327906,2.957175502744254,-2.07309128067363,-1.4070297485458323,2.5717718717998217,0.5810663587935077,0.751579951325442,-1.2880822879195344,-0.07094894223740253,784.399,None
24,2.678760783154907,4.601683309677322,7.850735506990732,0.5464777370479672,3.3483465725565713,-7.048073265826838,-0.9850988332417698,3.224475660512431,-5.074618638636087,-4.344912160642655,750.346,None
25,-5.182,-10.0,10.0,-4.093,-3.833,-10.0,6.239,7.82,8.661,7.518,531.718,Exploration of High x_2 with Negative x_0 and x_1
26,-5.181,-10.0,10.0,-4.093,-3.832,-10.0,6.239,7.82,8.661,7.518,531.735,Alternative Exploration of High x_2 with Slight Variation
27,2.2389209576478524,-4.553362959317051,10.0,-10.0,8.318011531406393,10.0,10.0,-10.0,-10.0,9.56262698391487,385.523,None
28,3.0116091556608886,0.32731070239492094,2.180431181817006,2.9122491890632642,2.5378150578969962,-1.2406538810562258,-4.444223033703379,-1.361491861763629,-1.5107397386222228,-0.6720929374256517,792.117,None
29,3.1245231416397945,-0.28707348307525077,0.03700779318389399,2.3468038023133397,1.7817108650331732,-1.6711451000350963,1.6617241715307012,3.1278809553842875,-3.815405291359156,-1.8986400006358062,793.893,None
