iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target
1,1.0,1.0,1.0,1.0,0.5,3.0,0.5,0.0,0.0,0.0,0.01
2,2.0,0.0,2.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3,0.0,2.5,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,13.24
4,0.5,0.5,0.0,0.5,0.0,4.0,0.75,0.25,0.75,0.0,0.21
5,0.75,0.0,0.75,0.0,0.0,3.2,0.25,0.0,0.25,0.5,0.08
6,0.0,3.0,0.0,0.5,1.0,4.0,0.0,0.0,0.0,0.0,14.38
7,0.25,0.5,0.25,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.77
8,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.5
9,0.0,3.5,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,14.73
10,0.0,3.0,0.0,0.0,1.5,4.0,0.0,0.0,0.0,0.0,15.64
11,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
12,0.0,3.5,0.0,0.0,1.5,4.0,0.0,0.0,0.0,0.0,12.63
13,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
14,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,17.5
15,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
16,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
17,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,17.5
18,0.0,3.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.25
19,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
20,0.0,4.0,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,11.14
21,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,13.87
22,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.49
23,0.0,3.0,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.68
24,0.0,3.5,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,19.41
25,0.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,10.68
26,0.0,3.0,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,9.98
27,0.0,3.5,0.0,0.0,1.25,4.0,0.0,0.0,0.0,0.0,14.46
28,0.0,4.0,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,12.61
29,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
30,0.0,4.0,0.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,10.88
31,0.0,3.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.49
32,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
33,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
34,0.0,3.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.49
35,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
36,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
37,0.0,3.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.49
38,0.0,3.0,0.0,0.0,1.75,4.0,0.0,0.0,0.0,0.0,14.42
39,0.0,4.0,0.0,0.5,0.25,4.0,0.0,0.0,0.0,0.0,16.92
40,0.0,3.5,0.0,0.25,0.5,4.0,0.0,0.0,0.0,0.0,15.91
41,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
42,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
43,0.0,3.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,13.12
44,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
45,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
46,0.0,3.0,0.0,1.0,0.75,4.0,0.0,0.0,0.0,0.0,11.55
47,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
48,0.0,3.5,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,10.51
49,0.0,3.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,13.12
50,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
51,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
52,0.0,3.0,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,9.98
53,0.0,4.0,0.0,0.25,0.75,4.0,0.0,0.0,0.0,0.0,15.39
54,0.0,4.0,0.0,0.75,0.25,4.0,0.0,0.0,0.0,0.0,17.59
55,0.0,3.5,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,10.24
56,0.0,3.5,0.0,0.5,1.0,4.0,0.0,0.0,0.0,0.0,16.22
57,0.0,3.0,0.0,0.75,1.25,4.0,0.0,0.0,0.0,0.0,11.86
58,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
59,0.0,3.5,0.0,0.25,0.5,4.0,0.0,0.0,0.0,0.0,15.91
60,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,17.5
61,0.0,4.0,0.0,0.25,0.5,4.0,0.0,0.0,0.0,0.0,16.1
62,0.0,3.0,0.0,0.5,0.75,4.0,0.0,0.0,0.0,0.0,13.52
63,0.0,3.5,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.0,17.82
64,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
65,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.17
66,0.0,3.5,0.0,0.5,0.75,4.0,0.0,0.0,0.0,0.0,19.08
67,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
68,0.0,3.5,0.0,0.5,0.25,4.0,0.0,0.0,0.0,0.0,16.55
69,0.0,3.5,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.19
70,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
71,0.0,3.5,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,19.41
72,0.0,3.5,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.19
73,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
74,0.0,3.5,0.0,0.25,0.25,4.0,0.0,0.0,0.0,0.0,12.62
75,0.0,3.5,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.19
76,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
77,0.0,3.5,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,7.67
78,0.0,3.0,0.0,0.5,1.0,4.0,0.0,0.0,0.0,0.0,14.38
79,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
80,0.0,3.5,0.0,0.25,0.5,4.0,0.0,0.0,0.0,0.0,15.91
81,0.0,3.5,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.19
82,0.0,3.0,0.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,7.89
83,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
84,0.0,3.0,0.0,0.25,0.75,4.0,0.0,0.0,0.0,0.0,14.42
85,0.0,3.5,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.19
86,0.0,3.0,0.0,0.5,1.25,4.0,0.0,0.0,0.0,0.0,14.16
87,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
88,0.0,3.5,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,7.67
89,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,17.5
90,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
91,0.0,3.5,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,7.67
92,0.0,3.0,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.68
93,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
94,0.0,3.5,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,7.67
95,0.0,3.0,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.0,14.68
96,0.0,3.5,0.0,0.75,0.25,4.0,0.0,0.0,0.0,0.0,17.82
97,0.0,4.0,0.0,0.25,0.25,4.0,0.0,0.0,0.0,0.0,14.4
98,0.0,3.0,0.0,0.75,0.5,4.0,0.0,0.0,0.0,0.0,12.71
99,0.0,3.0,0.0,0.25,1.25,4.0,0.0,0.0,0.0,0.0,16.24
100,0.0,3.5,0.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,10.45
101,0.0,4.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,12.29
102,0.0,3.5,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,7.67
103,0.0,3.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,13.12
104,0.0,3.0,0.0,0.5,1.5,4.0,0.0,0.0,0.0,0.0,13.32
105,0.0,3.5,0.0,0.75,0.0,4.0,0.0,0.0,0.0,0.0,11.24
