iteration,x_0,x_1,target,hypotheses
1,5.0,12.0,211.125,Mid-Range Exploration
2,-3.0,7.5,318.758,Lower Bound Exploration
3,0.8353471679872415,0.5640027234721889,304.888,None
4,-2.6177698444332105,6.749227565903397,318.746,None
5,-5.0,4.311577609550901,160.432,None
6,-3.0,8.0,322.946,Refined Exploration Near Peak
7,-2.5,7.0,322.299,Adjacent Exploration
8,0.3081806895141855,5.628042968489823,319.781,None
9,-3.555529825368584,11.396311535168682,334.14,None
10,-3.556,11.0,332.473,Exploration of New Peak
11,-2.8,10.0,335.831,Extended Exploration
12,-4.258644188086411,15.0,333.136,None
13,-2.75,11.0,337.692,Focused Exploration Near Best Peak
14,-3.2,12.0,338.355,Broader Exploration
15,8.334082904290474,0.0,330.457,None
16,10.0,3.29,336.916,High x_0 Exploration
17,9.934,3.497,337.013,Alternative High x_0 Exploration
18,6.25726736270787,2.713971542044833,316.736,None
19,-1.706100539877065,14.951707573211493,295.894,None
20,-5.0,13.666510707628333,313.822,None
21,10.0,6.648,323.713,High x_0 with Moderate x_1
22,9.961,6.498,324.711,Alternative High x_0 Exploration
