iteration,pitch_deg,yaw_deg,v0,spin_rpm,spin_axis_deg,h0,mass,target,hypotheses
1,5.0,0.0,40.0,1500.0,0.0,1.0,1.0,4.05,"Low Angle, High Velocity"
2,30.0,0.0,25.0,1000.0,90.0,1.5,0.5,4.87,Optimal Height and Moderate Spin
3,70.0,0.0,10.0,500.0,0.0,0.5,0.2,0.02,"High Angle, Low Velocity"
4,45.0,10.0,30.0,800.0,45.0,1.0,0.8,5.55,Balanced Approach
5,10.0,-45.0,45.0,2000.0,180.0,0.8,0.3,0.0,Aggressive Left Aim
6,22.98657141406685,94.94732533523796,9.2308535435496,2293.937556262587,-121.79569322099118,1.159219811853995,7.3228577950452,0.0,None
7,23.494727908176067,2.086997111458089,28.964147886884444,810.823419082772,40.736682793774975,0.31286194330972683,7.238353060425898,65.5,None
8,7.359926647772362,-39.67710889835132,21.188563805911283,762.4758954651281,97.46707662768915,1.5362615507884623,6.656525625414212,0.05,None
9,39.91599247236552,-117.75457853436103,10.461333578943211,836.281300087443,-169.99335915553294,1.7956104747888504,4.365001500077036,0.0,None
10,35.56871034728631,-15.815458014412314,41.97002538913982,233.47935960168041,158.3707334651778,0.6493880725765688,1.6021587504486205,0.0,None
11,26.33565428917405,15.606092638040849,43.77749049540854,164.43238629936317,110.8855491411154,0.6155343416648429,4.097204494847913,0.0,None
12,77.10083188837196,-156.48659326272977,27.060130316802827,1192.9353473597994,-146.05857624731107,1.760307951472991,4.136863724812221,0.0,None
13,-5.417490172191059,-175.3601989612265,29.54043983954883,2436.7115419678667,-92.77521731419812,1.822422900642273,9.057922531960637,0.0,None
14,25.0,5.0,35.0,800.0,30.0,0.5,6.0,0.44,Refined Moderate Pitch and Yaw
15,20.0,0.0,30.0,600.0,0.0,1.0,5.0,31.6,Lower Spin with Moderate Velocity
16,40.0,0.0,20.0,700.0,0.0,1.5,0.8,6.43,Exploring Higher Pitch with Controlled Velocity
17,15.0,15.0,28.0,900.0,45.0,0.75,1.5,1.89,Aggressive Right Aim with Moderate Parameters
18,5.0,0.0,45.0,1000.0,0.0,1.0,2.0,17.32,New Low Pitch Exploration
19,45.499525420891516,-133.44940432433,45.61986389410148,2301.6698987264117,61.938940557014206,1.077296719163,6.168482962921778,0.0,None
20,69.33593271333508,92.51196087575505,19.410213235353364,2447.5023884610846,100.0612739028482,0.43394176156057873,6.5441739187156625,0.01,None
21,55.85062405643035,-2.6666410290901297,3.5295679990919036,1767.2732275238723,108.76271986915862,0.9412314544385632,7.220325353785802,0.01,None
22,23.94176875272794,160.2749238683581,34.85264481002297,244.27383863838702,-161.8098992224704,0.0016856017719140137,3.224281639087857,0.0,None
23,-27.78339027517748,-66.5639828742375,33.149253023976215,158.51083779440145,113.95484763580549,0.25295827606691823,5.973474702445746,0.0,None
24,63.523561320592094,54.485157539251844,33.82649786326851,240.89062365469394,174.60157360077795,0.8838900488934245,0.5134298694537526,0.0,None
25,79.34988130582873,104.0480636396918,7.023307101917453,186.00063005828338,81.04858259495501,1.4331189642219495,5.038254338217497,0.0,None
26,1.9842576410189139,117.21484441605793,38.22288175024699,461.37980614430086,-39.33000175946745,0.7774597050421277,3.4672048284277266,0.0,None
27,37.79021921799303,79.09508139244491,35.11317794907885,133.97288126305085,163.04983503466758,0.06954962702477241,5.64577928594871,0.0,None
28,28.292483767331902,-135.26947758349343,33.64900189495022,1462.6944156191473,145.1775981118427,0.27637457709061874,6.386081074200029,0.0,None
29,25.0,5.0,36.0,800.0,30.0,0.5,6.0,0.21,Refined Moderate Pitch and Yaw
30,22.0,0.0,30.0,500.0,0.0,1.0,5.0,15.41,Lower Spin with Moderate Velocity
31,35.0,0.0,25.0,700.0,0.0,1.5,0.8,61.09,Exploring Higher Pitch with Controlled Velocity
32,18.0,10.0,28.0,900.0,45.0,0.75,1.5,5.03,Aggressive Right Aim with Moderate Parameters
33,10.0,0.0,40.0,1000.0,0.0,1.0,2.0,47.86,New Low Pitch Exploration
34,6.068383431226714,-3.8750652803649075,34.889903978815724,508.863585595683,-24.03064338509847,1.4402870738206084,2.4075355554786717,6.01,None
35,43.499235942247765,4.424531037727803,33.28855540115186,698.8324602578982,-18.232442803658557,1.40228879364263,7.7299761782881555,0.01,None
36,7.765697901759509,7.230591380105324,32.64909703487897,821.4429452918491,27.141835281412426,1.0415747904000319,5.03645062188195,2.0,None
