iteration,irrad,tmin,tmax,vap,wind,rain,wav,SMLIM,target,hypotheses
1,7500.0,10.0,25.0,2.0,1.0,5.0,50.0,0.5,9.84,High Irradiance and Moderate Temperature
2,5000.0,15.0,30.0,3.0,0.5,10.0,70.0,0.7,5.77,Balanced Moisture and Temperature
3,8000.0,5.0,20.0,1.0,0.0,2.0,30.0,0.4,10.3,Low Wind and High Irradiance
4,6000.0,12.0,28.0,4.0,1.5,8.0,90.0,0.8,7.82,Moderate Irradiance with High Moisture
5,4000.0,18.0,24.0,2.5,0.8,3.0,40.0,0.6,4.12,Optimal Temperature Range
6,7994.828512892781,28.712842088839437,25.280887179563315,2.399465970332469,4.6235078327156405,19.431641630725792,97.32553051479884,0.3517290187614621,7.85,None
7,5998.544935313096,16.36285397921197,27.57529394546828,9.902163038299495,1.4963750539932352,9.904480029142515,87.52014371301262,0.6510805220461338,7.46,None
8,7455.31906664429,-19.44348784353548,32.142248706682444,5.434270387181884,4.38110264323946,2.495011608702431,75.1009515673751,0.11143084698948647,0.41,None
9,7995.989914980028,6.727822177193353,31.470456329419342,2.5384667304162227,2.3980783455702377,17.655318054085566,27.18315001474917,0.7613811982966344,9.57,None
10,5995.9736150884055,3.5539471577839663,32.09474389633569,2.0228019469178635,0.06389114673594654,13.749710429768697,93.16611790830035,0.19846840677606414,7.94,None
11,7517.753147489471,27.411251457041963,29.95244959108689,9.262816855344823,3.066664175624681,7.939558958126625,47.246772049534414,0.8169006340366562,6.85,None
12,8000.0,5.0,20.0,2.0,0.5,5.0,60.0,0.5,10.3,High Irradiance with Moderate Temperature
13,6000.0,15.0,25.0,3.0,1.0,8.0,80.0,0.7,7.96,Moderate Irradiance and Temperature with High Moisture
14,7500.0,10.0,22.0,2.5,0.0,4.0,50.0,0.6,10.05,Optimal Temperature Range with Low Wind
15,7800.0,12.0,25.0,2.0,0.5,3.0,70.0,0.5,9.93,High Irradiance with Controlled Moisture
16,7500.0,8.0,18.0,1.5,0.0,1.0,40.0,0.3,10.01,Low Wind and High Irradiance
17,7991.852383362831,15.667761447689088,-2.6238214816061145,2.936181051452707,2.0521562830529962,4.269717458217459,39.18394735384183,0.5904324744278177,0.41,None
18,7990.027952652348,-10.842645356995135,24.507351387209617,4.614116199504007,4.464487395604971,3.801424058633631,74.88251708469103,0.21276177024517517,0.41,None
19,7993.713116640069,4.812128363715409,29.81405375468549,0.6864302800236464,4.128361029614215,4.637241500687265,44.875456813022666,0.328106149796457,9.89,None
20,7504.488056547142,-1.8495131489217878,15.127868119030383,0.06,0.0,8.695724161242778,47.642599453860484,0.4284492006467366,0.41,None
21,7996.8527986830095,-3.3011061668458623,35.62498066319008,2.918614728591868,3.034510822526746,8.368678492054176,47.30321412210626,0.8135289053336208,0.41,None
22,7800.321610078793,4.899481729347173,36.229939064316085,3.395372799771964,1.7027333711626835,4.324891023922071,66.0072969173294,0.06153426464929568,8.93,None
23,7992.90745050846,9.177071518852905,29.51513064549848,3.1225891995832127,3.2345629543727936,11.516556037259857,22.104893207165453,0.3801035410706194,9.65,None
24,7810.300481020639,6.758604108485599,24.16103272601223,7.295952691083006,3.1666632380259347,6.953159030876317,74.98030768589146,0.2445908073840365,10.28,None
25,7992.545030576008,8.711224896208911,27.35264036942325,3.9394603646490602,0.7776929420249817,13.390268349925954,26.551375800500686,0.6968489017025183,9.97,None
26,8000.0,10.0,22.0,2.0,0.5,4.0,60.0,0.5,10.41,High Irradiance with Optimal Temperature
27,6000.0,15.0,25.0,3.0,1.0,5.0,80.0,0.7,7.96,Moderate Irradiance with Controlled Moisture
28,7800.0,12.0,20.0,2.0,0.0,2.0,50.0,0.4,10.27,Low Wind with High Irradiance
29,7500.0,18.0,24.0,3.0,0.5,6.0,90.0,0.8,9.38,Optimal Temperature Range with High Moisture
30,7500.0,5.0,15.0,1.5,0.5,3.0,40.0,0.3,7.47,High Irradiance with Low Temperature Stress
31,7500.276134807798,26.023168907217226,22.935821944564886,1.233794689252606,1.9689411795449208,8.146367128288173,63.414030018028754,0.8943362508074424,8.46,None
32,7812.114066308416,0.4145781741896535,19.924958764880678,5.144590353624064,0.368743228879147,3.1810715958908187,59.73371418734732,0.44137665353227173,0.56,None
33,7489.648887292325,16.815468040686675,25.516124672353854,6.126908724555138,2.137621790252938,8.429811701569434,60.05194900603493,0.6281051060578534,9.24,None
34,7987.199588691356,20.53454707377859,39.96592111436992,1.5508748494773028,3.903022438553072,4.9246518301081394,37.244731851875976,0.061464128117310834,4.63,None
35,7804.416363271702,21.898721962666286,27.452641000747626,8.749818260744554,2.294843920737854,7.969155962887475,84.3567896457499,0.9578062158183852,8.34,None
36,7794.908520648618,4.418643559357143,26.132798081641234,5.989707578381519,4.619803135438579,2.1964613048761494,86.77794492947174,0.22147305878765655,10.18,None
37,7802.974600223393,7.716516309007871,26.827745621618476,5.942059906468854,3.7481405708445243,5.608249050389608,79.1890038953024,0.1473461314963706,9.96,None
38,7993.449034110089,7.842864719665812,21.652102794402417,5.461068673798817,1.2057447333204374,10.0631888044016,50.25098455804151,0.6467249285057666,10.4,None
39,8000.0,12.0,22.0,2.0,0.5,4.0,60.0,0.5,10.38,High Irradiance with Optimal Temperature
40,6200.0,14.0,26.0,3.0,1.0,5.0,80.0,0.7,8.17,Moderate Irradiance with Controlled Moisture
41,7800.0,13.0,21.0,2.0,0.0,2.0,50.0,0.4,10.24,Low Wind with High Irradiance
42,7500.0,19.0,25.0,3.0,0.5,6.0,90.0,0.8,9.05,Optimal Temperature Range with High Moisture
43,7600.0,6.0,16.0,1.5,0.5,3.0,40.0,0.3,8.47,High Irradiance with Low Temperature Stress
