iteration,irrad,tmin,tmax,vap,wind,rain,wav,SMLIM,target,hypotheses
1,7500.0,10.0,25.0,2.0,1.0,5.0,50.0,0.7,9.84,High Irradiance and Moderate Temperature
2,5000.0,15.0,30.0,3.0,0.5,10.0,70.0,0.8,5.77,Optimal Moisture and Temperature Range
3,8000.0,5.0,20.0,1.0,0.2,0.0,30.0,0.6,10.3,Low Wind and High Irradiance
4,6000.0,12.0,28.0,2.5,1.5,8.0,40.0,0.5,7.82,Balanced Temperature and Rainfall
5,7200.0,8.0,22.0,2.0,0.8,3.0,60.0,0.9,9.83,High Irradiance with Controlled Rainfall
6,2.1193390291580627,-28.595326384069175,42.772730713684375,1.3826253649891773,3.175445057338914,14.282278798531943,60.36854624297747,0.4683348381552561,0.41,None
7,8000.0,14.085836308822486,27.121545296675663,0.06001166516418316,6.735336665958521e-06,0.0,22.0328757601089,0.5493320944675967,9.61,None
8,7998.413489688986,-14.43414815987988,-19.676892024502042,4.152279397061167,1.3549485642433905,0.5487804313398859,63.40049257351388,0.6718035563831302,0.41,None
9,6001.878345125356,6.890607015047976,33.92889986889039,7.053162843138202,1.2488934692133773,15.740563065891365,42.75182575923322,0.017642240180439694,7.51,None
10,7500.118134963185,18.265876082164816,16.94809331883785,7.685905842270682,1.5102017791165812,2.1023411868642183,53.68127982141174,0.14175762344769527,10.0,None
11,7985.352892795574,-24.54980209983534,30.8325856314112,9.968047424936225,0.7188522882387649,0.7950718184654582,6.041584396701316,0.19949353722540974,0.41,None
12,8000.0,5.0,20.0,2.0,0.5,5.0,50.0,0.8,10.3,High Irradiance with Moderate Temperature
13,6000.0,10.0,25.0,2.0,0.2,3.0,60.0,0.7,8.31,Moderate Irradiance and Temperature with Low Wind
14,7500.0,12.0,22.0,1.5,0.5,2.0,40.0,0.9,10.02,Controlled Rainfall with High Irradiance
15,7800.0,0.0,20.0,2.5,0.3,1.0,30.0,0.6,0.41,Avoiding Low Temperature Extremes with High Irradiance
16,7900.0,5.0,25.0,2.0,0.4,4.0,70.0,0.8,10.34,High Irradiance with Optimal Moisture
17,7998.05401831906,12.534591060855526,22.864138493519782,6.194037907078545,3.911422276542633,4.702297138438139,32.34110875522301,0.5260787800664153,10.31,None
18,7499.479187588837,20.741624979590924,13.533665233689895,4.895693184057182,2.0128593918371878,3.6619287158386427,64.38003656653568,0.5136319877788562,10.02,None
19,7499.5103410026,19.919452682235786,17.432308755131494,5.899696527138779,4.473821821460041,11.156288135142162,64.4957443017036,0.15062532468216594,9.92,None
20,7202.067249205873,5.548443497055118,15.811171067194664,3.8275579425401762,4.410335372510053,2.8055541653876825,50.60294509789167,0.19646675085253906,8.02,None
21,7195.131581369092,-0.36408490746438105,49.968745390647314,3.5722003704316916,1.2023582788742182,5.058937663738703,83.14680537743114,0.4290037762308814,0.41,None
22,8000.0,5.0,20.0,2.0,0.5,4.0,50.0,0.8,10.3,High Irradiance with Moderate Temperature
23,6500.0,10.0,25.0,2.0,0.2,3.0,60.0,0.7,8.93,Moderate Irradiance and Temperature with Low Wind
24,7500.0,14.0,23.0,1.5,0.5,2.0,40.0,0.9,9.84,Controlled Rainfall with High Irradiance
25,7800.0,2.0,20.0,2.5,0.3,1.0,30.0,0.6,3.46,Avoiding Low Temperature Extremes with High Irradiance
26,7900.0,5.0,25.0,2.0,0.4,3.0,70.0,0.8,10.34,High Irradiance with Optimal Moisture
27,7600.0,8.0,24.0,3.0,0.3,2.0,50.0,0.7,10.13,Exploring Higher Vapour Pressure
28,7998.069029881555,16.07714384807351,18.147494827774374,8.090523703657182,0.29662714655604494,11.422763589195746,27.703822351445574,0.8963589980122154,10.38,None
29,7504.50716728787,25.477555868377863,19.347671255506853,4.4967623808308135,2.384494642860624,5.084542475714913,48.30871415945354,0.13715733402190644,9.26,None
30,7997.644128849867,11.704094588691838,15.520595294978015,9.380046097494285,3.25477304599902,10.433430197013195,21.604897495015475,0.14508129139011727,9.9,None
31,7999.20106968269,2.8130985180478945,16.093458737173073,4.605119466391122,4.449725147425027,5.704599252053882,40.85839000165956,0.8225726078997656,6.53,None
32,7502.728593318007,9.272221770399433,19.7147774200891,4.894696378860679,1.4437751002580623,13.63325811055823,55.21640640960822,0.4715667127033213,10.06,None
