iteration,irrad,tmin,tmax,vap,wind,rain,wav,SMLIM,target,hypotheses
1,7500.0,20.0,30.0,5.0,1.0,5.0,50.0,0.8,7.93,High Irradiance and Warm Temperature
2,4000.0,15.0,25.0,3.0,0.5,10.0,70.0,0.6,4.22,Moderate Temperature with Optimal Moisture
3,7000.0,10.0,20.0,4.0,2.0,2.0,30.0,0.5,9.66,Cooler Temperatures with High Irradiance
4,3000.0,18.0,28.0,8.0,0.2,15.0,80.0,0.9,2.06,High Humidity and Moderate Temperature
5,5000.0,12.0,22.0,4.0,1.0,8.0,40.0,0.7,6.77,Balanced Conditions for Growth
6,7509.080359816923,18.63696206726806,32.96445925643789,9.15044194244906,4.423599830121182,4.294260691697016,55.75046835075577,0.3093832227705464,7.56,None
7,7004.33180429713,15.973735321555083,15.507412661234625,2.232759262241932,0.15023089226971986,2.1578455834783616,29.98661025591852,0.855362795851691,9.65,None
8,7315.525843323996,13.649681780413367,15.163063948241785,3.2075849950030673,1.475635956477479,0.9851508259640274,10.124007695969773,0.08221386452056068,9.7,None
9,7326.033606657508,16.07455303963397,5.464377749229563,4.179079883499558,3.5509527444605684,8.805490600882768,7.857777076190919,0.5710345954877577,2.96,None
10,6994.536631221584,12.002869797495919,29.76619555165002,1.013100842962846,4.062272278808436,0.6180636150578667,34.62298485589754,0.20643642000911488,8.66,None
11,6990.019722007452,15.657470458100036,28.80041688475216,0.07404224967318021,3.6580795359836173,7.445067014178166,28.976793120986542,0.24239399238689863,8.38,None
12,7400.0,18.0,28.0,5.0,1.0,3.0,60.0,0.75,8.53,High Irradiance with Controlled Temperature
13,5000.0,15.0,25.0,4.0,0.5,5.0,70.0,0.65,6.31,Moderate Irradiance with Optimal Moisture
14,7500.0,12.0,22.0,2.0,0.5,1.0,40.0,0.5,10.02,High Irradiance with Low Humidity
15,6000.0,14.0,24.0,3.0,1.0,4.0,50.0,0.7,8.16,Balanced Conditions for Growth
16,7200.0,16.0,26.0,3.0,0.5,2.0,30.0,0.6,9.02,High Irradiance and Low Rainfall
17,7497.662488358695,16.30632861426742,18.12370780176952,8.752429140545901,0.012413986839506785,0.07822042797773765,39.15404318557065,0.09064630410861108,10.01,None
18,7496.76603586907,5.4986284862086094,14.723003532024151,2.328245129345315,3.5987373292636864,18.44422114708648,40.709533666049616,0.22478615764435328,7.41,None
19,7513.388739332144,18.741445626591336,21.365760112723144,3.8988089989471,2.4661923213942085,0.9904509893172819,32.520330446631654,0.8534470972551472,9.72,None
20,7002.043460149838,9.759532923469429,12.036963183812674,3.620427175268379,0.9756639723072341,18.829627060177692,34.50168051846557,0.40303173364651035,6.55,None
21,6996.248290177639,23.211591124946054,30.754544903233658,1.1097009614274858,0.8915457616587952,0.9583588968591883,25.977183225719024,0.7579177756911369,7.0,None
22,7450.0,19.0,29.0,4.0,1.0,2.0,55.0,0.8,8.23,High Irradiance with Controlled Temperature
23,7550.0,11.0,21.0,1.0,0.4,1.0,35.0,0.55,10.09,High Irradiance with Low Humidity
24,6100.0,16.0,26.0,3.0,0.6,4.0,65.0,0.7,7.88,Moderate Irradiance with Optimal Moisture
25,7300.0,17.0,27.0,2.0,0.3,1.0,25.0,0.65,8.78,High Irradiance and Low Rainfall
26,7350.0,21.0,31.0,3.0,0.7,2.0,45.0,0.75,7.5,High Irradiance with Moderate Temperature
27,7561.609082231272,19.205142803368503,14.539613012508553,2.2633355253068075,2.976689020924696,2.230225377333659,24.364707275471076,0.02136714361390102,10.08,None
28,7555.423780547039,21.445249981942965,14.723533281457428,4.303556591020604,4.660552298714444,16.490256937963085,25.05056406932956,0.1378523568363933,10.01,None
29,7559.439362709132,12.447070456929431,25.22244624232792,7.61911037249289,4.482033993794474,15.533696599081189,27.71221792123786,0.8917280838053984,9.7,None
30,7410.140154466587,20.92249705004805,30.47649222900182,5.184210351122242,0.6430036599738315,10.730189191535151,56.63655835513214,0.3291808288133167,7.65,None
31,7600.0,12.0,22.0,1.0,0.5,1.0,30.0,0.55,10.1,High Irradiance with Low Humidity
32,7500.0,20.0,30.0,3.0,0.5,2.0,40.0,0.65,7.93,High Irradiance with Moderate Temperature
33,6000.0,16.0,26.0,3.0,0.6,4.0,65.0,0.7,7.75,Moderate Irradiance with Optimal Moisture
34,7400.0,18.0,28.0,2.0,0.3,1.0,25.0,0.6,8.53,High Irradiance and Low Rainfall
35,7480.0,21.0,31.0,3.0,0.7,2.0,50.0,0.75,7.58,High Irradiance with Controlled Temperature
36,7560.878198656819,16.207286777481656,11.93085243648045,3.777105910391901,3.489188242409803,6.78437787692431,28.64620689491123,0.507356888201237,8.16,None
37,7549.393513584162,5.405995553118586,25.087432158364024,5.223991014627692,1.0931416939784895,6.338941256053241,32.7649205577761,0.5738258027800576,10.08,None
38,7552.766853681246,22.847554462816056,12.539217912869205,0.29932017980264214,1.2863913430755591,12.59989372514935,27.44384532197458,0.9028029050960763,10.03,None
39,7650.0,12.0,22.0,1.0,0.5,1.0,30.0,0.55,10.14,High Irradiance with Low Humidity
40,7580.0,20.0,30.0,3.0,0.5,2.0,40.0,0.65,7.98,High Irradiance with Controlled Temperature
41,6200.0,16.0,26.0,3.0,0.6,4.0,65.0,0.7,8.01,Moderate Irradiance with Optimal Moisture
42,7450.0,19.0,29.0,2.0,0.4,1.0,20.0,0.6,8.23,High Irradiance and Low Rainfall
43,7500.0,19.0,29.0,3.0,0.5,2.0,45.0,0.75,8.27,High Irradiance with Moderate Temperature
44,7504.638539252232,8.321119333191803,17.213984067895723,5.01259366650507,4.4380561524450135,3.5425371068644185,46.77427972822281,0.5551160927330456,9.99,None
45,7547.081232913795,6.487922732567405,29.24514770475985,7.633419769148139,2.3062983891085773,3.654036311731399,14.367067411908375,0.11108112367293588,9.57,None
46,7700.0,13.0,23.0,1.0,0.5,1.0,32.0,0.6,10.06,High Irradiance with Low Humidity
47,7620.0,21.0,31.0,2.0,0.5,2.0,42.0,0.7,7.66,High Irradiance with Controlled Temperature
48,6300.0,17.0,27.0,3.0,0.6,3.0,60.0,0.75,7.85,Moderate Irradiance with Optimal Moisture
49,7400.0,20.0,30.0,2.0,0.4,1.0,22.0,0.65,7.87,High Irradiance and Low Rainfall
50,7550.0,20.0,30.0,3.0,0.5,2.0,48.0,0.7,7.96,High Irradiance with Moderate Temperature
51,1211.1410088708158,-27.419262591281537,18.39669425934612,1.4051636965045773,4.836243776160474,17.452579600434703,57.86667838516249,0.8337060363940435,0.41,None
52,5229.827090044108,9.742748998945203,-4.985649513540588,7.118226888072713,3.228149481689881,9.602874358202321,16.21344968142553,0.3164231884228069,0.41,None
53,7545.76143853393,6.502550144306809,22.349587242076318,1.8630242480030073,2.5169192266718614,14.629637221895129,17.381110288609392,0.7296986346551069,10.09,None
54,7553.525543488942,24.821578206768542,32.13552367349178,0.9448367313096953,3.3926358418370794,14.650885301374341,18.68942749397271,0.4486180998743131,6.72,None
55,5745.505057256599,-25.235335814276816,24.378126751827963,2.7611207105825453,1.6564470038864731,1.4386012077026988,12.266169000871031,0.48176647345594803,0.41,None
56,7700.0,12.0,22.0,1.0,0.5,1.0,32.0,0.6,10.17,High Irradiance with Low Humidity
57,7650.0,20.0,30.0,2.0,0.5,2.0,40.0,0.65,8.02,High Irradiance with Controlled Temperature
58,6100.0,17.0,27.0,3.0,0.6,3.0,60.0,0.75,7.61,Moderate Irradiance with Optimal Moisture
59,7420.0,21.0,31.0,2.0,0.4,1.0,25.0,0.65,7.54,High Irradiance and Low Rainfall
60,7500.0,19.0,29.0,3.0,0.5,2.0,45.0,0.7,8.27,High Irradiance with Moderate Temperature
61,7308.369172696069,10.108262218202947,22.341538343934474,2.491465856111914,0.0,0.0,8.440063812783874,0.0,9.9,None
62,7526.531846904369,20.288561778106747,9.704538242459204,3.871222534388239,1.9981558988123709,9.290366670013174,29.64243463208458,0.2666782298282325,7.6,None
63,7607.067420342258,9.801722332532165,16.6702984970576,2.5752456334713036,1.5198345807337303,4.3150542435144645,20.637899163582684,0.6734814692970131,10.04,None
64,7692.388651990858,9.212839576833801,9.326304750614042,6.604026087434075,4.854530612966446,11.33640814615312,26.54310620360483,0.9457697155161502,4.45,None
65,7720.0,12.0,22.0,1.0,0.5,1.0,30.0,0.6,10.19,High Irradiance with Low Humidity
66,7650.0,21.0,31.0,2.0,0.5,2.0,40.0,0.65,7.68,High Irradiance with Controlled Temperature
67,6200.0,16.0,26.0,3.0,0.6,3.0,60.0,0.75,8.01,Moderate Irradiance with Optimal Moisture
68,7400.0,18.0,28.0,2.0,0.4,1.0,25.0,0.65,8.53,High Irradiance and Low Rainfall
69,7650.0,22.0,32.0,2.0,0.5,1.0,35.0,0.65,7.33,High Irradiance with Slightly Elevated Temperature
70,7550.731264916786,17.102318124117645,8.31622286906671,7.297378261262798,4.354034715258871,5.762705302560516,12.155887129140552,0.6797987631359389,6.13,None
71,7708.069485886798,6.52674888565416,22.698002044413418,0.06,0.0,0.0,35.04056199059543,0.3832781285324323,10.2,None
72,7638.0767424712685,-0.5878448596677543,12.89868468748162,7.503806380402106,4.457594615489013,6.73550981355485,29.197759176709713,0.5262624516671212,0.41,None
73,7700.0,20.0,30.0,2.0,0.5,1.0,35.0,0.65,8.05,High Irradiance with Controlled Temperature
74,7650.0,12.0,22.0,1.0,0.5,1.0,30.0,0.6,10.14,High Irradiance with Low Humidity
