iteration,irrad,tmin,tmax,vap,wind,rain,wav,SMLIM,target,hypotheses
1,4000.0,10.0,25.0,2.0,1.0,5.0,50.0,0.5,4.48,Moderate Irradiance and Temperature
2,7500.0,15.0,35.0,3.0,2.0,2.0,30.0,0.7,7.68,High Irradiance and Temperature
3,3000.0,12.0,20.0,1.0,0.5,10.0,80.0,0.9,2.48,Optimal Moisture Conditions
4,3500.0,8.0,22.0,2.0,0.2,15.0,60.0,0.6,3.55,Low Wind and High Rainfall
5,5000.0,-5.0,30.0,4.0,1.5,0.0,20.0,0.4,0.41,Extreme Temperature Range
6,7860.43227592538,-12.097276947788863,33.74745079338522,4.538476353247372,1.556139462529117,5.890942497375753,44.76723677585554,0.04514947616672638,0.41,None
7,4005.8489132216587,7.66528462170627,31.039445087933245,2.9399254257023677,2.564014378753811,5.631158001075285,50.510851786850296,0.029308878137464967,4.21,None
8,7455.489809040738,18.004783297824705,34.78863459850477,2.739326471262833,2.16684165678467,1.5906183188562013,28.283114961875782,0.8130552854745471,7.05,None
9,3999.2397000683013,6.370656541437896,22.10881719036759,4.5565937075819125,0.4552442615542629,7.1242589083000425,61.927432485766744,0.8179362465792256,4.74,None
10,7500.084404776312,14.369800174830829,31.665124029662223,6.608562329065871,1.8074948371566812,4.883753809899279,45.77373782809438,0.7047879248432478,8.4,None
11,7495.672845304484,9.960801088019196,18.975146945620004,8.41479149372213,3.3044720892836166,12.948318373102,93.77110149344186,0.6443866187194336,10.05,None
12,7516.78864383781,-24.31452434827213,-20.0,10.0,0.0,20.0,100.0,1.0,0.41,None
13,7491.796915792886,1.5675429059659187,33.09704209140411,7.707837599737162,2.1973777770129588,0.6691259316572506,98.5447860947053,0.054008853025266146,2.01,None
14,7867.809323496217,-2.5560026505493916,27.827458780230593,6.51884167319246,1.8180835097808483,4.741133716379345,27.212315378689567,0.23155672336832678,0.41,None
15,7501.2826883809175,11.462893483511571,35.92829690840827,8.849732744525244,2.2610797073721467,5.275370124278222,41.93987739242595,0.9859892580800012,7.99,None
16,7496.799754955908,15.18328624413761,14.49533641676151,8.5331621136922,3.8381065239253576,17.841384572006426,88.86557205704082,0.9007009398624798,9.72,None
17,7482.036496016616,18.56791591770851,23.787698576641475,7.991751643842582,4.890998935217187,16.857650083629892,91.19605763313827,0.7540865497990135,9.33,None
18,7480.319184244495,24.472629835075693,23.344213880609594,3.2120446841602166,1.811965809891255,13.979614463002841,66.12158966001583,0.18424728593537,8.59,None
19,7472.3808294897535,20.34520767177193,18.081590479168298,5.862036743873146,3.891369401453268,10.489292350188148,93.37783309769154,0.19965654318241433,9.86,None
20,7490.690625850871,23.608334039677146,20.480299947372608,4.712950248616459,0.3196603268716891,4.257407869282613,91.59388053451508,0.3342500514779241,9.29,None
21,7503.7222516521,0.20628145146499932,36.55863995120903,8.648493086047988,2.104921641978708,5.665883121448127,40.21064583435469,0.31669120183373145,0.41,None
22,7482.183872734271,21.132019807577727,13.237205142674071,5.918063776156263,1.4137272542923396,3.833605276253549,83.97745787772614,0.20739930359800063,10.0,None
23,7463.360018761792,13.748913592407611,4.146784330694963,0.4383727813368036,0.6364861660481635,13.13531002250608,74.11781544325196,0.8261469334391317,1.62,None
24,7485.757490952841,17.154741168674825,14.853153358710578,9.959141819316363,4.2759547794783295,15.124128216013794,87.48000342987984,0.7652423098703935,10.04,None
25,7500.0,12.0,25.0,3.0,1.0,5.0,40.0,0.6,9.72,Balanced High Irradiance and Moderate Temperature
26,5000.0,15.0,20.0,2.0,0.5,10.0,70.0,0.8,6.73,Moderate Irradiance with Optimal Moisture
27,7200.0,8.0,22.0,4.0,1.5,3.0,50.0,0.5,9.83,High Irradiance with Slightly Lower Temperature
28,7800.0,10.0,25.0,3.0,1.0,8.0,60.0,0.7,10.06,High Irradiance with Moderate Rainfall
29,7800.95415850367,14.499727468829121,29.20194291851105,6.444886015487257,1.765936520999144,11.896516857768876,66.74478809861432,0.6795637615979121,9.05,None
30,7497.63546050223,19.834624877156063,21.83218760420118,6.199777165361675,1.0937417539120233,8.338772428265239,36.60403835169256,1.0,9.54,None
31,7794.557084912035,18.652614874937512,38.81635087125822,6.788614685227479,2.0658013358687914,8.83016788257887,66.88970444769741,0.10071482688847633,5.38,None
32,7808.549112249174,4.415245672171707,18.219138308126297,1.987305647771052,2.3772697440893564,18.183033064760018,68.73087128414505,0.3555494188258054,9.85,None
33,7800.382616644582,12.011012361118475,23.881698307708298,7.604067034003219,0.7691473599463194,4.2641108800198735,72.11613644713681,0.9054919132953513,10.08,None
34,7800.0,12.0,25.0,3.0,1.0,5.0,50.0,0.6,9.93,High Irradiance with Moderate Temperature
35,6000.0,15.0,20.0,2.0,0.5,10.0,70.0,0.8,8.43,Moderate Irradiance with Optimal Moisture
36,7500.0,10.0,22.0,4.0,1.5,3.0,50.0,0.5,10.05,High Irradiance with Slightly Lower Temperature
37,7800.0,11.0,24.0,3.0,1.0,6.0,65.0,0.7,10.12,High Irradiance with Moderate Rainfall
38,7700.0,12.0,24.0,3.0,0.5,4.0,55.0,0.6,9.99,High Irradiance with Low Wind
39,7499.292428463003,13.718928726802858,13.61382578673062,0.4874940077799349,1.0904436809628097,1.625645249095531,46.45528627177434,1.0,8.7,None
40,7818.4580498410305,5.882736247747815,16.673526576925525,3.527563247580064,4.948871388074104,8.676356788966586,60.96316190315064,0.008388850259148484,9.05,None
41,7796.831751625,5.293163083366828,0.11847695430255811,7.453798827842475,2.310967733802581,17.54037230708192,58.608843305951034,0.5902878217626988,0.41,None
42,7703.161339044693,13.411333272607479,33.42928671265237,4.432719048784196,3.7897105552724253,17.714877699578313,65.47339515756443,0.37739929195782573,8.31,None
43,7800.0,12.0,24.0,3.0,1.0,5.0,50.0,0.6,10.06,High Irradiance with Optimal Temperature Range
44,6000.0,15.0,20.0,2.0,0.5,10.0,80.0,0.9,8.43,Moderate Irradiance with High Moisture
