iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
1,75.0,180.0,15.0,1.2,2.82,High Tilt for Winter Optimization
2,30.0,0.0,10.0,1.5,0.0,Equatorial Positioning
3,45.0,90.0,12.0,1.4,1.1,Balanced Capacity and Efficiency
4,60.0,75.0,8.0,1.1,0.65,Maximize Morning Production
5,40.0,300.0,5.0,1.3,0.44,Evening Optimization
6,74.5223869239846,179.972519194515,13.985956852991809,1.4564365101876944,2.62,None
7,76.76383698514165,180.10160748795582,18.74518474142244,1.0,3.25,None
8,81.72494215922966,186.23998524535097,20.0,1.0,3.27,None
9,86.81057820234993,177.72600896523545,19.377437481815257,1.0,3.17,None
10,81.84761463825002,161.65035922679058,20.0,1.0,3.14,None
11,90.0,146.54559408068883,20.0,1.0,2.65,None
12,85.0,180.0,20.0,1.0,3.24,High Tilt and Optimal Azimuth
13,80.0,190.0,20.0,1.0,3.26,Maximize Energy with Slightly Lower Tilt
14,90.0,180.0,20.0,1.0,3.15,Exploring Higher Capacity
15,75.0,170.0,15.0,1.2,2.79,Moderate Tilt for Balanced Performance
16,70.0,200.0,20.0,1.0,3.2,Testing Lower Tilt with High Capacity
17,84.87223378631181,214.62189238267382,20.0,1.0,2.7,None
18,49.40875351544359,218.45473712384717,20.0,1.0,2.79,None
19,8.104128396542883,210.44289547664218,20.0,1.0,1.94,None
20,90.0,360.0,20.0,1.5,0.03,None
21,0.0,142.21005734436267,20.0,1.0,1.57,None
22,65.86052339947979,241.33711883141046,20.0,1.0,2.17,None
23,0.08803641211513002,359.4191242605718,5.853862412878375,1.0685196513966415,1.08,None
24,88.0,180.0,20.0,1.0,3.19,Refined High Tilt and Optimal Azimuth
25,87.0,185.0,20.0,1.0,3.19,Exploring Slightly Higher Tilt
26,89.0,180.0,20.0,1.0,3.17,Testing Maximum Capacity with High Tilt
27,76.0,175.0,15.0,1.2,2.81,Moderate Tilt for Balanced Performance
28,72.0,200.0,20.0,1.0,3.19,Exploring Lower Tilt with High Capacity
29,58.42077914596145,145.57864096375425,19.062864581107455,1.4294357585364934,2.52,None
30,90.0,0.0,20.0,1.0,0.03,None
31,0.0,255.94333160996118,20.0,1.0,1.57,None
32,43.97460080381812,194.22990691542122,20.0,1.0,3.12,None
33,34.47718788746832,174.2748698142097,20.0,1.0,2.98,None
34,0.0,69.64041341872166,1.0,1.0,0.95,None
35,52.182697732583186,179.29786656507878,20.0,1.0,3.31,None
36,53.80931529798859,171.4215510116788,19.94568252032833,1.0855401965364733,3.19,None
37,88.0,182.0,20.0,1.0,3.19,Refined High Tilt and Optimal Azimuth
38,87.0,183.0,20.0,1.0,3.2,Exploring Slightly Higher Tilt
39,89.0,182.0,20.0,1.0,3.17,Testing Maximum Capacity with High Tilt
40,76.0,178.0,15.0,1.2,2.81,Moderate Tilt for Balanced Performance
41,72.0,202.0,20.0,1.0,3.16,Exploring Lower Tilt with High Capacity
42,66.85502041416372,183.06848759270568,20.0,1.0,3.38,None
43,90.0,276.21855467607355,20.0,1.0,0.85,None
