iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
1,30.0,180.0,10.0,1.2,2.15,Optimal Mid-Tilt
2,20.0,270.0,15.0,1.3,1.26,High Azimuth Exploration
3,10.0,90.0,5.0,1.1,1.05,Low Tilt for High Latitude
4,45.0,0.0,20.0,1.5,0.0,Balanced Capacity Ratio
5,40.0,60.0,8.0,1.2,0.48,Morning Sun Focus
6,20.40197943264101,269.80809489090865,13.045506224697442,1.2977766142343103,1.21,None
7,8.81115926584057,183.06084114769413,20.0,1.4824830366606034,1.75,None
8,52.58320276775904,177.61849136967808,18.056917208879284,1.0,3.17,None
9,70.71951085989713,176.36515232164376,20.0,1.0,3.37,None
10,68.37868772591855,156.1311075109547,20.0,1.0,3.16,None
11,90.0,210.23419553928554,20.0,1.0,2.72,None
12,90.0,360.0,20.0,1.0,0.03,None
13,85.92204562363928,171.52192244993265,1.8119659925363187,1.2587705287019673,1.96,None
14,70.0,180.0,20.0,1.0,3.38,High Tilt Exploration
15,60.0,200.0,15.0,1.2,2.7,Afternoon Sun Capture
16,40.0,150.0,10.0,1.1,2.21,Moderate Tilt and Capacity
17,75.0,160.0,5.0,1.0,2.18,Low Capacity with High Tilt
18,68.0,175.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
19,0.0,360.0,20.0,1.0,1.57,None
20,89.8922318977229,111.44125411363584,19.61252502646008,1.4192249976889904,1.44,None
21,88.36769996240197,187.4190436819766,19.769581420938152,1.4572106874766466,2.73,None
22,72.0,185.0,20.0,1.0,3.36,High Tilt and Optimal Azimuth
23,80.0,190.0,20.0,1.0,3.26,Exploring Higher Tilt Angles
24,75.0,200.0,15.0,1.2,2.67,Afternoon Sun Optimization
25,60.0,190.0,20.0,1.1,3.2,Moderate Tilt with High Capacity
26,69.0,176.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
27,90.0,257.15250599286554,20.0,1.0,1.38,None
28,55.74445421517673,165.7279874251204,19.733327290921586,1.2917633330096066,2.95,None
29,0.023284583023037708,228.6396289741569,19.15205590996784,1.3847666914117827,1.36,None
30,0.0,136.8563921103815,20.0,1.0,1.57,None
31,0.0,316.07973768779937,1.0,1.5,0.95,None
32,71.0,180.0,20.0,1.0,3.37,Refined High Tilt and Optimal Azimuth
33,78.0,190.0,20.0,1.0,3.28,Exploring Higher Tilt Angles
34,76.0,200.0,15.0,1.2,2.66,Afternoon Sun Optimization
35,65.0,190.0,20.0,1.1,3.21,Moderate Tilt with High Capacity
36,70.0,175.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
37,77.59568563440864,160.53819073016044,19.724107137303964,1.1717524138927795,2.96,None
38,90.0,39.04355693692626,1.0,1.0,0.02,None
39,56.2289225617063,129.91523103783763,20.0,1.0,2.55,None
40,63.822101494081465,181.45222261828468,19.65373996258737,1.3240944237784555,3.01,None
41,45.83764160127886,190.67854972556958,18.661273950663695,1.2400013100652,2.85,None
42,72.6031391822251,303.8584226169923,1.0,1.0,0.16,None
43,72.0,182.0,20.0,1.0,3.37,Refined High Tilt and Optimal Azimuth
44,79.0,191.0,20.0,1.0,3.26,Exploring Higher Tilt Angles
45,77.0,202.0,15.0,1.2,2.62,Afternoon Sun Optimization
46,66.0,191.0,20.0,1.1,3.2,Moderate Tilt with High Capacity
47,71.0,176.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
48,0.0,360.0,1.0,1.0,0.95,Discarding Poor Performers
49,0.0,0.0,1.0,1.0,0.95,None
50,56.14027352625575,227.91861243881343,19.740236646485844,1.0629881768055822,2.51,None
51,90.0,227.62209741650094,1.0,1.0,1.36,None
52,45.54747467216629,177.35879237159833,19.41850087472876,1.1216058396821547,3.03,None
53,72.9270100087543,143.22564594234262,19.911571635720417,1.2403053567028424,2.58,None
54,72.0,181.0,20.0,1.0,3.37,Refined High Tilt and Optimal Azimuth
55,79.0,192.0,20.0,1.0,3.25,Exploring Higher Tilt Angles
56,76.0,201.0,15.0,1.2,2.65,Afternoon Sun Optimization
57,66.0,192.0,20.0,1.1,3.19,Moderate Tilt with High Capacity
58,70.0,177.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
59,1.0,360.0,1.0,1.0,0.92,Discarding Poor Performers
60,48.656563239306415,116.9371288782326,1.0,1.0,1.33,None
61,49.012679446304574,171.35338886913613,1.544025452701111,1.0171413160654037,2.0,None
62,37.43959616216324,221.70805790440653,1.6280453691483192,1.4719952602208892,1.58,None
63,1.591025945029716,47.26050945113637,17.7028099467909,1.1463067335530834,1.36,None
64,72.0,180.0,20.0,1.0,3.37,Refined High Tilt and Optimal Azimuth
65,82.0,192.0,20.0,1.0,3.21,Exploring Higher Tilt Angles
66,78.0,205.0,15.0,1.2,2.56,Afternoon Sun Optimization
67,2.0,360.0,1.0,1.0,0.88,Discarding Poor Performers
68,0.0,163.0971485458882,1.0,1.0,0.95,None
69,78.15274329975188,177.6134385448748,20.0,1.0,3.32,None
70,53.26531443924185,253.6674250186045,20.0,1.0,1.87,None
71,73.0,181.0,20.0,1.0,3.36,Refined High Tilt and Optimal Azimuth
72,81.0,191.0,20.0,1.0,3.24,Exploring Higher Tilt Angles
73,77.0,201.0,15.0,1.2,2.64,Afternoon Sun Optimization
74,70.0,176.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
75,89.49602210862143,0.447273500024159,11.891594496193079,1.079903095794873,0.03,None
76,39.92836109999416,333.18576998940244,20.0,1.5,0.0,None
77,31.906782262495664,129.60956525911217,20.0,1.0,2.38,None
78,90.0,77.38394680080835,20.0,1.5,0.6,None
79,72.75682551637212,227.93559577495014,19.741786737187525,1.3952770472062772,2.18,None
80,72.5,181.0,20.0,1.0,3.37,Refined High Tilt and Optimal Azimuth
81,81.0,192.5,20.0,1.0,3.22,Exploring Higher Tilt Angles
82,77.0,201.5,15.0,1.2,2.63,Afternoon Sun Optimization
83,71.0,176.5,20.0,1.0,3.37,Exploring Near-Optimal Angles
84,90.0,135.57261626199303,1.0,1.0,1.42,None
85,76.0,202.0,15.0,1.2,2.63,Afternoon Sun Optimization
86,71.0,177.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
87,1.0,359.0,1.0,1.0,0.92,Discarding Poor Performers
88,56.295717606481475,145.05112995123454,19.72173068920145,1.3941259342342547,2.56,None
89,72.5,181.5,20.0,1.0,3.36,Refined High Tilt and Optimal Azimuth
90,80.0,192.5,20.0,1.0,3.23,Exploring Higher Tilt Angles
91,76.0,202.5,15.0,1.2,2.62,Afternoon Sun Optimization
92,65.0,191.5,20.0,1.1,3.2,Moderate Tilt with High Capacity
93,71.0,177.5,20.0,1.0,3.37,Exploring Near-Optimal Angles
94,1.0,359.5,1.0,1.0,0.92,Discarding Poor Performers
95,50.56665468217926,211.78727209138415,19.818491455859572,1.2468269583588412,2.69,None
96,81.0,192.0,20.0,1.0,3.23,Exploring Higher Tilt Angles
97,77.0,203.0,15.0,1.2,2.61,Afternoon Sun Optimization
98,72.0,178.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
99,0.0,203.33160600605368,1.0,1.0,0.95,None
100,81.0,193.0,20.0,1.0,3.21,Exploring Higher Tilt Angles
101,78.0,204.0,15.0,1.2,2.58,Afternoon Sun Optimization
102,71.0,178.0,20.0,1.0,3.37,Exploring Near-Optimal Angles
103,0.9366012327096451,287.205090429276,19.394250638557473,1.0058996997263532,1.53,None
104,72.5,182.0,20.0,1.0,3.36,Refined High Tilt and Optimal Azimuth
105,81.0,194.0,20.0,1.0,3.2,Exploring Higher Tilt Angles
