iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
1,35.0,180.0,10.0,1.2,2.26,Optimal Mid-Tilt Configuration
2,10.0,200.0,15.0,1.3,1.69,High Capacity with Low Tilt
3,25.0,90.0,8.0,1.1,1.12,East-Facing Configuration
4,30.0,270.0,12.0,1.4,1.15,West-Facing High Capacity
5,45.0,180.0,5.0,1.5,2.08,Balanced Configuration
6,44.32293883259578,180.1666892359946,3.633206718500065,1.4663594006825345,2.02,None
7,41.3187971873207,178.2508568529568,18.745217951346138,1.4533760851639774,2.67,None
8,43.10938784590953,166.9432858086743,20.0,1.5,2.68,None
9,53.91740823009633,174.26421930144625,20.0,1.0,3.31,None
10,63.81008534363461,173.32295491794363,20.0,1.0,3.37,None
11,62.86173754526141,182.9925845882037,20.0,1.0,3.37,None
12,88.74003109386099,190.75023490876427,20.0,1.0,3.12,None
13,90.0,218.64066069440926,20.0,1.0,2.5,None
14,70.0,180.0,20.0,1.5,2.9,High Tilt and Capacity
15,80.0,175.0,20.0,1.5,2.83,Optimal High Tilt Configuration
16,75.0,270.0,20.0,1.4,1.05,Maximized Afternoon Capture
17,60.0,180.0,20.0,1.3,3.04,Balanced High Capacity
18,85.0,190.0,20.0,1.5,2.74,Exploratory High Tilt
19,59.015676913496826,167.93146764049195,20.0,1.0,3.31,None
20,64.4464189250863,190.13746135860578,18.94664370146496,1.0542692683393269,3.19,None
21,68.18129283592286,166.62243232955106,20.0,1.0,3.31,None
22,66.1564082358085,169.93261731262086,12.598218540340715,1.1352908813346558,2.72,None
23,78.8842585204947,159.0579128671777,20.0,1.0,3.13,None
24,90.0,197.2586445877763,11.799516828529006,1.0,2.48,None
25,90.0,165.14611396612878,20.0,1.0,3.06,None
26,85.0,180.0,20.0,1.5,2.78,Maximized High Tilt and Capacity
27,75.0,260.0,20.0,1.4,1.31,Optimal Afternoon Capture
28,90.0,185.0,20.0,1.5,2.7,Exploratory High Tilt with Variation
29,70.0,180.0,20.0,1.3,3.05,Balanced High Capacity
30,80.0,90.0,20.0,1.5,0.99,High Tilt with East Orientation
31,60.668787503565895,169.30904258123292,19.30171957740338,1.166802828482995,3.09,None
32,64.79072813714333,171.23650166052514,20.0,1.0,3.35,None
33,66.38642006173549,181.88029241466882,19.087494378398965,1.0239645095283942,3.28,None
34,65.03330061541125,178.78881031373416,19.148853402563876,1.011195316720777,3.31,None
35,68.33995995789455,172.44856656956148,19.872007074507493,1.459077997014175,2.91,None
36,64.48687804622512,185.98968723833798,20.0,1.0,3.36,None
37,56.08377074066234,168.89872009566335,18.218702128829715,1.4258995207705383,2.8,None
38,63.12740152212146,185.09942936723237,17.133228037247257,1.0,3.16,None
39,88.0,182.0,20.0,1.5,2.74,Maximized High Tilt and Capacity
40,76.0,265.0,20.0,1.4,1.17,Optimal Afternoon Capture
41,89.0,188.0,20.0,1.5,2.7,Exploratory High Tilt with Variation
42,81.0,92.0,20.0,1.5,1.03,High Tilt with East Orientation
43,72.0,179.0,20.0,1.3,3.04,Balanced High Capacity
44,62.24563666210856,163.8342274303732,20.0,1.0,3.28,None
45,71.95930533126173,159.61684878119627,16.560562117231242,1.474290850666779,2.61,None
46,84.56958535078428,161.412310412581,17.863524201315773,1.0784494455384794,2.87,None
47,89.14157862549655,195.63410703265012,18.95386374091423,1.1201786030528569,2.85,None
48,72.60863749253957,187.68071494114756,19.689898050364143,1.2055720215687566,3.08,None
49,49.96937635598382,174.49992816170626,19.945121195043427,1.2277821046804014,3.01,None
50,59.21299729150485,188.12176444995404,20.0,1.0,3.34,None
51,55.47644911420024,194.63271544091444,18.094843219828306,1.091357635853426,3.02,None
52,53.14125716787701,186.5620533223794,20.0,1.0,3.3,None
53,88.0,180.0,20.0,1.5,2.74,Maximized High Tilt and Capacity
54,76.0,275.0,20.0,1.4,0.9,Optimal Afternoon Capture
55,90.0,192.0,20.0,1.5,2.65,Exploratory High Tilt with Variation
56,82.0,95.0,20.0,1.5,1.1,High Tilt with East Orientation
57,72.0,185.0,20.0,1.3,3.03,Balanced High Capacity
58,51.99491611235148,182.8170483014822,18.763907620215875,1.2804972381412614,2.93,None
59,54.41154996922962,188.48180011250798,15.664109115685669,1.1957931962101966,2.82,None
60,58.795767195066055,157.832055842563,19.52986685213425,1.2738094599727894,2.87,None
61,49.28013837263113,190.83232386682076,20.0,1.0,3.23,None
62,44.7631036331189,197.66161436450682,18.305403529757104,1.4948332258913466,2.59,None
63,73.03152996047889,181.4251084893325,13.547456224365122,1.0,2.9,None
64,69.78001070315784,196.13022797058957,20.0,1.0,3.26,None
65,67.09292513348277,197.46791790504926,15.216588958063102,1.3359493014432968,2.66,None
66,73.85740061362851,196.8149646453504,19.28884708150281,1.3325008346063683,2.85,None
67,79.19040233343354,152.85166990373185,19.285901657550628,1.4779821950629983,2.56,None
68,87.0,178.0,20.0,1.5,2.75,Maximized High Tilt and Capacity
69,76.0,270.0,20.0,1.4,1.04,Optimal Afternoon Capture
70,89.0,186.0,20.0,1.5,2.71,Exploratory High Tilt with Variation
71,82.0,90.0,20.0,1.5,0.97,High Tilt with East Orientation
72,72.0,180.0,20.0,1.3,3.04,Balanced High Capacity
73,87.27966197094285,172.94038312714034,8.338871137094134,1.0654651735200134,2.36,None
74,73.27214382565755,165.15879457571347,19.904588746263983,1.0792920900432725,3.17,None
75,60.84852895139508,195.5362745158422,19.995530383570852,1.0782401022390466,3.17,None
76,58.08735768165523,205.43735012474684,19.301843975148497,1.1669275240557206,2.88,None
77,53.5134495643126,189.6990925423597,19.99511240893503,1.0423683744871195,3.23,None
78,64.67248210049236,218.32551065456332,19.653804640641887,1.0477007833872187,2.74,None
79,50.20786370520135,217.95343871957095,20.0,1.0,2.81,None
80,54.93450654995155,216.62098507404036,7.773900346606526,1.0,2.12,None
81,42.52017534447207,228.74082154018288,18.877371343499803,1.4395910944132848,2.16,None
82,89.0,178.0,20.0,1.5,2.72,Maximized High Tilt and Capacity
83,77.0,265.0,20.0,1.4,1.16,Optimal Afternoon Capture
84,83.0,92.0,20.0,1.5,1.01,High Tilt with East Orientation
85,73.0,182.0,20.0,1.3,3.03,Balanced High Capacity
86,43.393365141217686,146.37141683541861,19.1437581248712,1.035006685596941,2.76,None
87,30.093909694054968,138.0202754363324,19.282144329478392,1.345234415274842,2.19,None
88,55.099241349602934,137.80363160662012,13.608965649876057,1.3614692118661573,2.17,None
89,68.89547755613204,205.13708534171963,19.63277046593789,1.1577804443003807,2.91,None
90,1.244017051173939,359.8528144965338,6.579389592283885,1.0328789121233228,1.06,None
91,0.5092485094602572,0.5363572314148035,19.043187834961547,1.4083847674249321,1.33,None
92,88.15331881683116,1.061126351145023,2.5605202679291277,1.0530410809760524,0.02,None
93,89.82836324225094,359.86196367586643,18.98413678483304,1.1142196636398092,0.03,None
94,41.084950809348086,36.12598432353109,19.93449549239832,1.0343708162166552,0.09,None
95,40.55846701011359,324.1694055542951,19.750805774607258,1.100796409699641,0.09,None
96,89.0,182.0,20.0,1.5,2.72,Maximized High Tilt and Capacity
97,78.0,265.0,20.0,1.4,1.15,Optimal Afternoon Capture
98,90.0,188.0,20.0,1.5,2.68,Exploratory High Tilt with Variation
99,84.0,92.0,20.0,1.5,1.0,High Tilt with East Orientation
100,74.0,179.0,20.0,1.3,3.03,Balanced High Capacity
101,0.0,153.31925575462233,1.0,1.0,0.95,None
102,0.06313394118501625,304.8228800015332,4.407261554823882,1.2771659101493151,1.02,None
103,0.0,239.32748425986995,1.0,1.0,0.95,None
104,0.0,50.58703365783539,1.0,1.5,0.95,None
105,90.0,314.12595055516124,1.0,1.0,0.05,None
