iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
1,30.0,180.0,10.0,1.2,2.15,Mid-range Tilt and Azimuth
2,60.0,180.0,15.0,1.3,2.77,High Tilt for Winter Optimization
3,15.0,180.0,12.0,1.1,1.87,Low Tilt for Summer Optimization
4,30.0,90.0,8.0,1.4,1.06,East-West Orientation
5,45.0,180.0,5.0,1.5,2.08,Balanced Capacity and Ratio
6,68.39021406429079,180.10179409260053,20.0,1.0301058889465637,3.34,None
7,80.45235883964861,180.5046498296091,20.0,1.0,3.3,None
8,74.6742410794414,167.8205701222417,20.0,1.0,3.29,None
9,75.18466680522707,167.17066705032042,19.174015799570572,1.1372433749333575,3.07,None
10,72.46581552078374,173.54933998473686,20.0,1.0,3.35,None
11,75.0,175.0,20.0,1.0,3.34,High Tilt and South-Southwest Azimuth
12,80.0,180.0,20.0,1.0,3.31,Higher Tilt with Slight Azimuth Variation
13,70.0,180.0,20.0,1.0,3.38,Moderate Tilt with High Capacity
14,60.0,180.0,20.0,1.0,3.37,Exploring Lower Tilt with Higher Capacity
15,70.0,90.0,20.0,1.0,1.25,East-West Orientation with High Capacity
16,72.00651040201637,193.06992038369782,20.0,1.0,3.29,None
17,60.03778887324833,164.52622382416715,20.0,1.0,3.28,None
18,55.592640739115616,195.9961254379185,20.0,1.0,3.24,None
19,72.0,180.0,20.0,1.0,3.37,Optimal Tilt and Azimuth
20,75.0,180.0,20.0,1.0,3.35,Higher Tilt Exploration
21,68.0,180.0,20.0,1.0,3.38,Moderate Tilt with High Capacity
22,65.0,180.0,20.0,1.0,3.38,Exploring Slightly Lower Tilt
23,70.0,100.0,20.0,1.0,1.57,East-West Orientation with Moderate Tilt
24,66.72926905978413,176.24192274248938,20.0,1.0,3.38,None
25,69.9109477679159,177.7072422986587,20.0,1.0,3.38,None
26,68.12498771972817,167.08402054389677,20.0,1.0,3.32,None
27,79.78303632967605,191.62277594099538,20.0,1.0,3.24,None
28,65.52399510090689,199.93725334279497,20.0,1.0,3.22,None
29,71.0,182.0,20.0,1.0,3.37,Optimal Tilt and Azimuth
30,76.0,179.0,20.0,1.0,3.34,Higher Tilt Exploration
31,69.0,181.0,20.0,1.0,3.38,Moderate Tilt with High Capacity
32,66.0,183.0,20.0,1.0,3.38,Exploring Slightly Lower Tilt
33,70.0,95.0,20.0,1.0,1.41,East-West Orientation with Moderate Tilt
34,63.21689886023609,192.28937966464127,20.0,1.0,3.32,None
35,53.73838864003227,171.78105347784023,19.714859695913677,1.1065453731205774,3.15,None
36,67.79377566674845,194.6083481417004,13.030331567252171,1.0,2.8,None
37,54.743100120429354,184.40962169011266,19.581696422496496,1.2102557011491166,3.05,None
38,57.07096429355637,204.92688153531722,20.0,1.0,3.12,None
39,77.865731079159,200.1818908762264,19.687644584780443,1.1468182075386124,2.95,None
40,70.0,181.0,20.0,1.0,3.38,Optimal Tilt and Azimuth
41,78.0,179.0,20.0,1.0,3.33,Higher Tilt Exploration
42,72.0,182.0,20.0,1.0,3.37,Moderate Tilt with High Capacity
43,66.0,180.0,20.0,1.0,3.38,Exploring Slightly Lower Tilt
44,70.0,98.0,20.0,1.0,1.51,East-West Orientation with Moderate Tilt
45,73.19449116572919,186.52512158999366,18.207746387782677,1.2774185381443104,2.94,None
46,61.30041551832848,170.81962993939248,19.822920585482603,1.2000715127194297,3.1,None
47,53.030080977848286,160.6424301015952,20.0,1.0,3.19,None
48,60.631963303443804,158.57728685196577,14.561389208286998,1.2671701374780535,2.63,None
49,86.50747310292171,188.9395325875436,16.279700375881404,1.2524069918280258,2.7,None
50,71.0,179.0,20.0,1.0,3.37,Optimal Tilt and Azimuth
51,79.0,180.0,20.0,1.0,3.32,Higher Tilt Exploration
52,73.0,181.0,20.0,1.0,3.36,Moderate Tilt with High Capacity
53,81.0,182.0,20.0,1.0,3.29,Exploring Slightly Higher Tilt
54,69.0,97.0,20.0,1.0,1.49,East-West Orientation with Moderate Tilt
55,45.237477974567014,164.86807351158308,20.0,1.0,3.14,None
56,43.50772724875743,154.86472021659347,18.874775841264004,1.3711624212492175,2.6,None
57,46.636504886598075,200.74123057589816,20.0,1.0,3.09,None
58,53.25087119452364,201.1621027644627,11.248927202863815,1.0,2.57,None
59,64.27457505339223,218.39314469997512,19.162168950533687,1.312955425254335,2.49,None
60,89.87541743374197,175.31124146284043,19.076562849321885,1.3581351256731338,2.75,None
61,70.0,178.0,20.0,1.0,3.38,Optimal Tilt and Azimuth
62,78.0,181.0,20.0,1.0,3.33,Higher Tilt Exploration
63,80.0,179.0,20.0,1.0,3.31,Exploring Slightly Higher Tilt
64,70.0,97.0,20.0,1.0,1.48,East-West Orientation with Moderate Tilt
65,36.361388378943744,209.13659405323165,20.0,1.0613744418804067,2.74,None
66,22.426530737735924,342.17124719079663,15.912985141372058,1.3054534623913698,0.3,None
67,2.084821729341705,0.812177454846621,8.690138267367733,1.3162344850437562,1.04,None
68,87.61617814772092,2.817248309693796,5.482602553110285,1.2883549793721412,0.02,None
69,89.78354366377255,291.5925569455576,17.6352980556664,1.479077795971429,0.39,None
70,70.0,177.0,20.0,1.0,3.37,Optimal Tilt and Azimuth
71,78.0,182.0,20.0,1.0,3.32,Higher Tilt Exploration
72,72.0,183.0,20.0,1.0,3.36,Moderate Tilt with High Capacity
73,80.0,181.0,20.0,1.0,3.31,Exploring Slightly Higher Tilt
74,70.0,96.0,20.0,1.0,1.44,East-West Orientation with Moderate Tilt
75,75.0,186.0,20.0,1.0,3.33,Exploring New Azimuths
76,1.2309404961773118,265.0415085997528,18.161031736034893,1.2029468719685585,1.41,None
77,90.0,360.0,1.0,1.0,0.02,None
78,40.31417444961051,34.98648549149243,19.665817024819333,1.3775098727291428,0.07,None
79,0.4367499286150456,131.08451856080515,7.5573290509525926,1.0011221568842679,1.17,None
80,51.459087678055255,256.38736127545076,1.0,1.5,1.08,None
81,0.0,220.44509716012033,1.0,1.5,0.95,None
82,70.0,176.0,20.0,1.0,3.37,Optimal Tilt and Azimuth
83,78.0,184.0,20.0,1.0,3.32,Higher Tilt Exploration
