iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
1,30.0,180.0,10.0,1.2,2.15,Optimal Mid-Tilt Configuration
2,10.0,200.0,15.0,1.4,1.65,High Capacity with Low Tilt
3,45.0,90.0,8.0,1.1,1.06,East-Facing Setup
4,60.0,270.0,12.0,1.3,1.02,West-Facing High Tilt
5,25.0,180.0,5.0,1.5,1.75,Balanced Configuration
6,32.34086852861136,180.69411069390995,14.61232571831949,1.3929956818346396,2.34,None
7,41.90781513260399,178.36354451036013,16.560723666857943,1.0,2.92,None
8,51.645251390766305,175.5448365797378,16.403420393259086,1.0,3.04,None
9,54.16921288654321,188.32465293090422,14.33478730147817,1.0,2.9,None
10,55.484012850232936,174.1880887295825,1.0,1.0,2.02,None
11,50.903277467215695,179.9084684924576,20.0,1.0,3.29,None
12,76.34278673020809,185.57737124102366,20.0,1.0,3.33,None
13,90.0,195.7916491044812,20.0,1.0,3.03,None
14,90.0,172.54352110356695,20.0,1.0,3.13,None
15,66.93002591821138,180.9187926722524,20.0,1.0,3.38,None
16,66.0,180.0,20.0,1.0,3.38,High Tilt and Capacity
17,50.0,180.0,20.0,1.0,3.28,Moderate Tilt with High Capacity
18,70.0,90.0,20.0,1.0,1.25,Exploring East-Facing High Tilt
19,65.0,270.0,20.0,1.0,1.28,West-Facing Configuration
20,40.0,180.0,15.0,1.2,2.62,Balanced Configuration
21,38.73454822536721,161.7339932002309,20.0,1.0,3.0,None
22,69.96920201631376,198.55817703353148,19.804433955781857,1.4953072088417476,2.77,None
23,0.0,360.0,1.0,1.0,0.95,None
24,89.93642034579439,182.59861931473935,5.225083976443266,1.2671731011421892,2.1,None
25,75.74821952143326,174.83591248310915,20.0,1.0,3.34,None
26,0.0,0.0,20.0,1.5,1.35,None
27,90.0,0.0,1.0,1.0,0.02,None
28,67.0,180.0,20.0,1.0,3.38,High Tilt and Capacity
29,75.0,185.0,20.0,1.0,3.34,Exploring Higher Tilt
30,55.0,180.0,20.0,1.0,3.33,Moderate Tilt with High Capacity
31,68.0,270.0,20.0,1.0,1.26,West-Facing High Tilt
32,45.0,180.0,15.0,1.2,2.7,Balanced Configuration
33,90.0,360.0,20.0,1.0,0.03,None
34,90.0,143.4441625483385,20.0,1.0,2.57,None
35,0.0,268.20202155402103,20.0,1.0,1.57,None
36,0.167572348651418,117.32355861717538,18.251810060349033,1.4324327193786321,1.33,None
37,47.22257218999767,172.04207143036592,19.948135276884987,1.2249671408828204,2.97,None
38,22.14580882565779,158.4590304916807,20.0,1.0,2.52,None
39,0.0,52.88907061413086,1.0,1.5,0.95,None
40,42.24160097081813,141.15874028273637,1.0,1.0,1.66,None
41,75.0,180.0,20.0,1.0,3.35,High Tilt and Maximum Capacity
42,55.0,175.0,20.0,1.0,3.33,Moderate Tilt with High Capacity
43,68.0,265.0,20.0,1.0,1.4,West-Facing High Tilt
44,80.0,180.0,20.0,1.0,3.31,Exploring Higher Tilt
45,45.0,190.0,15.0,1.2,2.67,Balanced Configuration
46,66.86240820605927,160.66116677972673,19.29975964324014,1.098361226572798,3.07,None
47,44.713188260374594,216.79054625510855,20.0,1.0,2.79,None
48,90.0,226.8498072609788,20.0,1.0,2.25,None
49,26.339424720606498,316.78397675503345,20.0,1.5,0.49,None
50,28.209087069863024,233.4247523476732,1.0,1.0,1.37,None
51,83.69858929795632,162.23932788420547,19.689724520187916,1.3217436800252762,2.79,None
52,90.0,122.27023379262133,1.0,1.0,1.19,None
53,63.55078565867258,171.89740710419787,20.0,1.0,3.36,None
54,49.47919196482597,199.33017658982865,19.72773734324302,1.4787130185938429,2.7,None
55,82.0,180.0,20.0,1.0,3.28,High Tilt and Maximum Capacity
56,57.0,175.0,20.0,1.0,3.34,Moderate Tilt with High Capacity
57,70.0,265.0,20.0,1.0,1.38,West-Facing High Tilt
58,85.0,190.0,20.0,1.0,3.19,Exploring Higher Tilt
59,50.0,180.0,15.0,1.2,2.76,Balanced Configuration
60,88.57160519632504,51.667076092070154,19.68131260349337,1.2471920388047335,0.14,None
61,64.05127517427316,220.65223373173166,1.2167117407235102,1.2710738375814739,1.68,None
62,36.24796690246852,0.0,1.0,1.0,0.0,None
63,90.0,309.49430704305075,1.0,1.5,0.08,None
64,42.33791536440039,234.1295421220589,19.709769246795315,1.3730192910257768,2.11,None
65,0.5915376082074564,233.1576809890369,19.822969300023395,1.3449184445008735,1.41,None
66,61.84648640057414,136.42089965084568,20.0,1.0,2.72,None
67,40.746155335931874,144.16677179519561,20.0,1.0,2.78,None
68,68.91723105234787,172.3710850651691,15.740863261487288,1.0,3.06,None
69,0.0,295.98460211015913,1.0,1.5,0.95,None
70,85.0,180.0,20.0,1.0,3.24,High Tilt and Maximum Capacity
71,55.0,165.0,20.0,1.0,3.26,Moderate Tilt with High Capacity
72,70.0,275.0,20.0,1.0,1.09,West-Facing High Tilt
73,85.0,185.0,20.0,1.0,3.23,Exploring Higher Tilt
74,50.0,195.0,15.0,1.2,2.69,Balanced Configuration
75,54.58175538220504,152.50122808516437,20.0,1.0,3.07,None
76,48.57925499671478,358.7088168472838,1.0555238082296605,1.3417259786936648,0.0,None
77,0.0,150.39550871858074,1.0,1.0,0.95,None
78,0.8042037508406708,82.40445226019222,19.30103906829664,1.2612260274997436,1.41,None
79,28.131011748943887,214.33049665404621,19.79130100448625,1.3906937320037487,2.24,None
80,56.86228935846641,185.19157571586422,19.986513481068673,1.0734027138400648,3.24,None
81,42.05787567231226,116.64938854237859,19.516934134255912,1.2143457795288677,1.99,None
82,31.386546144977522,45.08530970861283,19.613254028865214,1.0697489756721437,0.45,None
83,89.32401952273995,212.74088851128553,1.5956318732889048,1.0522886861030614,1.64,None
84,89.6869879249504,247.78464545877506,1.6978522588732188,1.497064188959706,1.01,None
85,74.8157941792914,118.46457428334215,19.872691721016263,1.2156922523787637,1.93,None
86,85.0,175.0,20.0,1.0,3.23,High Tilt and Maximum Capacity
87,55.0,170.0,20.0,1.0,3.3,Moderate Tilt with High Capacity
88,70.0,270.0,20.0,1.0,1.24,West-Facing High Tilt
89,90.0,180.0,20.0,1.0,3.15,Exploring Higher Tilt
90,52.0,185.0,15.0,1.2,2.77,Balanced Configuration
91,60.33293659454095,167.44928678618047,20.0,1.0,3.31,None
92,66.53629957214437,190.61274021827776,10.595330915737389,1.2967468125318276,2.5,None
93,63.781206689945066,233.0009870389451,19.792281753647615,1.3052943496315075,2.16,None
94,0.0,175.599462773061,20.0,1.0,1.57,None
95,72.61974718717781,146.1360411235394,1.2893965019649598,1.0446172932035764,1.77,None
96,34.95454152245694,158.24206504738382,10.420423788459097,1.1748404683858915,2.2,None
97,89.51120886921986,84.17623845948262,1.1596707500736732,1.2939348625986962,0.53,None
98,17.704731150779295,101.70196719326728,1.1302523977162036,1.3706797372111037,1.05,None
99,22.15772995705667,267.8780096207682,2.1097452145386066,1.4841844235058876,0.96,None
100,0.7185378902145068,327.9420665537576,19.82242600479725,1.3002292688948238,1.38,None
101,22.922005035926244,136.34184567670215,19.990633499149475,1.334798672337302,2.07,None
102,68.69131960488065,171.48621523805647,19.9462838154998,1.4587144444352915,2.9,None
103,85.0,195.0,20.0,1.0,3.13,High Tilt and Maximum Capacity
104,57.0,180.0,20.0,1.0,3.35,Moderate Tilt with High Capacity
105,72.0,275.0,20.0,1.0,1.07,West-Facing High Tilt
