iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
1,80.0,180.0,15.0,1.2,2.78,High Tilt and Southward Azimuth
2,30.0,90.0,10.0,1.1,1.17,Moderate Tilt with Eastward Azimuth
3,45.0,180.0,12.0,1.3,2.48,Balanced Configuration
4,10.0,270.0,8.0,1.5,1.08,Low Tilt for Wider Exposure
5,70.0,150.0,20.0,1.4,2.65,High Capacity with Optimal Tilt
6,80.7747709167039,182.58598122602882,14.866810413385428,1.2744465663239777,2.71,None
7,84.55502711422591,163.308131093403,2.6367202214749126,1.0,1.99,None
8,69.36219500457257,173.73405337263114,20.0,1.1328005465367197,3.2,None
9,90.0,360.0,20.0,1.0,0.03,None
10,90.0,0.0,20.0,1.5,0.03,None
11,1.1232283525819264,156.22867816503015,19.815637484994646,1.1349371341883776,1.54,None
12,0.0,0.0,1.0,1.0,0.95,None
13,70.0,180.0,20.0,1.2,3.14,Moderate Tilt and Southward Azimuth
14,60.0,90.0,15.0,1.1,1.16,Optimized Tilt for Morning Capture
15,45.0,180.0,20.0,1.3,2.89,Balanced Configuration with High Capacity
16,15.0,270.0,10.0,1.5,1.12,Low Tilt for Late Afternoon Capture
17,75.0,150.0,20.0,1.4,2.62,High Capacity with Moderate Tilt
18,63.06914848025498,172.83855088305546,19.998160243792263,1.2513364004249778,3.08,None
19,32.983057874047155,208.96571626114698,20.0,1.0,2.74,None
20,0.0,360.0,20.0,1.0,1.57,None
21,90.0,248.1511825451787,20.0,1.0,1.64,None
22,0.0,206.33013592558945,20.0,1.4799171969815983,1.35,None
23,52.33246953669241,205.8212231954706,19.356268306893554,1.021264096463254,3.0,None
24,77.87634050825633,175.09824236797692,19.86974519474178,1.0028566276351443,3.31,None
25,75.0,180.0,20.0,1.2,3.12,Optimized Tilt and Azimuth for Maximum Capture
26,80.0,160.0,19.0,1.3,2.78,High Tilt with Slightly Eastward Azimuth
27,70.0,170.0,20.0,1.2,3.1,Moderate Tilt for Balanced Energy Capture
28,20.0,270.0,10.0,1.5,1.1,Exploring Lower Tilt for Late Afternoon
29,78.0,175.0,20.0,1.4,2.92,High Capacity with Moderate Tilt
30,76.37085719418182,175.26328582843635,18.667520829714594,1.2838896767773618,2.95,None
31,66.77322147552798,171.97846836459942,20.0,1.090548124369254,3.24,None
32,68.02360302148634,173.7244292813645,16.75853655408557,1.1241853736695688,3.0,None
33,68.83602449667073,176.80279458763212,17.875698879946263,1.1291447936806303,3.08,None
34,72.53175832370782,177.5084899460056,19.984621776320726,1.1496538268482472,3.18,None
35,78.74368657636127,180.4441723322537,19.903687211418347,1.0230263515468883,3.28,None
36,65.52602560863232,176.56676734621084,20.0,1.0,3.38,None
37,64.04934631294766,179.82065015244123,17.9417200637162,1.1585898664831142,3.06,None
38,76.0,179.0,20.0,1.2,3.11,Optimized Tilt and Azimuth for Maximum Capture
