iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target,hypotheses
1,-5.0,0.0,5.0,-10.0,10.0,-15.0,5.0,0.0,-5.0,10.0,-20.0,15.0,-10.0,5.0,0.0,4.893,Central Exploration
2,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,-30.0,20.0,2.076,Boundary Exploration
3,-20.0,-15.0,-10.0,-5.0,-20.0,-15.0,-10.0,-5.0,-20.0,-15.0,-10.0,-5.0,-20.0,-15.0,-10.0,3.142,Negative Values Focus
4,10.0,15.0,20.0,10.0,15.0,20.0,10.0,15.0,20.0,10.0,15.0,20.0,10.0,15.0,20.0,2.838,Positive Values Focus
5,-10.0,10.0,-5.0,5.0,0.0,-15.0,10.0,-20.0,15.0,-10.0,5.0,0.0,-5.0,10.0,-10.0,4.564,Mixed Values Exploration
6,-28.84870662992011,19.842277042084007,8.205289036502002,-24.93745172553475,-14.748015244943653,-10.958720574259196,-25.22545607506651,18.510073544625264,19.826377132432533,5.206342993866464,4.801965584887476,-3.5366688642602178,7.4522149470787795,1.2798012140192299,-16.935259589450947,1.146,None
7,18.03008391664224,-6.662000023120736,-23.683132420295063,-11.971058260897074,-8.153159394383,12.219997575461818,18.915135216289833,-1.5421864214572594,0.22411178683072563,-8.924338940814504,14.184275275474796,-28.54635315773711,15.343899799314627,12.92916144373308,10.812605265187585,1.488,None
8,7.655892178232833,-23.185728475762154,-5.4820870250017535,-3.615094699736396,17.665247953824355,-12.860355177157619,2.5774996042740383,-3.7262410587516293,6.520853587892596,18.393768056239352,1.8193731977900072,-18.842244040777686,-6.159966006325451,-24.41299120373462,7.468515898017436,1.41,None
9,-18.893061403333803,-14.075551026081541,-13.7214085553513,-16.503852662390546,-8.870690313088492,-21.87175571727964,-13.519350993783725,2.1291379014845973,-14.209168569705994,-24.611983802937626,-13.546407358224421,-3.1794950476832113,-21.57577789896163,-26.795497040273148,-13.761178946646147,0.95,None
10,-26.4073406909578,-23.26929618926645,-21.008106234923666,-25.45433634101078,11.802973958102825,-4.620154972244606,-8.07450846436473,9.741670778403531,9.649346481211879,-8.098931087953101,7.439631441304947,-27.29966778895076,8.360388946098269,19.528529966857704,-18.723175074999034,0.679,None
11,-25.508193929579615,-18.61630852050655,4.756539486799156,-9.799712687761303,-26.440530332635355,-12.001247893736462,17.23746190673134,17.004968761769724,4.6597522858176745,-13.5958190734363,13.027556741844329,-3.5531595211506257,-19.63843263947056,18.160146538095276,-21.31548932814554,0.829,None
12,15.250543451517046,-7.098277093499885,13.280088685717914,5.259867170431228,-15.142320544369188,-28.085865997156308,-9.650454627196165,10.77569954188047,5.692294503852864,-10.96210309057841,-4.057222177853955,-26.542681505975104,-15.44940959866939,2.259782309973332,0.6484809315532694,1.549,None
