iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,target
1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2.312
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.303
3,6,-10,12,-5,8,-15,1,14,2,20,-8,-12,3,10,-6,4.568
4,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2.941
5,15,12,10,18,19,17,16,19,15,14,10,12,13,11,15,3.003
6,5,4,6,5,6,7,5,5,5,5,4,5,5,5,5,9.038
7,10,8,15,12,10,9,11,8,14,10,12,11,13,10,12,4.086
8,6,5,5,6,5,5,7,5,5,5,6,5,6,5,5,8.691
9,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,9.093
10,5,6,5,5,6,5,6,5,5,5,5,5,5,6,5,8.895
11,8,9,10,11,10,10,9,10,14,10,8,9,11,10,10,4.636
12,4,5,6,7,5,6,5,5,6,6,5,5,4,5,5,8.843
13,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,9.197
14,6,6,5,5,6,5,6,5,5,5,5,6,5,5,5,8.8
15,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,9.392
16,8,7,6,5,7,6,8,7,9,7,9,8,7,8,6,6.604
17,5,5,4,5,5,5,5,6,5,5,5,5,5,5,5,9.283
18,6,6,6,7,6,6,5,5,6,6,5,5,5,5,5,8.428
19,4,5,4,5,4,5,5,5,5,5,5,4,5,5,5,9.674
20,8,7,5,6,6,7,9,8,6,8,6,7,8,9,7,6.66
21,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5,9.093
22,6,6,6,6,6,6,6,5,6,5,5,5,5,6,5,8.443
23,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,9.674
24,7,6,5,6,7,6,8,7,6,7,7,8,8,7,7,7.027
25,5,6,5,5,6,5,6,5,5,6,5,5,5,5,5,8.895
26,7,7,6,7,6,7,6,6,7,6,7,7,7,7,6,7.269
27,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,9.578
28,6,8,6,6,7,6,7,8,6,6,7,6,8,6,7,7.169
29,5,6,5,6,5,5,6,5,5,5,5,5,5,5,5,8.993
30,7,7,7,7,6,7,7,5,7,6,5,5,6,7,6,7.526
31,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,9.578
32,6,5,7,6,7,6,7,6,5,6,7,5,6,5,6,7.916
33,5,6,5,6,6,5,5,6,5,5,6,5,5,5,5,8.8
34,6,7,6,7,7,7,6,7,6,6,7,7,6,6,6,7.412
35,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,9.674
36,7,7,6,6,7,7,7,7,7,7,6,6,7,7,6,7.2
37,7,6,6,7,6,7,7,6,7,7,6,6,7,7,6,7.339
38,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,9.392
39,6,6,6,6,7,6,7,6,7,6,6,7,6,6,7,7.561
40,6,5,7,6,7,6,7,6,6,5,6,6,6,6,6,7.858
41,5,6,5,5,6,5,5,5,6,5,5,5,5,5,5,8.993
42,7,7,6,6,7,7,6,7,6,7,6,7,7,7,6,7.269
43,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,9.484
44,6,5,7,7,7,6,7,6,7,6,6,7,6,7,6,7.474
45,7,6,5,7,7,6,6,6,6,7,6,7,7,6,7,7.474
46,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,9.093
47,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,9.773
48,6,5,6,6,7,6,7,6,7,6,7,6,6,7,6,7.627
49,7,6,6,7,6,7,6,7,7,7,6,7,6,7,6,7.339
50,5,5,6,6,5,5,6,5,5,6,5,5,6,5,5,8.8
51,6,7,6,6,7,7,6,7,6,6,7,6,7,7,6,7.412
52,4,4,4,5,5,4,5,5,4,5,5,5,4,5,5,9.874
53,7,6,7,6,6,7,7,7,6,7,6,7,6,6,7,7.339
54,5,7,5,6,6,5,5,6,5,5,6,5,6,5,5,8.601
55,3,5,4,5,4,4,5,4,5,5,5,4,5,5,5,9.955
56,7,6,7,6,7,6,6,7,7,7,6,7,6,7,6,7.339
57,7,6,7,7,6,7,6,7,7,7,6,7,6,6,7,7.269
58,5,5,6,5,6,5,5,5,5,5,6,5,6,5,5,8.895
59,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,9.578
60,7,7,6,6,7,6,6,7,7,7,6,7,6,7,6,7.339
61,7,7,6,7,6,7,6,7,7,7,6,7,6,6,7,7.269
62,5,5,6,6,5,5,6,5,5,5,6,5,6,5,5,8.8
63,4,4,5,5,4,5,5,5,4,5,5,5,5,5,5,9.674
