iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target
1,15.638426247740556,167.82042595317782,13.893180777509198,1.1674330422938954,1.93
2,66.10171091834219,121.97027343037533,17.51469715772622,1.3929528191173122,1.92
3,40.72650786078115,54.05491640597225,9.568597437519522,1.4851294586288206,0.36
4,21.132949753648177,344.9349728335235,8.362991475358932,1.0448825795377885,0.3
5,78.9236921780361,241.7382173550796,1.7347513688911564,1.2100473971701033,1.22
6,8.819737583398819,171.73713985029994,11.089537600601822,1.081375777721405,1.61
7,20.48721805214882,153.85556559093516,15.065491608173568,1.1750563979148865,2.06
8,10.54375022649765,153.2098015616823,13.438914257221342,1.1386746764183044,1.7
9,44.81780507433323,155.7109816677593,16.176427566523984,1.2643651962280273,2.57
10,37.00013422718446,174.8101177771059,19.25196235221474,1.2935272455215454,2.71
11,39.27134742724754,176.5732679707341,15.025995413570028,1.2643651962280273,2.56
12,45.17272428355598,164.451759448615,19.817896008679714,1.3283340632915497,2.8
13,46.15359887846999,181.41798249226412,18.281876718419795,1.3763865232467651,2.77
14,46.150563027299505,181.65696914424046,18.316006748605506,1.3763865232467651,2.77
15,46.16116974986783,181.55773190996112,18.319499642780766,1.3763865232467651,2.77
16,46.17323839584471,181.4552979602949,18.323932371658913,1.3763865232467651,2.77
17,51.64864613989204,179.76063715596285,19.85712787765879,1.4210284956188253,2.88
18,51.54188690731803,176.85445548527017,19.367715111576864,1.4988407780317496,2.8
19,56.29901977006922,175.25907160506858,19.91086802377559,1.4077453908708972,2.92
20,53.70287399919651,178.54449039249786,19.22466550959685,1.3526803142448882,2.91
21,53.729757164275966,178.57377135806502,19.226702536697655,1.3522630620599219,2.92
22,53.75939992945986,178.58979308488077,19.225071644419323,1.3517993277064106,2.92
23,53.77110338173154,178.58905378217335,19.22310022978482,1.3515723609580415,2.92
24,52.84828624775674,183.91452932893935,19.45689704267219,1.349549218327502,2.92
25,52.89057652234789,184.34503940435235,19.466756585318205,1.3508739274026254,2.91
26,52.8819724600551,184.30242475389898,19.46551649652788,1.350889301683516,2.91
27,52.88284794143832,184.31910092770963,19.465420897585428,1.3510226246985233,2.91
28,54.59266148817589,179.8100933647759,19.72616554285013,1.3796517324951934,2.93
29,52.88707474953923,184.37261100556933,19.697816710156193,1.3516184068409691,2.93
30,52.89341380703708,184.42740435093867,19.698513644675984,1.351773062867317,2.93
31,52.8993185885036,184.47777877234253,19.699131529435615,1.351911714967774,2.93
32,52.902853422994475,184.52120772264976,19.69988881963945,1.3520291341301887,2.93
33,53.74259182814258,182.15440503900322,19.83051410244131,1.3656887601039904,2.93
34,53.74160178549523,182.16298597270173,19.83083675177166,1.365720609279709,2.93
35,53.74262187588297,182.18088546385945,19.831023002203164,1.3657888934336515,2.93
36,53.742051034822225,182.19884678560717,19.831333549649703,1.3658686542443843,2.93
37,54.166437619490004,181.01035618487236,19.894867184450916,1.372787126707371,2.94
38,53.739510447849256,182.21539933778212,19.920835724242757,1.36595079162394,2.94
39,53.738837453493595,182.21858651498593,19.920945622999348,1.3659676678374404,2.94
40,53.738063246293706,182.22150898474646,19.921068410257778,1.3659831423660511,2.94
41,53.73719814125902,182.22410970317532,19.921200098037737,1.3659971684221937,2.94
42,54.576407426895315,181.00470228757015,19.78249501413812,1.3720722610547638,2.94
43,54.57796002618966,181.00469566022014,19.782947438391677,1.3720735422111168,2.94
44,54.579489831449976,181.00469091695948,19.783381988080098,1.3720746159240242,2.94
45,54.58104478004344,181.00468437719726,19.783811746299584,1.3720759636039692,2.94
46,15.638426247740556,167.82042595317782,13.893180777509198,1.1674330422938954,1.93
47,66.10171091834219,121.97027343037533,17.51469715772622,1.3929528191173122,1.92
48,40.72650786078115,54.05491640597225,9.568597437519522,1.4851294586288206,0.36
49,21.132949753648177,344.9349728335235,8.362991475358932,1.0448825795377885,0.3
50,78.9236921780361,241.7382173550796,1.7347513688911564,1.2100473971701033,1.22
51,8.819737583398819,171.73713985029994,11.089537600601822,1.081375777721405,1.61
52,20.48721805214882,153.85556559093516,15.065491608173568,1.1750563979148865,2.06
53,10.54375022649765,153.2098015616823,13.438914257221342,1.1386746764183044,1.7
54,44.81780507433323,155.7109816677593,16.176427566523984,1.2643651962280273,2.57
55,37.00013422718446,174.8101177771059,19.25196235221474,1.2935272455215454,2.71
56,39.27134742724754,176.5732679707341,15.025995413570028,1.2643651962280273,2.56
57,45.17272428355598,164.451759448615,19.817896008679714,1.3283340632915497,2.8
58,46.15359887846999,181.41798249226412,18.281876718419795,1.3763865232467651,2.77
59,46.150563027299505,181.65696914424046,18.316006748605506,1.3763865232467651,2.77
60,46.16116974986783,181.55773190996112,18.319499642780766,1.3763865232467651,2.77
61,46.17323839584471,181.4552979602949,18.323932371658913,1.3763865232467651,2.77
62,51.64864613989204,179.76063715596285,19.85712787765879,1.4210284956188253,2.88
63,51.54188690731803,176.85445548527017,19.367715111576864,1.4988407780317496,2.8
64,56.29901977006922,175.25907160506858,19.91086802377559,1.4077453908708972,2.92
65,53.70287399919651,178.54449039249786,19.22466550959685,1.3526803142448882,2.91
